track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Absolute Secret,https://open.spotify.com/track/4LKy0tTcHouuJYtRS0oWgS,プリンセスコネクト！Re:Dive Lost Princess 〜ようこそ美食殿へ!〜,https://open.spotify.com/album/1PZU7svqWcUkO62PGhtRoX,キャル (CV: 立花理香),https://open.spotify.com/artist/17sQXyckPh5c9lMF6uQ7VJ,2023-02-14,266120,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Brand New Sunrise,https://open.spotify.com/track/0NcdRmuAQXHnLBsTsglmPR,プリンセスコネクト！Re:Dive PRICONNE CHARACTER SONG 20,https://open.spotify.com/album/4ExBBEh7XOE4fCa235q7Vr,"ムイミ (CV: 潘 めぐみ), ネネカ (CV: 井口裕香)","https://open.spotify.com/artist/0BmWHnbryOSyoINe1m0ypg, https://open.spotify.com/artist/7xW6ORToCHV5qTk3bS9vSZ",2023-02-14,231133,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Call Me Darling!,https://open.spotify.com/track/2RUjuLahhd00cxPhQPkGW2,Season of Departure (From Princess Connect! Re: Dive),https://open.spotify.com/album/3t8wWWZ0lzW0l3AmFgBH5U,"ノゾミ (CV: 日笠陽子), チカ (CV: 福原綾香), ツムギ (CV: 木戸衣吹)","https://open.spotify.com/artist/2bVANXidQS76GEdwg0mfP3, https://open.spotify.com/artist/4HeJvCgKf5PUUfX268r19S, https://open.spotify.com/artist/20X99f33unz5xvS5dj1hc3",2023-02-14,202666,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Call Me Darling!,https://open.spotify.com/track/1CT4B6LPCOJAoDPTAuaTdm,プリンセスコネクト!Re:Dive PRICONNE CHARACTER SONG 14,https://open.spotify.com/album/0KWmmM6kbjW3lBsvUg8Nia,"ノゾミ (CV: 日笠陽子), チカ (CV: 福原綾香), ツムギ (CV: 木戸衣吹)","https://open.spotify.com/artist/2bVANXidQS76GEdwg0mfP3, https://open.spotify.com/artist/4HeJvCgKf5PUUfX268r19S, https://open.spotify.com/artist/20X99f33unz5xvS5dj1hc3",2023-02-14,204666,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Connecting Happy!!,https://open.spotify.com/track/5Mj1F2MBQVWooPks12pkGX,PRINCESS CONNECT! Re:Dive CHARACTER SONG ALBUM VOL.1,https://open.spotify.com/album/2YXVrNzpJhJc2ySmP9Wodu,"ペコリーヌ (CV: M・A・O), コッコロ (CV: 伊藤美来), キャル (CV: 立花理香)","https://open.spotify.com/artist/6TeG2rOl0azARjKo962RNe, https://open.spotify.com/artist/3CAAO8zecdofAu99u45gTz, https://open.spotify.com/artist/17sQXyckPh5c9lMF6uQ7VJ",2023-02-14,280880,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Connecting Happy!!,https://open.spotify.com/track/650w1ZqAWU1TZ8fNJhrbGp,プリンセスコネクト！Re:Dive PRICONNE CHARACTER SONG 02,https://open.spotify.com/album/6SlAae04OWbU43IuUIJjuP,"ペコリーヌ (CV: M・A・O), コッコロ (CV: 伊藤美来), キャル (CV: 立花理香)","https://open.spotify.com/artist/6TeG2rOl0azARjKo962RNe, https://open.spotify.com/artist/3CAAO8zecdofAu99u45gTz, https://open.spotify.com/artist/17sQXyckPh5c9lMF6uQ7VJ",2023-02-14,283373,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Ding Dong Holy Night♪,https://open.spotify.com/track/3pG8S7IhvA1vFOz9VDonTM,PRINCESS CONNECT! Re:Dive CHARACTER SONG ALBUM VOL.1,https://open.spotify.com/album/2YXVrNzpJhJc2ySmP9Wodu,"アヤネ (CV: 芹澤 優), クルミ (CV: 植田佳奈)","https://open.spotify.com/artist/5smslvdaLgqGPa9mYGCTu0, https://open.spotify.com/artist/65dN5E00Mb1lMWSAibBnPu",2023-02-14,255106,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Ding Dong Holy Night♪,https://open.spotify.com/track/613ArriTSiETCHoiT6BvBl,プリンセスコネクト!Re:Dive PRICONNE CHARACTER SONG 07,https://open.spotify.com/album/5VAFa2d5V7yJaJEIYnoCaj,"アヤネ (CV: 芹澤 優), クルミ (CV: 植田佳奈)","https://open.spotify.com/artist/5smslvdaLgqGPa9mYGCTu0, https://open.spotify.com/artist/65dN5E00Mb1lMWSAibBnPu",2023-02-14,258040,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Gothical Radical † Eternal Wedding,https://open.spotify.com/track/1iO3e36CApXkYCwCPmp1Hv,プリンセスコネクト! Re:Dive PRICONNE CHARACTER SONG 35,https://open.spotify.com/album/1fcycKw9LhP8QXvuLUV1qv,イリヤ (CV: 丹下 桜),https://open.spotify.com/artist/0Mn8UJEt2fCOu7znHrxgsO,2023-09-26,221413,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
Lost Princess,https://open.spotify.com/track/25WRQAiXRNrChdNolmGeYB,Still We Walk Together & Lost Princess (From “Princess Connect! Re: Dive”),https://open.spotify.com/album/3DLRN7GFMdWZUD0KRMmhgT,"ペコリーヌ (CV: M・A・O), コッコロ (CV: 伊藤美来), キャル (CV: 立花理香)","https://open.spotify.com/artist/6TeG2rOl0azARjKo962RNe, https://open.spotify.com/artist/3CAAO8zecdofAu99u45gTz, https://open.spotify.com/artist/17sQXyckPh5c9lMF6uQ7VJ",2023-02-14,235706,2023-02-15,"Music from ""PRINCESS CONNECT！Re:Dive"". 「プリンセスコネクト！Re:Dive」の楽曲を1つのプレイリストで。© Cygames, Inc.",PRINCESS CONNECT！Re:Dive プリンセスコネクト！Re:Dive
