track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Everything I Do) I Do It For You,https://open.spotify.com/track/1WQLEuYIGBgCmBHbCeoKDX,(Everything I Do) I Do It For You,https://open.spotify.com/album/5oq7oMjjqjsOHXu8Je83x8,August Ken,https://open.spotify.com/artist/0vAo9it46E8KVcjPHMsur5,2021-11-08,158522,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Beautiful Night,https://open.spotify.com/track/7xuW6jPJwCiGs2VJIqOBHm,So Many Stars,https://open.spotify.com/album/19nV7OOmUPmLBjz4jswvoD,Singing Guitar,https://open.spotify.com/artist/1SQq7ZFrr73CCZ5bidEnii,2022-06-07,151423,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Dream Come True,https://open.spotify.com/track/5Zb0Ko7LIfYlsF2r2TwVg9,A Dream Come True,https://open.spotify.com/album/5By1GSkEIbL1POMXxmDUju,Kara Bevans,https://open.spotify.com/artist/1Vmps5u9bAJFPr4QsYr3rr,2021-11-08,122000,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Dream Is a Wish Your Heart Makes,https://open.spotify.com/track/6EPgYJrkrl8f228tEXhKcf,A Dream Is a Wish Your Heart Makes,https://open.spotify.com/album/5spi6T2rtCXbrIZDIYHfyq,Divine Dana,https://open.spotify.com/artist/42avXwk7bYkSv0b9NBOhhm,2023-12-08,108624,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Dream is a Wish Your Heart Makes,https://open.spotify.com/track/2MyRQPmFACxUmt4wdNOxjC,A Dream is a Wish Your Heart Makes,https://open.spotify.com/album/631RyIMWAHmST2IRQ5YYHE,Isaac Trager,https://open.spotify.com/artist/06Ae73UENmF3flHQXpumU8,2024-07-19,102880,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Friend Like You,https://open.spotify.com/track/3lUeZg1nFKs90uuP759lLx,A Friend Like You,https://open.spotify.com/album/48s2eCCUzsLCDMu7oDAw4A,Evelina Krueger,https://open.spotify.com/artist/5GlrFOukoWnBdZ7wIYfjcw,2022-01-21,98500,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A House on the Prairie,https://open.spotify.com/track/0d9XVdHfqT8HDxK1dVK4yy,A House on the Prairie,https://open.spotify.com/album/3xOr5J8QYzF9IjmTU8Zydu,Lovell Caldwell,https://open.spotify.com/artist/3Gq8kXKBaLomAautCLAI82,2021-11-08,104500,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A La Nanita Nana,https://open.spotify.com/track/3yxBmeBq6F5PbqO88oFkiA,A La Nanita Nana,https://open.spotify.com/album/2MtH0Qqtm7xIXiqvpkDpWm,Salma Bolea,https://open.spotify.com/artist/1oSv4SByCh3CRXwj2105DM,2021-11-08,114000,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Little Boat,https://open.spotify.com/track/6ahZWO4bnowdtkAJwkahWD,A Little Boat,https://open.spotify.com/album/44X6fpGpyp0stgq8Rs5KE0,Simon Hill,https://open.spotify.com/artist/3CNRDi8CRRB2IF1v9no6NQ,2023-10-20,74366,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Million Stars,https://open.spotify.com/track/4aH25xvRwslDEiIxLP0X4I,A Million Stars,https://open.spotify.com/album/72EQTt6Lwg7GrxSx9jHTaJ,Dore Mi,https://open.spotify.com/artist/4njrMBDibPhATgAffWWFZM,2024-04-19,142008,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Miracle Under The Stars,https://open.spotify.com/track/6ZdTPcYHN0qxQfvKKNMPLG,A Miracle Under The Stars,https://open.spotify.com/album/3EHWjNYtw8C3AFD5vXVuwL,Mylène Longet,https://open.spotify.com/artist/04hDeBzE5iAfVUqJDHobCQ,2023-12-22,125477,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Mother's Embrace,https://open.spotify.com/track/6Ei6AIq1k3kcGNXFmUGlZU,A Mother's Embrace,https://open.spotify.com/album/1CjVstZsmXVWyeUduC5n7Y,Anton De Ville,https://open.spotify.com/artist/2TXm3XMc58UbpoeVEopfTt,2024-05-03,123508,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Mother's Heart,https://open.spotify.com/track/24D5wWWgW6BoCtJNdpJZzk,A Mother's Heart,https://open.spotify.com/album/1ATFQZOKu1iwKfezW8k6Fk,Susie Helmick,https://open.spotify.com/artist/6Ri49QRsA8vnFUhtUiXipF,2021-11-08,94500,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Nice Nap,https://open.spotify.com/track/2BsZBiiAEJxjJED6WdwByb,A Nice Nap,https://open.spotify.com/album/2w8eHxPjUPWXiNKdFzPDmd,Layla Stuart,https://open.spotify.com/artist/2EhxYNrz4lCzHQmtcJ7GuT,2021-11-08,133997,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Night Waltz,https://open.spotify.com/track/6xKgT2rqcKfnKZynq9ZpqV,A Night Waltz,https://open.spotify.com/album/4D7GNZjhVdAQY8CZyU7Z5N,Chad Isaacson,https://open.spotify.com/artist/5UzSphuk1wV4EkpEpsxfJJ,2021-11-08,65405,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Pimsy Pudding Day,https://open.spotify.com/track/3NCQehJCPnt3O0MrrQNu3t,A Pimsy Pudding Day,https://open.spotify.com/album/0pgWWkVxoFOAXrSv45NwuC,Willoughby Bird,https://open.spotify.com/artist/2SD5Hli44gBRnfLGp85hQF,2022-10-28,67567,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Ram Sam Sam,https://open.spotify.com/track/624ysCV4lbaZ1xze4tSAXE,A Ram Sam Sam,https://open.spotify.com/album/1PZFZOpxv3QiF0jZdthMMH,Tones From Samwell,https://open.spotify.com/artist/6Iz6MEdFyo1ggJmBoPXaKD,2023-10-06,158155,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Secret Lullaby,https://open.spotify.com/track/4ER7FO93TxntXA1YBKiNW4,A Secret Lullaby,https://open.spotify.com/album/7AMAfipQ02uwCbdZ22Z6Al,Montgomery Northrop,https://open.spotify.com/artist/5em1ywgEdmszli6m8XtEAu,2021-11-08,98608,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Simple Song,https://open.spotify.com/track/5ibZnKYtxlgPJDQpGusOuV,A Simple Song,https://open.spotify.com/album/3LEDN5cRp1YZjPolO7g3zD,Sloan Sandford,https://open.spotify.com/artist/1hvX04I5h74auPq2xmHvGr,2024-07-12,119813,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Small Lullaby,https://open.spotify.com/track/64s5nMYGglY0KCUtc3eaNe,A Small Lullaby,https://open.spotify.com/album/3qaLkbhlbsR3mpnLIbCI8F,Ciera McDermott,https://open.spotify.com/artist/5GN7GO5nLb24jol0x8gzoi,2021-11-08,98672,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Smile For Me,https://open.spotify.com/track/3i16Aq5xnXD5C1ESwQ2jS0,A Smile For Me,https://open.spotify.com/album/7m4EMIbsdDnS0FMkgOV20I,Ciara Bess,https://open.spotify.com/artist/21mEXcNj7iVlrmlhownRpL,2021-11-08,119117,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Soft Morning,https://open.spotify.com/track/3XWPbydiRn9kl6DMWtw33O,A Soft Morning,https://open.spotify.com/album/0z2CvCuHJPqYgmPuw9MUrN,Peyton Malloye,https://open.spotify.com/artist/6jEf6RIwSbHVnBM8dWxCVx,2024-10-25,104560,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Sunny Day,https://open.spotify.com/track/36wnjwoxWcB9uVMeTASNcP,A Sunny Day,https://open.spotify.com/album/0hyfKKbEDdSrqY6hTfGoxv,Hailey Tilford,https://open.spotify.com/artist/4bGfrh4LzyTm13a0FGfgKe,2021-11-08,113500,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Sunny Trip,https://open.spotify.com/track/4kmAKfwHnKkd3pgiI0jmgs,A Sunny Trip,https://open.spotify.com/album/6sCeCiqhg7U8NzAJxc8IDy,Peyton Malloye,https://open.spotify.com/artist/6jEf6RIwSbHVnBM8dWxCVx,2024-11-15,71822,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Tall Tale,https://open.spotify.com/track/6P14smwG7qUke1fmruPLY2,A Tall Tale,https://open.spotify.com/album/3V5he285jyZ7r812xgnqja,Boyce Darcy,https://open.spotify.com/artist/78r6RLiTXrS0ukYu9pwBur,2021-11-08,69189,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A Whole New World,https://open.spotify.com/track/70XfRqJlXeFz9xHsfvN6Ti,A Whole New World,https://open.spotify.com/album/5Gj1oFZH9TMinqRYlBZamz,Roly-Poly,https://open.spotify.com/artist/5a9O7IJkApBb6B35ldcalw,2023-08-10,130332,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
A-Hunting We Will Go,https://open.spotify.com/track/2ikRuxPqTGdiYsxL1c6Lmp,Signature Harp Classics,https://open.spotify.com/album/3xbRbtPJwACctQMdI5aXIo,Shirley Hayes,https://open.spotify.com/artist/60yFIxLtZerKqD68937nsk,2021-11-08,102334,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
"A-tisket, A-tasket",https://open.spotify.com/track/2bgQs7UTnoOgdHlPjjHG6m,"A-tisket, A-tasket",https://open.spotify.com/album/7buCqlY8XcXvL3NPz5wVIm,Oscar Z,https://open.spotify.com/artist/1w43xgEFebGecoNDH6lTkt,2024-02-09,89740,2022-01-17,Soft instrumental lullabies for the little ones.,Sweet Lullabies
