track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2002,https://open.spotify.com/track/7duZGjDETceWUu5KvKJjQU,2002,https://open.spotify.com/album/4rJmJ9Iqe1SdQ8Sg5hmZUx,Enumclaw,https://open.spotify.com/artist/79yETfINxnDl54mTKLZUlb,2022-02-25,152462,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
4737 Jefferson,https://open.spotify.com/track/3QtsttVVr6FHdeNulglh15,4737 Jefferson,https://open.spotify.com/album/6jBQT8Y8Zbi4iI5yqll1CE,Alien Eyelid,https://open.spotify.com/artist/75GJnidAzq7t14Vv8Fv1Y9,2023-04-07,216192,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
A Distant Life,https://open.spotify.com/track/33jgfdPpvJSlj1hBGMzoEt,A Distant Life,https://open.spotify.com/album/6VilbKJ0zEQ5cGyWcxLcOI,The Murder Capital,https://open.spotify.com/artist/18M7pJRsgFVjEBZ5ufmJAp,2025-02-25,160080,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
A Hole In The Ground,https://open.spotify.com/track/5K6UDDSQrr4SPyLTpMw4wP,A Hole In The Ground,https://open.spotify.com/album/45rtPd1tyrJd1QXMMivrru,Porridge Radio,https://open.spotify.com/artist/4vAQ4M7vgItwBtmBTgRu48,2024-09-27,187686,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
A Real Thing,https://open.spotify.com/track/5cHFMi5m8FTcYOjzgzmXt1,A Real Thing,https://open.spotify.com/album/53IuAG6Mqh2iMjI3b1ithn,The Beths,https://open.spotify.com/artist/7DjwIxbe8kpw4pqnzAMoin,2022-02-11,215180,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
A Song for Those Who Speed in Built-up Areas,https://open.spotify.com/track/4BwPKXsMkinmd1okNTryUc,A Song for Those Who Speed in Built-up Areas,https://open.spotify.com/album/4qq5LjTdwWXVdMAjubHwnK,JOHN (TIMESTWO),https://open.spotify.com/artist/1zeT022vOyMGqBCTSs9qiI,2021-10-07,176779,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Across That Fine Line,https://open.spotify.com/track/0naG5PyrfwJQ0xtuQ1BGCM,A Way Forward,https://open.spotify.com/album/2hPnsq6HZHcgkFlLclKrvv,Nation of Language,https://open.spotify.com/artist/5JWBow4ywgKNQ5HBxY8hcz,2022-01-31,325325,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Adrenaline,https://open.spotify.com/track/3Ir78IJjPU3eODC44pzlnf,Adrenaline,https://open.spotify.com/album/0Od1v1llALPpgnxp3OiD6b,We Hate You Please Die,https://open.spotify.com/artist/6Ts5nm6bMuPIqKy1fZRE8l,2024-04-22,244223,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Afraid,https://open.spotify.com/track/0TesiDBRH4ZOatQf4OMuHA,Afraid,https://open.spotify.com/album/4CFQDi0NqT2pCe2mcHi9Ut,Chalk,https://open.spotify.com/artist/3qa9pv6B0dmiBVETLQOCpi,2025-01-31,160573,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
After You,https://open.spotify.com/track/0fIvB3uEk6K6T9JACYD66O,After You,https://open.spotify.com/album/6VISuMapTvAnaTvltpE7FC,Courting,https://open.spotify.com/artist/3oLTaC5QBOH96VbxMAafpZ,2025-01-31,148724,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
AHHHH!,https://open.spotify.com/track/6Pfma5baS7P2EIjn3Htj9q,AHHHH!,https://open.spotify.com/album/3c58AoCgrcGD0kF2PAxo1F,Teen Jesus and the Jean Teasers,https://open.spotify.com/artist/3KrgUUwoRQ6OQp4IOmqnSF,2022-01-07,144538,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Ain't Nice,https://open.spotify.com/track/1ByVGqBt33n0iT5wgbwVzN,Welfare Jazz,https://open.spotify.com/album/6Kni5BJN0cqBMXqANtHGG8,Viagra Boys,https://open.spotify.com/artist/2nAKP6etu8wXNnezKXgqgg,2022-01-07,212968,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Ain't Nice,https://open.spotify.com/track/3hxUQ6HX7p4dY8qQVInVoY,Welfare Jazz,https://open.spotify.com/album/2UorQ6UuGys6Ivsg1exRSu,Viagra Boys,https://open.spotify.com/artist/2nAKP6etu8wXNnezKXgqgg,2022-10-07,212968,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Ain't Nice,https://open.spotify.com/track/1nJkBHZ77uhBVm8x3eONOo,In Spite of Ourselves,https://open.spotify.com/album/0vdmzIVWn78dcphczGZbxq,"Viagra Boys, Amy Taylor","https://open.spotify.com/artist/2nAKP6etu8wXNnezKXgqgg, https://open.spotify.com/artist/40PFUFiyNzfhg8U0IhCybp",2022-11-04,212968,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Alien Blues,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x,Gawk,https://open.spotify.com/album/1vWOYk3hF5bgVUUUaPvYLh,Vundabar,https://open.spotify.com/artist/1W4itxt3vwhmrgLEBuVHJ6,2022-07-08,155933,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Alien Blues,https://open.spotify.com/track/6UjeFOCGYgMpBUtqKg1Je3,Gawk,https://open.spotify.com/album/5O4lpm2rHbk3JVZgGMPxmI,Vundabar,https://open.spotify.com/artist/1W4itxt3vwhmrgLEBuVHJ6,2021-12-07,156056,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
All,https://open.spotify.com/track/0iwZ8jCa5YuNLnKQdYSS07,All,https://open.spotify.com/album/5HBYg2ndJSC24fHXi1FfTb,Squint,https://open.spotify.com/artist/3rSZhCBS6SLmBFzpPxvhr5,2023-08-08,132214,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
All I See,https://open.spotify.com/track/2JzsLJ5mrQWLev9ylH29hA,All I See,https://open.spotify.com/album/2SU5YfNzIJXWAy7ZqAG6uw,Girl and Girl,https://open.spotify.com/artist/6tRT8DibGiNSkXViROkIBn,2023-05-22,226351,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
All In One,https://open.spotify.com/track/7ycbGYrE2GMshCIiv2I33j,All In One,https://open.spotify.com/album/433yKcIuI3sgm8eYmhJuHg,Been Stellar,https://open.spotify.com/artist/3ep1YmatQ8L9UKCGYiJNBh,2024-04-12,306866,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
All Lined Up,https://open.spotify.com/track/1pw2fkhwUwXy3zkVxBfVo1,All Lined Up,https://open.spotify.com/album/02tiU6mPTYJNlB2Jk5HXBM,Sheer Mag,https://open.spotify.com/artist/58ehndX799ZV9Jcv6IefJ1,2023-08-08,219436,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
All the Same,https://open.spotify.com/track/6gRfg5GBGJukXcYWm9Wpwl,All the Same,https://open.spotify.com/album/2vUQi2E2j9QTU8NSRWxSjt,Fat Dog,https://open.spotify.com/artist/4DLjEphXbW7qIhX4iwmNEe,2024-01-13,175023,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Almost Everything,https://open.spotify.com/track/4KU3ECcOn7di9BUHgajmIO,Almost Everything,https://open.spotify.com/album/3FuvV4huGUCxaKeec7z5Qk,Mudhoney,https://open.spotify.com/artist/7LuYiSXiWs86rwWJjEEgB9,2023-01-27,264573,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Almost Everything,https://open.spotify.com/track/6zj2ESvjOkDt1m32Y8SpLa,Plastic Eternity,https://open.spotify.com/album/7fZmi0BsBSDhX9AwQmJdb7,Mudhoney,https://open.spotify.com/artist/7LuYiSXiWs86rwWJjEEgB9,2023-04-07,264573,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Alphabet,https://open.spotify.com/track/32Xy5JWUdXb4GLZ0Eug06N,Alphabet,https://open.spotify.com/album/71Aynu7WtmIHqxvvDHoTEh,shame,https://open.spotify.com/artist/4IeWU3NYBI9mISFVhzXG8f,2021-10-07,173573,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Angel Blessings,https://open.spotify.com/track/2GMa39HCjyvuiYYFfipifp,Angel Blessings,https://open.spotify.com/album/5hA6fSTq97D1oVy31h5nFF,Sex Week,https://open.spotify.com/artist/5bcg41eahXhsa30vaMvv0r,2024-06-04,200624,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Antagonist,https://open.spotify.com/track/76NdeyUe2IEANeAopr4V31,Antagonist,https://open.spotify.com/album/4cAKhG7S3jOL53LaGMtdNw,Nova Twins,https://open.spotify.com/artist/7I95CM75shzCjHuTzrepjM,2021-10-29,186173,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Anti-glory,https://open.spotify.com/track/7fDPgekQGJKkyyqjuhtNSG,Anti-glory,https://open.spotify.com/album/64rQzBshwp5tyR7ExhJaAk,Horsegirl,https://open.spotify.com/artist/2FDvUb4YgyUPpmnm1ILPra,2022-03-11,210640,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Apathy Patrol,https://open.spotify.com/track/6Qs8DLwsywG2RVRhl8J2jk,Apathy Patrol,https://open.spotify.com/album/6hJejusjuZEbx4lZZY6YZx,Suave Punk,https://open.spotify.com/artist/7mHAXsMI3hAj3dUZMR4fnt,2022-10-07,221538,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Applause,https://open.spotify.com/track/3vTehy2tTrXyEeOieYFEAd,Applause,https://open.spotify.com/album/6QOI3b1Lj3eaSzBwVir0s4,Liily,https://open.spotify.com/artist/2asx6eXv9qzj5rA0ESrdO3,2023-01-20,164826,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Art History,https://open.spotify.com/track/6ZW6mNdkyhqe7ouKpFTImd,Lemon On Plastic,https://open.spotify.com/album/0RBK3b5Ctnmd4bM7zfyUkv,Perennial,https://open.spotify.com/artist/7oLhWWqX188fvNQ6aqxLz3,2024-03-01,65654,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Auguries of Guilt,https://open.spotify.com/track/1lWuzJReshkbjDKjElnmeA,Auguries of Guilt,https://open.spotify.com/album/1kPoDuvNX6536cx1ZWpUAN,The World Is A Beautiful Place & I Am No Longer Afraid To Die,https://open.spotify.com/artist/5bCNJ1ICzdnzK0yoCIP2Ip,2024-06-21,337257,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Avalanche Of Love,https://open.spotify.com/track/7wxQ4IYkQOeQJh1XEK3Xch,Avalanche of Love,https://open.spotify.com/album/5kHetKR92dhcg1pwoAHKso,"WITCH, Sampa the Great","https://open.spotify.com/artist/0LMkPoi2xIgpOPUSJMftqM, https://open.spotify.com/artist/7fw0E8WHdG3r9SuPBcGmWk",2023-08-25,235840,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Avalanche Of Love (feat. Sampa the Great),https://open.spotify.com/track/20yvPj3wzqoV5wvdkj89lj,Avalanche of Love (feat. Sampa the Great),https://open.spotify.com/album/7JSj5PDFnh9x6DevquJxep,"WITCH, Sampa the Great","https://open.spotify.com/artist/0LMkPoi2xIgpOPUSJMftqM, https://open.spotify.com/artist/7fw0E8WHdG3r9SuPBcGmWk",2023-04-07,235840,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Avalanche Of Love (feat. Sampa the Great),https://open.spotify.com/track/5G6tjnJ2ec5NngphDaWR0w,Zango,https://open.spotify.com/album/7ffV0jqo0UdneN6sdjNiGc,"WITCH, Sampa the Great","https://open.spotify.com/artist/0LMkPoi2xIgpOPUSJMftqM, https://open.spotify.com/artist/7fw0E8WHdG3r9SuPBcGmWk",2023-06-02,235840,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
Away From The Castle,https://open.spotify.com/track/0lQd2j6DVcXvRFRsat7Cwz,Away From The Castle,https://open.spotify.com/album/4oEso7P9WBi868KZPWpJAg,Video Age,https://open.spotify.com/artist/4aTQ05Ddh21E2CJFSZy7ZW,2023-08-25,222908,2021-12-21,"a experimental mix of rock, punk, alt & indie. Cover: Model/Actriz",Noisy
