track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""45""",https://open.spotify.com/track/25Sd73fleKUVPNqITPZkn1,Handwritten,https://open.spotify.com/album/1gsyJWUvwjnsNgYUxpOfLR,The Gaslight Anthem,https://open.spotify.com/artist/7If8DXZN7mlGdQkLE2FaMo,2022-10-25,202493,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
"""45""",https://open.spotify.com/track/1RzDsaqi6EMM8j7dBnxVSo,Handwritten,https://open.spotify.com/album/2HwaN9tZMGWfrJDsDGKPLM,The Gaslight Anthem,https://open.spotify.com/artist/7If8DXZN7mlGdQkLE2FaMo,2022-11-05,203320,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
"""45""",https://open.spotify.com/track/5LQN7c99Q8gvmh6xJcTZgj,Handwritten (Deluxe Version),https://open.spotify.com/album/3et3fAEh76eTu4O99WTtfY,The Gaslight Anthem,https://open.spotify.com/artist/7If8DXZN7mlGdQkLE2FaMo,2021-12-17,207546,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
11:11,https://open.spotify.com/track/3HtazJXet39mz8SqZwm5NP,Eleven Eleven,https://open.spotify.com/album/4ojK5MjWXa8blo3bAyOVbJ,Dinosaur Pile-Up,https://open.spotify.com/artist/4MQsNhP9u10g1xuxaJBF0S,2023-03-13,244677,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
7,https://open.spotify.com/track/5ykbOijJEfRhuo2Td1m0Qd,The Ride,https://open.spotify.com/album/07IHAhsG4FnnfHQSb3bbAZ,Catfish and the Bottlemen,https://open.spotify.com/artist/2xaAOVImG2O6lURwqperlD,2021-12-17,256306,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
Adolescents,https://open.spotify.com/track/7CBD8biut3IwSJDfhKHLoH,"If Not Now, When?",https://open.spotify.com/album/7d4zNXpbzKsvJpjQi4cIfj,Incubus,https://open.spotify.com/artist/3YcBF2ttyueytpXtEzn1Za,2023-03-23,288840,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
Africa,https://open.spotify.com/track/3ZPKocroJIcnHGcnJVlLKD,Weezer (Teal Album),https://open.spotify.com/album/65sHj9PvsbyD0uugGHjueN,Weezer,https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu,2021-12-17,238626,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
After Midnight,https://open.spotify.com/track/27H8WsrkD5catdc3a2fCLV,Neighborhoods (Deluxe),https://open.spotify.com/album/2xSmzzqWM6cqaC92Hf7Dyv,blink-182,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,2023-12-31,206866,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
After Midnight,https://open.spotify.com/track/29bWDkf8qtCmsvDWOW55CJ,Neighborhoods (Deluxe Explicit Version),https://open.spotify.com/album/0KjLbdlJYvtzXjGTwPy3lv,blink-182,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,2021-12-17,206866,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
Ain't It Fun,https://open.spotify.com/track/1j8z4TTjJ1YOdoFEDwJTQa,Paramore,https://open.spotify.com/album/4sgYpkIASM1jVlNC8Wp9oF,Paramore,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF,2021-12-17,296520,2021-12-28,These songs rocked the 10s. Cover: Arctic Monkeys,10s Rock Anthems
