track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Adore You,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,Fine Line,https://open.spotify.com/album/7xV2TzoaVc0ycW7fwBwAml,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,2023-03-17,207133,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Alive,https://open.spotify.com/track/7pHiVYXVVVoPxmB9WMgHKG,Car All Hits,https://open.spotify.com/album/3xCW1OsVpfdj8HHY01GIek,Empire of the Sun,https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c,2022-11-07,204546,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Alive,https://open.spotify.com/track/5WBnKCEsPwsvWHUZmLjS3s,Ice On The Dune,https://open.spotify.com/album/1olQuvonXXUEourYrj6daN,Empire of the Sun,https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c,2022-11-07,204591,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
All Eyes On Me,https://open.spotify.com/track/2YXswOX5aKv6OHRKUcAMLQ,ME,https://open.spotify.com/album/4QuczuzDZNzCDli5Gz6DQ0,JISOO,https://open.spotify.com/artist/6UZ0ba50XreR4TM8u322gs,2023-09-01,163522,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Are You What You Want to Be?,https://open.spotify.com/track/3CVPyuuD6HxWXgPbbGqbg6,Supermodel,https://open.spotify.com/album/22cFcAQkydpTzeSKQZEKv0,Foster The People,https://open.spotify.com/artist/7gP3bB2nilZXLfPHJhMdvc,2022-11-07,270840,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],https://open.spotify.com/track/139nCjBRQCLgnWNRxBKAC7,Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],https://open.spotify.com/album/6rjTLZmOHDByOn63ZZomyY,"Ozuna, GIMS, RedOne, FIFA Sound","https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY, https://open.spotify.com/artist/0GOx72r5AAEKRGQFn3xqXK, https://open.spotify.com/artist/6O9WquDfQTxGRZqZUXVEQx, https://open.spotify.com/artist/5C01hDqpEmrmDfUhX9YWsH",2022-11-07,219831,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
As If It's Your Last,https://open.spotify.com/track/4ZxOuNHhpyOj4gv52MtQpT,As If It's Your Last,https://open.spotify.com/album/7ikmjsvRzDRzxHN0KXSQdv,BLACKPINK,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,2023-09-01,213264,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
As It Was,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,Harry's House,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,2023-03-17,167303,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Become One,https://open.spotify.com/track/4AMpvQBVulTYH5gnypJNno,Become One,https://open.spotify.com/album/4wSeKDz78EF6lnBpCjNj1z,"HOMIES, Uneducated Kid, TransFixion","https://open.spotify.com/artist/3PpfvyyncoZ79IgYe0Uls0, https://open.spotify.com/artist/08KbKkPqaYNFYM9R5eMjuM, https://open.spotify.com/artist/6HpuWuyK8mHYcbFoxPbDg3",2022-11-16,192813,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Bet You Wanna (Feat. Cardi B),https://open.spotify.com/track/3AgMOlgdrG9RJXDWifcjVd,THE ALBUM,https://open.spotify.com/album/2gNPnKP1PDkB5SZz3IMKuX,"BLACKPINK, Cardi B","https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF, https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB",2023-09-01,159168,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Bet You Wanna (feat. Cardi B),https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe,THE ALBUM,https://open.spotify.com/album/71O60S5gIJSIAhdnrDIh3N,"BLACKPINK, Cardi B","https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF, https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB",2023-09-01,161167,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
BOOMBAYAH,https://open.spotify.com/track/13MF2TYuyfITClL1R2ei6e,SQUARE ONE,https://open.spotify.com/album/0FOOodYRlj7gzh7q7IjmNZ,BLACKPINK,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,2023-09-01,240793,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Boyfriends,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ,Harry's House,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,2023-03-17,194543,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
Call It What You Want,https://open.spotify.com/track/3u1Er1rkjn1oSz1xdZH3ZD,Torches,https://open.spotify.com/album/7Kmmw7Z5D2UD5MVwdm10sT,Foster The People,https://open.spotify.com/artist/7gP3bB2nilZXLfPHJhMdvc,2022-11-07,238786,2022-11-08,Check out BLACKPINK's best songs while celebrating the finale concert of BLACKPINK's world tour!,BLACKPINK WORLD TOUR [BORN PINK] FINALE IN SEOUL
