track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"14 Songs, Op. 34, No. 14. Vocalise: 14 Songs, Op. 34: No. 14, Vocalise (Arr. For theremin and piano)",https://open.spotify.com/track/69QIXVjGq4o35oajsLgrYv,"Rachmaninov, S.: Vocalise / Saint-Saens, C.: Le Cygne / Falla, M.: El Amor Brujo / Achron, J.: Hebrew Melody (The Art of the Theremin)",https://open.spotify.com/album/4m0wpnl7Db40DawENitc78,"Sergei Rachmaninoff, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/0Kekt6CKSo0m5mivKcoH51, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,229666,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
"18 morceaux, Op. 72, No. 2. Berceuse. 18 morceaux, Op. 72: No. 2, Berceuse (Arr. For theremin and piano)",https://open.spotify.com/track/3paKSv3Hjjdfyck1A2O060,"Rachmaninov, S.: Vocalise / Saint-Saens, C.: Le Cygne / Falla, M.: El Amor Brujo / Achron, J.: Hebrew Melody (The Art of the Theremin)",https://open.spotify.com/album/4m0wpnl7Db40DawENitc78,"Pyotr Ilyich Tchaikovsky, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/3MKCzCnpzw3TjUYs2v7vDA, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,256760,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
"2 Mexican Songs: No. 2, Estrellita (Arr. J. Morel for Theremin & Guitar)",https://open.spotify.com/track/0pukkChgWnaxdrkbBTdEYm,"Dvořák, Ravel, Gershwin & Others: Chamber Works",https://open.spotify.com/album/55bk8Fqpfpm0rrT5vjREwn,"Manuel Ponce, Clara Rockmore, Jorge Morel","https://open.spotify.com/artist/3sam97auWZppQpYU1HWNxK, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/3PCmED1ckvLHpYTJ8VuX7N",2021-08-17,181786,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
"2 Mélodies hébraïques, M. A22: No. 1, Kaddisch (Arr. for Theremin & Piano)",https://open.spotify.com/track/7qUSSYSvNXGehtN90lzK2x,"Dvořák, Ravel, Gershwin & Others: Chamber Works",https://open.spotify.com/album/55bk8Fqpfpm0rrT5vjREwn,"Maurice Ravel, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/17hR0sYHpx7VYTMRfFUOmY, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,283493,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
"3 Old Viennese Dances: No. 2, Liebesleid (Arr. for Theremin & Piano)",https://open.spotify.com/track/5vPIY9UAHmOux60VpRV26j,"Dvořák, Ravel, Gershwin & Others: Chamber Works",https://open.spotify.com/album/55bk8Fqpfpm0rrT5vjREwn,"Fritz Kreisler, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/0HdNDZaNm7xLt18v9aWDfe, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,153026,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
"6 Morceaux, Op. 51, No. 6. Valse sentimentale: 6 Morceaux, Op. 51: No. 6, Valse sentimentale (Arr. For theremin and piano)",https://open.spotify.com/track/3QHqvTeZQOQhQwD2Y3YYvy,"Rachmaninov, S.: Vocalise / Saint-Saens, C.: Le Cygne / Falla, M.: El Amor Brujo / Achron, J.: Hebrew Melody (The Art of the Theremin)",https://open.spotify.com/album/4m0wpnl7Db40DawENitc78,"Pyotr Ilyich Tchaikovsky, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/3MKCzCnpzw3TjUYs2v7vDA, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,131000,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
"8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Arr. for Theremin & Piano)",https://open.spotify.com/track/6spFjPhXZZtJMunWpzcM3A,"Dvořák, Ravel, Gershwin & Others: Chamber Works",https://open.spotify.com/album/55bk8Fqpfpm0rrT5vjREwn,"Antonín Dvořák, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/6n7nd5iceYpXVwcx8VPpxF, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,207960,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
A Happy Place,https://open.spotify.com/track/5kQdkVxKCKcDH6yPKXiyTQ,A Happy Place,https://open.spotify.com/album/1DW3ytYb3yN63c9Mmq0pgr,Dorit Chrysler,https://open.spotify.com/artist/20rXRDxITRCP0BZVwUYTfV,2021-08-17,129500,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
Adagio,https://open.spotify.com/track/4EXJKt11KgqAE1jc1JwwNl,Clara Rockmore's Lost Theremin Album,https://open.spotify.com/album/7FUnGjGbZPbAPAr5DhkalS,"Johann Sebastian Bach, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,237453,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
Air,https://open.spotify.com/track/0i68q6EnJMvSMmGyfNWZBm,Clara Rockmore's Lost Theremin Album,https://open.spotify.com/album/7FUnGjGbZPbAPAr5DhkalS,"Johann Mattheson, Clara Rockmore, Nadia Reisenberg","https://open.spotify.com/artist/0YuQmKNAObna6VBbIpp1VY, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR",2021-08-17,127720,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
Aria from Bachianas Brasileiras No. 5,https://open.spotify.com/track/2cs8zXFoFhqIaQYIavv7FY,Clara Rockmore's Lost Theremin Album,https://open.spotify.com/album/7FUnGjGbZPbAPAr5DhkalS,"Heitor Villa-Lobos, Nadia Reisenberg, Clara Rockmore","https://open.spotify.com/artist/01UzgUtDa2NqWuvUjrrl3p, https://open.spotify.com/artist/5WKWtfP2aDQAOwAvhxquPR, https://open.spotify.com/artist/68fVdoSpVmeUUnSirEif4Q",2021-08-17,424453,2022-05-30,Eerie pieces created by waving hands around Leon Theremin's otherworldly instrument. Clara Rockmore on cover.,theremin
