track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1957,https://open.spotify.com/track/08cXy6KUizaAelYXtcew3w,Milo Greene,https://open.spotify.com/album/15wQEsBsbl14I4m1yEuR8w,Milo Greene,https://open.spotify.com/artist/5euJsEvfrlfhYDorMR40OF,2020-10-20,204213,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
20 Years,https://open.spotify.com/track/4psC5agYNMRBscGeLTqhc3,Barton Hollow,https://open.spotify.com/album/6yCzOeJHgOnJBP3K6IDPIV,The Civil Wars,https://open.spotify.com/artist/6J7rw7NELJUCThPbAfyLIE,2020-10-21,181546,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
40 Day Dream,https://open.spotify.com/track/3WBWgjyg6ew1Bq2sehB4is,Up From Below,https://open.spotify.com/album/4EBtalKeisyblXwox9mMXf,Edward Sharpe & The Magnetic Zeros,https://open.spotify.com/artist/7giUHu5pv6YTZgSkxxCcgh,2021-01-16,233586,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
40 Day Dream (2019 Remaster),https://open.spotify.com/track/6qSViwr8Z1ERkL2ZVun3VY,Up From Below - 10th Anniversary Edition,https://open.spotify.com/album/2nqKKUI6G3YGYNyjqBxjmd,Edward Sharpe & The Magnetic Zeros,https://open.spotify.com/artist/7giUHu5pv6YTZgSkxxCcgh,2022-03-11,232690,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
40 Day Dream - 2019 - Remaster,https://open.spotify.com/track/4ek3pPdfvIbPxynmlisI0k,Up From Below (10th Anniversary Edition) [2019 - Remaster],https://open.spotify.com/album/71eRIPUemoGlRpNryhlZjU,Edward Sharpe & The Magnetic Zeros,https://open.spotify.com/artist/7giUHu5pv6YTZgSkxxCcgh,2022-03-11,232690,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
A Heart Arcane,https://open.spotify.com/track/264bH2jUIFmlclwJfpmEk9,Cynic's New Year,https://open.spotify.com/album/32HXUSvlymSKkbIVOAO2nM,Horse Feathers,https://open.spotify.com/artist/0lO2c86rQmrRJArBxgw0v8,2021-10-11,169733,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
A Trick of the Light,https://open.spotify.com/track/1rCPg5GOtes0FIo1BzgvUi,The Art Of Pretending To Swim,https://open.spotify.com/album/5qhqqenkgCAp3mCKczvvNU,Villagers,https://open.spotify.com/artist/2m1l9MLSslzup4vvokKgvQ,2021-04-06,248253,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
After Rain,https://open.spotify.com/track/5fQa04cwDF11Giq5N2tGdU,After Rain,https://open.spotify.com/album/7bz0csv8S71eFRnWuopQsA,Dermot Kennedy,https://open.spotify.com/artist/5KNNVgR6LBIABRIomyCwKJ,2020-10-21,294000,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
All Is Well,https://open.spotify.com/track/3KAQ4xe2sR6IiltZw8HSA5,You and Me for Now,https://open.spotify.com/album/5KPl7k36JzLxe4bisDG8S4,Austin Basham,https://open.spotify.com/artist/3Dd1WVQvZUgyi9XEqOIPhA,2022-03-11,256680,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
All Is Well,https://open.spotify.com/track/77vpyfnzo1ROWQERRRe21h,All Is Well,https://open.spotify.com/album/2p28pzBcrJHjxCBgWV9Exa,Austin Basham,https://open.spotify.com/artist/3Dd1WVQvZUgyi9XEqOIPhA,2021-01-15,256681,2020-10-20,A blend of the best from years past—from indie folk and pop grass to roots rock and Americana. Cover: The Lumineers,Roots Revival
