track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1542,https://open.spotify.com/track/10glJ8ARN1G9ESFF9s00yk,Xaxoeira,https://open.spotify.com/album/0T1MHuHlxRGyGqZT1KGubi,Xique-Xique,https://open.spotify.com/artist/5LuhrBhGclMzHlYK4mDLLp,2022-06-15,347600,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
"Acapulco, dos de la tard",https://open.spotify.com/track/4qPzX5KPnxMcDE1uxxwiap,Heavenly Sweetness Sampler #3,https://open.spotify.com/album/6S7fiWGmRObHoDOLlhHptX,Coopers,https://open.spotify.com/artist/0Up9P61xDdOSe0XEyCJ6ph,2022-06-15,184750,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
Adiós Morena,https://open.spotify.com/track/3lpsS446tNsrhYtBGQCIg2,Por ti me voy,https://open.spotify.com/album/4Kxe5SQsLmD64rPIivJVil,"Dub Across Borders, Esteban Copete","https://open.spotify.com/artist/7c7NsrA9itbqcg9hvVAxK4, https://open.spotify.com/artist/22n3ot8dyg4U7hMHXNzAcC",2022-01-04,371362,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
Agua de Jamaica,https://open.spotify.com/track/7aYFLNA3vQ3zir2naHodp0,Agua de Jamaica,https://open.spotify.com/album/2MKvOrKTLGWOKO3BUWhRUv,"Masta Roi, Gio Kutia","https://open.spotify.com/artist/1uEU1I3gUtxUv4tlcpsInS, https://open.spotify.com/artist/28vZIQfyaApCPe9qCxW15z",2022-01-04,199578,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
Agua de La Tierra (Nicola Cruz Remix),https://open.spotify.com/track/3z55fMIOftbrZrZ0Z7WbbW,El Origen,https://open.spotify.com/album/0wOHl1sUUJ5fw2YLCClpyr,"Rodrigo Gallardo, Nicola Cruz","https://open.spotify.com/artist/3fxdn6mfKvNFJ1Zx37On7W, https://open.spotify.com/artist/0OltT51j3hIkgaDJqqPzDn",2022-06-15,293990,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
"Agua, Arena, Sol y Viento",https://open.spotify.com/track/1djvsJfRULPkKeTumFfwgL,Mercuriana Armonía Cósmica,https://open.spotify.com/album/28aucAGf2eQFNfSYGd3PlD,Mercuriana,https://open.spotify.com/artist/3x4gcgomtejtFbPKCrOPkf,2022-04-17,188860,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
Aguacero Tropical,https://open.spotify.com/track/5mhYs8LilsurjSLIibxCgn,Aguacero Tropical,https://open.spotify.com/album/5v2hEZH52HxulMloCJDY8A,"Pahua, MOÜGLI, WX//CLTV","https://open.spotify.com/artist/4sZh7ibWAOiuDkEStJxHch, https://open.spotify.com/artist/786qoKu8y9vQHdegoxNJn9, https://open.spotify.com/artist/0m4sYqkyOznjEKxEEeLLkL",2022-01-21,225762,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
Agujas en el pecho,https://open.spotify.com/track/0np9UFhTftjmtGJSe0C9wP,Agujas en el pecho,https://open.spotify.com/album/2rCqZjc7bYddHbQ4h7ABHt,"Cheo, Catalina García","https://open.spotify.com/artist/2sshGYdyr1ZEl4Np76RRxG, https://open.spotify.com/artist/2eWiATMtcOCS8vAjRJp9iY",2023-03-23,320682,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
Ahora,https://open.spotify.com/track/6W19LhykJsHs6R93DtCP4F,Aire,https://open.spotify.com/album/3ubY132O5YHYoxn65Vh72T,Bomba Estéreo,https://open.spotify.com/artist/5n9bMYfz9qss2VOW89EVs2,2022-01-04,273946,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
Aima,https://open.spotify.com/track/2ZLSvb7IJl7k9FDDuO0P3q,Hybridism,https://open.spotify.com/album/34ZtJJKrCWgno0vQYtDN5H,Nicola Cruz,https://open.spotify.com/artist/0OltT51j3hIkgaDJqqPzDn,2022-01-04,308813,2022-05-13,Immerse yourself in the mysticism of Tulum!,Tulum Vibes
