track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2+2=n,https://open.spotify.com/track/1W6bW4ZV8xicPdeQrdQIdP,攻殻機動隊 SAC_2045 ORIGINAL SOUNDTRACK 2 - Single,https://open.spotify.com/album/2ZYDycSlBmyuy5rWYMqQIZ,Emi Evans,https://open.spotify.com/artist/5v4bqljn8SUj45YThdszXS,2022-05-31,204017,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
2+2=n,https://open.spotify.com/track/1y1U1fu1YbSkWOKlIstRcE,GHOST IN THE SHELL: SAC_2045 ORIGINAL SOUNDTRACK 2,https://open.spotify.com/album/1hTHAKwyNcfv16lqpTpL2L,Emi Evans,https://open.spotify.com/artist/5v4bqljn8SUj45YThdszXS,2022-06-21,206000,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
2+2=n,https://open.spotify.com/track/5oIUCS30IhUCelQkei7sJw,攻殻機動隊 SAC_2045 ORIGINAL SOUNDTRACK 2,https://open.spotify.com/album/6grVWZopVKS4GBqROrcL7Q,Emi Evans,https://open.spotify.com/artist/5v4bqljn8SUj45YThdszXS,2022-06-21,206000,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
A Floating Ghost,https://open.spotify.com/track/6YxbVTZ3d2O5vWYbIdPGuE,攻殻機動隊 新劇場版　O.S.T. by Cornelius,https://open.spotify.com/album/759xhNhcphGIW8Mna5hjri,Cornelius,https://open.spotify.com/artist/2vJObElaIZWYDLpiXiJMo9,2022-05-31,65533,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
be human,https://open.spotify.com/track/1lwtSexMnKboIrzybcBbCJ,「攻殻機動隊 STAND ALONE COMPLEX　be Human」,https://open.spotify.com/album/4yXX0zQxFl88hAV7FauBZ7,Scott Matthew,https://open.spotify.com/artist/18Xy9oGF9CxiU9luAp3Dzu,2022-05-31,242373,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
beauty is within us,https://open.spotify.com/track/20G3Nje2MGXnSPt0J6kHW0,攻殻機動隊 STAND ALONE COMPLEX　O.S.T.＋,https://open.spotify.com/album/2xwzJG5kuUOIuyEf6u3OXQ,Scott Matthew,https://open.spotify.com/artist/18Xy9oGF9CxiU9luAp3Dzu,2022-05-31,365963,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
Christmas in the Silent Forest,https://open.spotify.com/track/478Axf2lmFeyjw3ciJRbaE,攻殻機動隊 STAND ALONE COMPLEX　O.S.T.3,https://open.spotify.com/album/6LV6Mk6uHLvj4lKfYPjtsI,Ilaria Graziano,https://open.spotify.com/artist/57WViMLL9KfooFkVKsyODr,2022-05-31,413715,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
cream,https://open.spotify.com/track/5pYLwimdCjpr1z4eQWdyo0,「攻殻機動隊 STAND ALONE COMPLEX　be Human」,https://open.spotify.com/album/4yXX0zQxFl88hAV7FauBZ7,hide,https://open.spotify.com/artist/62ronp2f2shNZB1VIbqxmP,2022-05-31,232902,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
date of rebirth,https://open.spotify.com/track/4LBKlv464rlTBikNZyAaa3,攻殻機動隊 S.A.C. Solid State Society　O.S.T.,https://open.spotify.com/album/4FLVYdG4mlaydxbg9ItTyH,Origa,https://open.spotify.com/artist/08pXfHf1e4hLeDz1BgmOqL,2022-05-31,277881,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
Don't Break Me Down,https://open.spotify.com/track/0rsT81N3o5yh7S6dOE9X7V,GHOST IN THE SHELL: SAC_2045 ORIGINAL SOUNDTRACK 2,https://open.spotify.com/album/1hTHAKwyNcfv16lqpTpL2L,Scott Matthew,https://open.spotify.com/artist/18Xy9oGF9CxiU9luAp3Dzu,2022-06-21,472000,2022-06-10,"Music from ""GHOST IN THE SHELL SAC_2045"" and ""ARISE"" series has arrived! ©S,IG/K/2045",GHOST IN THE SHELL Series
