track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1 November,https://open.spotify.com/track/0xFrjHM0BH49huXC2n1fdk,Karabo,https://open.spotify.com/album/4ro6ViOnBmGwVdkuwIvOZc,"Malome Vector, Wave Rhyder, Ntate Stunna","https://open.spotify.com/artist/6AeHcNxdFsYI8WQE1f0YVw, https://open.spotify.com/artist/2g6Idw9wnJRWM0viAxhRRX, https://open.spotify.com/artist/1HKxOYJiTBtSgVTbKHK5XL",2022-01-13,275859,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
10K,https://open.spotify.com/track/77jr85pzR4YjCaK76WCPs0,10K,https://open.spotify.com/album/5buihYf725bWcbMHFboqwf,"Mafikizolo, Sjava","https://open.spotify.com/artist/04Hrgux8cIaNJKUAX7WwJN, https://open.spotify.com/artist/4RfOLIFy2xEmlWzXEVmLJn",2022-06-09,284776,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
11:11 Makukhanye,https://open.spotify.com/track/3W8XdI8x69oaLRnsaRAx3h,11:11 Makukhanye,https://open.spotify.com/album/2qj9Jzqo14r8wSUNmMvYG5,Yallunder,https://open.spotify.com/artist/4TT5ne6u5XRUIhTUKhZyOo,2023-06-09,138737,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
24 Hours,https://open.spotify.com/track/0XAgk6dckPxMguoTubbuO5,24 Hours,https://open.spotify.com/album/04EFCgfevXKXAkjFZrkyeG,Kaylow,https://open.spotify.com/artist/6nQFuQO2dqH8JR9ZhN0IyH,2024-03-21,253651,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
24 Hours,https://open.spotify.com/track/6s1k8Ry40znPtEb9ijOlnw,24 Hours,https://open.spotify.com/album/0GUvPSLjrBgVOU0jn5BxXf,Kaylow,https://open.spotify.com/artist/6nQFuQO2dqH8JR9ZhN0IyH,2023-06-22,253651,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
30minutes to Soweto,https://open.spotify.com/track/6jfdGlzKaFgaSZESel9EQy,30minutes to Soweto,https://open.spotify.com/album/1eb8a1HGutT2c8EkJB92Oo,Priddy Ugly,https://open.spotify.com/artist/04bckYvJEXGoKmBWW9leSz,2022-07-28,246312,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
Abantu,https://open.spotify.com/track/5xaAYWgBOeJ538Df8skcTR,Inkabi Nation,https://open.spotify.com/album/5LnMd4tXRxTHmLAZSlX7oP,"Inkabi Nation, Mduduzi Ncube, Siya Ntuli, Lwah Ndlunkulu","https://open.spotify.com/artist/4yjXa0a7KagWS3l677Eo8e, https://open.spotify.com/artist/5jvlsVxfcbRVuHJ2Uv8WOh, https://open.spotify.com/artist/5BggJAW7Ubyk8FR87MpGvc, https://open.spotify.com/artist/2h9NlcdGxIEnnh5aQuSeZ1",2023-01-19,224998,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
"Abantu abaThandanako (feat. NtoMusica, Nokulunga Vilakazi, Lunga Dima)",https://open.spotify.com/track/6JpBemU4DvK1ZjBeS9ADtn,iKhambo Lami,https://open.spotify.com/album/5UI6I0JRQlmU4Kf8ukF4rm,"Daskidoh, Pixie L, Lunga Dima, Nokulunga Vilakazi, NtoMusica","https://open.spotify.com/artist/0kja8d7Y2jmEMPREkWJf8U, https://open.spotify.com/artist/38qnDEjuo43UZMmxZRcK6G, https://open.spotify.com/artist/5fyWQbqYFny969khZRMKRU, https://open.spotify.com/artist/6wtQMMlPR1S9gBNIsNOTZK, https://open.spotify.com/artist/7JlErV6ZjUdULnC01bNbGw",2024-06-20,240666,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
Abelungu,https://open.spotify.com/track/1rN3hYaB9H4UcYOuSep8i7,Abelungu,https://open.spotify.com/album/2VIQm1GmXG8iZUXytiydxJ,"Diezel Smoke, Chad Da Don","https://open.spotify.com/artist/0hQEcRSi3aKAYzRuOo7ZF5, https://open.spotify.com/artist/1RB5sQBUeyxeWQefDmdW3k",2022-07-25,264192,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
Abondaba,https://open.spotify.com/track/64hkawrDFd2UW8wuuf5DGN,Abondaba,https://open.spotify.com/album/0iLKzBFZd9dqHy6dQNkXZa,"MusiholiQ, Big Zulu","https://open.spotify.com/artist/7J8TsAqwQVAIOlloWCuW60, https://open.spotify.com/artist/6sNKQgLUy4LVNEX3r1kG1A",2023-08-10,282275,2021-12-29,"Proudly Southern African Afropop gems. Cover: <a href=""https://open.spotify.com/artist/6gTIIzxlV4RQnh0stmRQk5?si=4s1vD4vSSNabUqRSwT6q1Q""> Sbahle</a>",Made In South Africa
