track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#miles,https://open.spotify.com/track/1hboZZxKIEjLHRIkhx4Soi,#miles,https://open.spotify.com/album/2PCs0ZB8bHofV9khzpRmal,skaiwater,https://open.spotify.com/artist/1URVdcNYXigvk6Dj0fHYOM,2022-07-08,115138,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
100% Pure Love - UNIIQU3 Remix,https://open.spotify.com/track/0aCcAr2o7IPxGRxZ6e3rzF,100% Pure Love (UNIIQU3 Remix),https://open.spotify.com/album/0snVlqrONcCE5xKYxs3Dpx,"Crystal Waters, UNIIQU3","https://open.spotify.com/artist/2sd9Q3r0Jhqpe3w9WVuG43, https://open.spotify.com/artist/5aR8qSaApKChlZvzB0Jfpx",2023-07-07,170666,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
160 DOWN THE A406,https://open.spotify.com/track/5jzFu34HlUwVRM79wZiu4J,160 DOWN THE A406,https://open.spotify.com/album/1ooaFV3YPtnPjUGdAIp6bZ,SHERELLE,https://open.spotify.com/artist/2TFDQkQ7LahhuwL9p7R6MO,2022-02-01,362845,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
2 Luv U Better,https://open.spotify.com/track/3PFUozfCJJKXLtUEcEvdTR,2 Luv U Better,https://open.spotify.com/album/0B1f88cgCSb3VAMCLqEK73,"CalvoMusic, Lambo Beach","https://open.spotify.com/artist/2bq46AC8MbKxNRve4AKEEo, https://open.spotify.com/artist/1v8jvO1mW5bU5IiIozqj3N",2022-02-25,160000,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
365 (Thr33 6ix 5ive),https://open.spotify.com/track/5Q4MxA344M8VyFieIC4YTk,365 (Thr33 6ix 5ive),https://open.spotify.com/album/2CPEiNpmYAciWrkFNPUgQC,HoneyLuv,https://open.spotify.com/artist/1sl3gVNz3Nxd4poA8f76sl,2022-04-22,151283,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
4EVA (feat. Pharrell Williams),https://open.spotify.com/track/3CblJq8QQQ0bb7vwJu8c3v,4EVA (feat. Pharrell Williams),https://open.spotify.com/album/3unS7dpXcZ0MmNBDkp5Hqx,"KAYTRAMINÉ, Aminé, KAYTRANADA, Pharrell Williams","https://open.spotify.com/artist/5oifjQw72WO7Jut07fVWMy, https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ, https://open.spotify.com/artist/6qgnBH6iDM91ipVXv28OMu, https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8",2023-04-14,190373,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
6am,https://open.spotify.com/track/1lx452Y4CLMvIois88vwBr,6am,https://open.spotify.com/album/2pyGNsIfsvhBLb2GrQ9Orm,Channel Tres,https://open.spotify.com/artist/4cUkGQyhLFqKHBtL58HYVp,2022-11-11,221748,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
A Pimp Named Slickback,https://open.spotify.com/track/69IzWtMP6VAEr5kpA5tURl,Classics II,https://open.spotify.com/album/2oCs1zkolJFbWmjEIqJFQn,Lakim,https://open.spotify.com/artist/6kncomCdQQz8jvnf7djNZI,2022-02-25,250775,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
A Walk In The Park - Seth Troxler Cruising Remix,https://open.spotify.com/track/4stegoRgdLrI4H72VvzOPp,A Walk In The Park (Seth Troxler Cruising Remix),https://open.spotify.com/album/1lhwvgyb8kbJ7QHVz91FEt,"DJ Minx, Seth Troxler","https://open.spotify.com/artist/4PTQtiKISN5iGNpbRVv02B, https://open.spotify.com/artist/3JkLFcTej6tdwZoQT6Nx4B",2022-11-18,376826,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
Acid in My Blood,https://open.spotify.com/track/3b3TFgnFPhUSk8lvHdO6lX,Acid / Ganzfeld 12”,https://open.spotify.com/album/2VdaeUUwHR6azUFE4MMb6S,Channel Tres,https://open.spotify.com/artist/4cUkGQyhLFqKHBtL58HYVp,2022-04-01,268866,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
After Dark,https://open.spotify.com/track/5eRBmNNRrv66usVlm2K515,After Dark,https://open.spotify.com/album/5HkQZ5tt9RWNGqWeXtYxox,"James Patterson, The Knocks","https://open.spotify.com/artist/154uf79BQbw6Q4C5dPzWdW, https://open.spotify.com/artist/2x7EATekOPhFGRx3syMGEC",2023-06-16,221538,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
Alice - LSDXOXO Remix,https://open.spotify.com/track/050s0Msd1WXkSdG8UjFDEa,Dawn Of Chromatica,https://open.spotify.com/album/3OevODyllQCrhudfLLnV3y,"Lady Gaga, LSDXOXO","https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms, https://open.spotify.com/artist/2M2blWl1LBN2UoxlJdaug2",2022-02-01,160395,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
ALIEN SUPERSTAR,https://open.spotify.com/track/1Hohk6AufHZOrrhMXZppax,RENAISSANCE,https://open.spotify.com/album/6FJxoadUE4JNVwWHghBwnb,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2022-08-05,215459,2022-02-25,"Electronic + Dance making waves, every month. Cover: Shygirl",Electronic + Dance Frequency
