track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana [Edit],https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2023-06-16,231545,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
(still) WON'T4GETU,https://open.spotify.com/track/0XIBrC5NWpiOleeVQuxiIo,(still) WON'T4GETU,https://open.spotify.com/album/6bUu40spRoUdMgjryJKi54,"Shouse, Dennis Ferrer, Seth Troxler","https://open.spotify.com/artist/2TcGJdSOiOvITBzhvfX8XB, https://open.spotify.com/artist/0MGTHZpAGf7isSfw8yMIoi, https://open.spotify.com/artist/3JkLFcTej6tdwZoQT6Nx4B",2023-06-02,374116,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
079,https://open.spotify.com/track/1ULaCASWLNrzg76Jt3VDWd,079,https://open.spotify.com/album/717BskCJ1pYenCuIzoEPW6,"Rain Radio, Block Notice","https://open.spotify.com/artist/2T8o1YNgbgsE41xb62AlRY, https://open.spotify.com/artist/60rugLFQWUwxQEAT8ViGzq",2022-02-18,168200,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
1+1=11 - Edit,https://open.spotify.com/track/2HMas4DrtQoPebT1VL52Dr,1+1=11,https://open.spotify.com/album/4jLAzkokPOXLjGMLaLhryc,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2024-04-05,190644,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
19 - Josh Butler Remix,https://open.spotify.com/track/5GiM1m00X51F9MpREgqy23,19,https://open.spotify.com/album/1ZUfDvXGzk8AQCrZl1g5Dv,"Piem, ANNNA, Josh Butler","https://open.spotify.com/artist/08st4VKj9jjZJ5eKzAOHq8, https://open.spotify.com/artist/6paIiBu0X4cvePrfNpD2QY, https://open.spotify.com/artist/0EAlTKO2HfATH766bVH1rX",2021-07-17,186689,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
1985,https://open.spotify.com/track/5DCoLPjn4bBNmf41iVG5Vh,1985,https://open.spotify.com/album/2vjBfzq0CoilOQluDuD9Ny,"Juls, Tay Iwar, p-rallel","https://open.spotify.com/artist/7BIkk865pwBrSZetA8Izic, https://open.spotify.com/artist/0iqznAW9pzZ7KOjx8aCMWo, https://open.spotify.com/artist/0YSI1Vwzd1u7wO7p3md4qD",2021-03-27,170501,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
24,https://open.spotify.com/track/1pvvg93oaSTKKCUzeEWYwo,24,https://open.spotify.com/album/7pkYBo20zBpRzfyTqBkzhM,"LP Giobbi, Born Dirty","https://open.spotify.com/artist/3oKnyRhYWzNsTiss5n4Z1J, https://open.spotify.com/artist/0qM78DOdgnNPpq2CpTNgU5",2021-12-04,200000,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
24 (Turn It Up) (+6),https://open.spotify.com/track/0EWG5cpMUT0Jp0Pye9S0Ne,24 (Turn It Up) (+6),https://open.spotify.com/album/37nzbaUgb3Y5Tfx1JhObvR,"ANOTR, Kurtis Wells","https://open.spotify.com/artist/4p5WgeiPSPpqPDs7T6OkWf, https://open.spotify.com/artist/2HOnhVnbETGW5Q9TVdZm0S",2024-10-11,180000,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
24 (Turn It Up) (Radio Edit),https://open.spotify.com/track/2QJoGGYG3hUZswfzYI6bBC,24 (Turn It Up) (Radio Edit),https://open.spotify.com/album/2s9zNqmUbiwUbF4xSAFFQJ,"ANOTR, Kurtis Wells","https://open.spotify.com/artist/4p5WgeiPSPpqPDs7T6OkWf, https://open.spotify.com/artist/2HOnhVnbETGW5Q9TVdZm0S",2024-09-27,196721,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
303,https://open.spotify.com/track/15NqqK27F3996RuAoIk7od,303,https://open.spotify.com/album/5ppcUIA98nn4M1GgyVskZk,Future Class,https://open.spotify.com/artist/2jFK9ZXWDd7auJvfNfBcuC,2021-12-17,157440,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
400,https://open.spotify.com/track/4tvlhGkTprgA9dY8gfQISz,400,https://open.spotify.com/album/4EbFL1qYraa4ICB46UbnK3,Chris Lake,https://open.spotify.com/artist/5Igpc9iLZ3YGtKeYfSrrOE,2022-03-28,205466,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
4U,https://open.spotify.com/track/00GvqqIkMdHaxChyhZf9Nx,4U,https://open.spotify.com/album/5p6wULtzOrjrTlMUtrDnVr,"Matroda, Martin Ikin, Sian-Lee","https://open.spotify.com/artist/45lcbTsX07JWzmTIjcdyBz, https://open.spotify.com/artist/7DhdJhd6DrxeJlUajwttd1, https://open.spotify.com/artist/0JiqigemaoIuLScw1UNRr0",2024-08-30,180703,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
54321,https://open.spotify.com/track/1HICQphXvKm6oGfQP1lKOR,54321,https://open.spotify.com/album/3KvahenxQI6sd07OldLtcN,"Desire, Omar S","https://open.spotify.com/artist/2OuSnRT9BKAvFuw0yoTim0, https://open.spotify.com/artist/3BvWiyLcyLMoOIm2U8HepI",2022-12-28,544053,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
5AM At Bagleys,https://open.spotify.com/track/3nKFvxs17ez3awL6S0IS8k,5AM At Bagleys,https://open.spotify.com/album/1BJAJAuOKPc5HoNfpzZrIK,Gorgon City,https://open.spotify.com/artist/4VNQWV2y1E97Eqo2D5UTjx,2025-01-24,250250,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
7 Seconds (feat. Shamiya Battles) - Radio Edit,https://open.spotify.com/track/4HVELk51Nc1UF7jb1nzIRT,7 Seconds (feat. Shamiya Battles) [Radio Edit],https://open.spotify.com/album/6i3MFLyojYO4kteUSnWaVG,"James Hype, Shamiya Battles","https://open.spotify.com/artist/43BxCL6t4c73BQnIJtry5v, https://open.spotify.com/artist/3NTdPQSh0JSz5c5AGngQyE",2024-09-20,92226,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
A Drug From God,https://open.spotify.com/track/4skbQNtyjy8A7mo8oqe2oD,A Drug From God,https://open.spotify.com/album/6tZzL3lTVgWhJb2cE2jz1f,"Chris Lake, NPC","https://open.spotify.com/artist/5Igpc9iLZ3YGtKeYfSrrOE, https://open.spotify.com/artist/3YEsNNbHlb88K9QCog4R0Y",2021-11-13,192455,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
A Little Bit,https://open.spotify.com/track/7za8623cNib4zIP9wKw9Ps,Alchemy,https://open.spotify.com/album/5RMkjbbZvLo9TNdpKrmP71,Disclosure,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et,2023-07-14,209454,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
Aaron Carl Lives On,https://open.spotify.com/track/4c08MkO9gTwDoilfgsO9hQ,Aaron Carl Lives On,https://open.spotify.com/album/7q5hNMvRAWZ0MDcxJ1Wp3P,GIDEÖN,https://open.spotify.com/artist/1iVCq3rhTkFD4gveUnY9a5,2022-12-28,422214,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
About You,https://open.spotify.com/track/4IoWprg6W4DxHjxm1Pi4KT,About You,https://open.spotify.com/album/46f0tRgvuc70TDx8P4dMId,"Sonny Fodera, Biscits","https://open.spotify.com/artist/39B7ChWwrWDs7zXlsu3MoP, https://open.spotify.com/artist/052B9SONfhoScw7dgYWw5o",2022-03-04,218500,2021-03-27,"House music lives here. United under one roof, featuring Westend.",Housewerk
