track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
22 (OVER S∞∞N) - Bob Moose Extended Cab Version,https://open.spotify.com/track/4HEqM4RSvXQAXqSdqqD8qE,22/10,https://open.spotify.com/album/1hz6PP58vVLFpbfufj5c2z,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,202603,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
29 #Strafford APTS,https://open.spotify.com/track/4VZM71F8XAoLRuNyNLxwWS,"22, A Million",https://open.spotify.com/album/1PgfRdl3lPyACfUGH4pquG,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,245200,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
33 “GOD”,https://open.spotify.com/track/1gil9V4XyCurI6DIwN0xrM,33 “GOD”,https://open.spotify.com/album/358KWP6KjgXI9JbViBTzqT,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,213000,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
666 ʇ,https://open.spotify.com/track/7eRU0RltchvgOTSbX6vmdv,"22, A Million",https://open.spotify.com/album/1PgfRdl3lPyACfUGH4pquG,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,252000,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
715 - CR∑∑KS,https://open.spotify.com/track/0H2MmFtJgoeywCIbAN3sid,"22, A Million",https://open.spotify.com/album/1PgfRdl3lPyACfUGH4pquG,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,132000,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
8 (circle),https://open.spotify.com/track/47IklCMgkgWvI4jpkdrop0,"22, A Million",https://open.spotify.com/album/1PgfRdl3lPyACfUGH4pquG,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,309013,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
Beach Baby,https://open.spotify.com/track/7oRNU7Tmek0nm2lqyDojoG,Blood Bank,https://open.spotify.com/album/5MjC805qLtwgqXH1c0kpjK,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,160093,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
Beth/Rest,https://open.spotify.com/track/0BWaLzdLiiDEhYfw9Of3Gr,Bon Iver,https://open.spotify.com/album/0XOyEsl3kgwwVpYcLV5rRs,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,316800,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
Black Muddy River,https://open.spotify.com/track/6JjpTagq6klHgMRRvR2ydc,Day of the Dead,https://open.spotify.com/album/19aZxgHJEtveuVPhDFTMMG,Bruce Hornsby and DeYarmond Edison,https://open.spotify.com/artist/4CHfXDnf1WfLpn7XfCainh,2016-10-20,458403,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
Blood Bank,https://open.spotify.com/track/7qUoDTmVj07qUf6ZBDhWKl,Blood Bank,https://open.spotify.com/album/5MjC805qLtwgqXH1c0kpjK,Bon Iver,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,2016-10-20,285160,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
bones,https://open.spotify.com/track/5wjnYblO49lbaWO24gzQwQ,Silent Signs,https://open.spotify.com/album/6cdzG9rk4pDUlP3CyUTQJx,DeYarmond Edison,https://open.spotify.com/artist/6arKuGbH3PuYfGN6yJ7RA9,2016-10-20,323826,2021-12-21,"The best of Bon Iver, and a bit more of founder Justin Vernon's other projects.",This Is Bon Iver (2)
