track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Antariksh,https://open.spotify.com/track/3JJtci5fSMdxYCVoHRHX2h,Antariksh,https://open.spotify.com/album/41c3IoL1qIAvR38l2kB7Zj,Anuv Jain,https://open.spotify.com/artist/4gdMJYnopf2nEUcanAwstx,2023-07-17,165750,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Batti,https://open.spotify.com/track/5BothkmuukklYm3u26Ajvs,Nayaab,https://open.spotify.com/album/5bRRzI1xuiNAAjdSCg5bnO,"Seedhe Maut, Sez on the Beat, Ab 17","https://open.spotify.com/artist/2oBG74gAocPMFv6Ij9ykdo, https://open.spotify.com/artist/7hI0IRD66iykVpXiieNRbe, https://open.spotify.com/artist/6WZbxCOTFeEqJHpcZYgDiG",2023-07-17,188333,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Beqadra,https://open.spotify.com/track/6zZrzHDXz1PmAF3FVVeebP,Beqadra - Single,https://open.spotify.com/album/3t8ICRKjvRevJcuSNt9L0S,Nehaal Naseem,https://open.spotify.com/artist/6YSVUxXGsQQD2cWSJhN8re,2023-07-17,169848,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Bulleya,https://open.spotify.com/track/6xIhjZX1ZtFIXg1IDa3DAi,Bulleya,https://open.spotify.com/album/3c7tSHkLyybTCmtaNlYLSJ,"Asim Azhar, Shae Gill","https://open.spotify.com/artist/1ZChN8G1Y7CJ0TXbrvblwS, https://open.spotify.com/artist/3bWIy9AUrQdiNeS62Bp3OP",2023-07-17,221132,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Dahi Shakkar,https://open.spotify.com/track/31bxL095ROJr3B221lHBah,Dahi Shakkar,https://open.spotify.com/album/5GmkiflhWv84Fa6OTppCzt,Srushti Tawade,https://open.spotify.com/artist/1fhSwtJ9X5HrqaK9vfCV2M,2023-07-17,221365,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Dil Nu,https://open.spotify.com/track/7AsG1F1eMWd17RYan8M3Wm,Two Hearts Never Break The Same,https://open.spotify.com/album/0eZKTY3yDMqMTrVvtcEokh,"AP Dhillon, Shinda Kahlon","https://open.spotify.com/artist/6LEG9Ld1aLImEFEVHdWNSB, https://open.spotify.com/artist/6aQfrWHwAcuY8IYItbChZh",2023-07-17,233666,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Dior,https://open.spotify.com/track/53QrRlALFJfZgdcGLKwy5s,Still Rollin,https://open.spotify.com/album/5AivaZj0CiQJoDWqVH2pbh,Shubh,https://open.spotify.com/artist/5r3wPya2PpeTTsXsGhQU8O,2023-07-17,139133,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Ektarfa,https://open.spotify.com/track/70wFZWY6cKFxp3Qcq8uxH4,Ektarfa,https://open.spotify.com/album/1iNdJOekTl1JSgPQqIYvDS,King,https://open.spotify.com/artist/5NHm4TU5Twz7owibYxJfFU,2023-07-17,230903,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Go To Sleep,https://open.spotify.com/track/08hPrxBgkSFFNnheFd9u0r,Go To Sleep,https://open.spotify.com/album/78ok2kzHrbNfzMOURMW7CV,"Hanumankind, Parimal Shais","https://open.spotify.com/artist/4nVa6XlBFlIkF6msW57PHp, https://open.spotify.com/artist/2epRpDIZDqjmxSyysULdTQ",2023-07-17,201187,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Iraaday,https://open.spotify.com/track/6qrifdo7QINdPQr80IelGi,Iraaday,https://open.spotify.com/album/5rrokeOdlkdlyLaGfiixYy,"Rovalio, Abdul Hannan","https://open.spotify.com/artist/01pFDtbY3k5uOmy0Pbg93C, https://open.spotify.com/artist/5mWQT8CLTa4mAQAJdFjHb1",2023-07-17,133305,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Issue (Mudda Tere Ishq Da),https://open.spotify.com/track/6y22oyy42VnarRyGEnb4LK,Issue (Mudda Tere Ishq Da),https://open.spotify.com/album/3lhnTNlEW3QviWMhyDK6TM,Real Boss,https://open.spotify.com/artist/7mAbpafXc2MIAZn4ldxEuP,2023-07-17,132000,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Jaqeen,https://open.spotify.com/track/1nJy3ZevNvqBOZcBaS7Wnc,Jaqeen,https://open.spotify.com/album/2rkLuwz0TuXoVYdNhNIAXz,"Talwiinder, Rish","https://open.spotify.com/artist/6QoCrBHsojKnOrsGNfRcTN, https://open.spotify.com/artist/0KzR1TCZ13KSIabw8xUaMK",2023-07-17,205075,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Kajal,https://open.spotify.com/track/0YVpNFgaEt2NFBAcUBiZU0,Madari,https://open.spotify.com/album/44VVN1lOB0mYZFEMDv5yX8,Munawar Faruqui,https://open.spotify.com/artist/7yLGN6pQ3Fll8eWpjJwwQl,2023-07-17,161676,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Kehendi Si,https://open.spotify.com/track/2auZEK0tQuqGHI9289piP7,Kehendi Si,https://open.spotify.com/album/4f4fCEe8Gp5kKI58YG3cye,"Rish, Raga","https://open.spotify.com/artist/0KzR1TCZ13KSIabw8xUaMK, https://open.spotify.com/artist/4MJZBb8KABfKw0gzfgacpO",2023-07-17,181333,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Kitse,https://open.spotify.com/track/5lRpjhcokr9ICFEgWnWmZK,Kitse,https://open.spotify.com/album/369HA88bBIUJuvF7nLdkJM,"Nyn Music, Mohito","https://open.spotify.com/artist/1mdpuEMzGFix1xdvjOma0t, https://open.spotify.com/artist/47iQfoE3WJMcR4QtOHNc1M",2023-07-17,205714,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Kulli,https://open.spotify.com/track/7sGxXecajrnRaorH9qT79D,Kulli,https://open.spotify.com/album/1AE7bcXQofZ7OuctD1qtsQ,"Tech Panda, Kenzani","https://open.spotify.com/artist/3mzZ5nf3QScPqc7y9EzJ6X, https://open.spotify.com/artist/6h4u0DWy8GXHeehzB0kaiM",2023-07-17,248569,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
kya karoon?,https://open.spotify.com/track/6nXwthh92R2HlnyBWtHgHP,Genesis 1:1,https://open.spotify.com/album/2YhSRDucqtADBF45V9Ak9f,Zaeden,https://open.spotify.com/artist/5lMNphVhMLvhFmTWiKiLA2,2023-07-17,200275,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Kyun,https://open.spotify.com/track/5FsqQpWVPzhDfnyNqU2Og7,Kyun,https://open.spotify.com/album/6GxIBsdJ8kYdHgnpKRByFM,Aastha Gill,https://open.spotify.com/artist/1BYjhAClGpBTLZfics0VRZ,2023-07-17,146430,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Maan Meri Jaan,https://open.spotify.com/track/1418IuVKQPTYqt7QNJ9RXN,Champagne Talk,https://open.spotify.com/album/15CyNDuGY5fsG0Hn9rjnpG,King,https://open.spotify.com/artist/5NHm4TU5Twz7owibYxJfFU,2023-07-17,194653,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Maan Meri Jaan (Afterlife),https://open.spotify.com/track/0NapkeC45rszeuSgbvcjx4,Maan Meri Jaan (Afterlife),https://open.spotify.com/album/02K4LsS2gNvzJzdVsrZ6Wc,"King, Nick Jonas","https://open.spotify.com/artist/5NHm4TU5Twz7owibYxJfFU, https://open.spotify.com/artist/4Rxn7Im3LGfyRkY2FlHhWi",2023-07-17,186998,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
Mangan Aiyaan,https://open.spotify.com/track/1A27G1hOLRBA0nKvakRZHI,Mangan Aiyaan,https://open.spotify.com/album/3mgsIaswVoF08xKiZuiLgn,Atif Aslam,https://open.spotify.com/artist/2oSONSC9zQ4UonDKnLqksx,2023-07-17,233123,2023-07-18,Catch King's favorite South Asian tracks!,Spotlight: King 
