track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1901,https://open.spotify.com/track/1Ug5wxoHthwxctyWTUMGta,Wolfgang Amadeus Phoenix,https://open.spotify.com/album/0xG5b9nkWxKc5VTpo6Fq5I,Phoenix,https://open.spotify.com/artist/1xU878Z1QtBldR7ru9owdU,2024-08-19,193106,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
2 days into college,https://open.spotify.com/track/1v4m9GLt7lpFM5iOvwQZrU,2 days into college,https://open.spotify.com/album/1RzErf193ngBH4DRAFZvz3,Aimee Carty,https://open.spotify.com/artist/4LkmOQU5KA6vZgvJHnpQDl,2024-03-12,168113,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
A&W,https://open.spotify.com/track/5nW4z3pfZgJAJ2QTCz9AIE,Did you know that there's a tunnel under Ocean Blvd,https://open.spotify.com/album/5HOHne1wzItQlIYmLXLYfZ,Lana Del Rey,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,2023-11-29,433916,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
About You,https://open.spotify.com/track/1fDFHXcykq4iw8Gg7s5hG9,Being Funny In A Foreign Language,https://open.spotify.com/album/6dVCpQ7oGJD1oYs2fv1t5M,The 1975,https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW,2023-11-29,326490,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
Airplane,https://open.spotify.com/track/5U0vVExqpq4pOEhs2ODuA9,Romanticism,https://open.spotify.com/album/6I7Al2K8HxKvyJcook1ZR8,Hana Vu,https://open.spotify.com/artist/3diDUq8QMCCtx8a4Jy42aO,2024-05-09,234234,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
Always,https://open.spotify.com/track/2LlOeW5rVcvl3QcPNPcDus,NEVER ENOUGH,https://open.spotify.com/album/7ivbFszr1TbVadj89BIy1y,Daniel Caesar,https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA,2023-11-29,225312,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
Amour plastique,https://open.spotify.com/track/269XSeQhDrWEotMALJaACW,Euphories,https://open.spotify.com/album/1WfIjwnJ0aHiWCSkeSSeuV,"Videoclub, Adèle Castillon, Mattyeux","https://open.spotify.com/artist/3rp4f58JlRHkk8hpdLCer1, https://open.spotify.com/artist/4ueh4hmRvt62k4BgP8dIS0, https://open.spotify.com/artist/3bFokK6zCab3bPwSjktEVF",2023-11-29,225040,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
Amour plastique,https://open.spotify.com/track/7M3HuQRRAm1QD4kftmq0bb,Amour plastique,https://open.spotify.com/album/3wcUR4eM3Ccp8uZ0lBXCGJ,"Videoclub, Adèle Castillon, Mattyeux","https://open.spotify.com/artist/3rp4f58JlRHkk8hpdLCer1, https://open.spotify.com/artist/4ueh4hmRvt62k4BgP8dIS0, https://open.spotify.com/artist/3bFokK6zCab3bPwSjktEVF",2024-06-07,227026,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
anything,https://open.spotify.com/track/4PwWESSlTwzvw9B7bmtTLS,songs,https://open.spotify.com/album/2Qt8Z1LB3Fsrf6nhBNsvUJ,Adrianne Lenker,https://open.spotify.com/artist/4aKWmkWAKviFlyvHYPTNQY,2024-08-19,202047,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
Apocalypse,https://open.spotify.com/track/0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,https://open.spotify.com/album/2mxFsS5yylSTHNivV53HoA,Cigarettes After Sex,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj,2023-11-29,290616,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
August 10,https://open.spotify.com/track/0yOf4dgkVq8jbB2zxVK8Zj,Broken Girl,https://open.spotify.com/album/02zGqoK00H1Rx5T5A9dUXI,Julie Doiron,https://open.spotify.com/artist/1sjeOeIPG7quxVgmNspYyT,2025-01-27,178000,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
Back On 74,https://open.spotify.com/track/19kHhX6f6EfLU7rcO3RqjO,Volcano,https://open.spotify.com/album/5xnXOCf5aZgZ43DgGN4EDv,Jungle,https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071,2023-11-29,209482,2023-11-30,The indie viral hits you can't escape. Cover: Chappell Roan,Indie that hits different 
