track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2 Minutes to Midnight - 2015 Remaster,https://open.spotify.com/track/2SrVGpjv0mqCR6j9EZPSm2,Powerslave (2015 Remaster),https://open.spotify.com/album/309KOMEivisMmBuzk09635,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,363586,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
22 Acacia Avenue - 2015 Remaster,https://open.spotify.com/track/51S9pXdACCrhputBUl05Cs,The Number of the Beast (2015 Remaster),https://open.spotify.com/album/5S3gls8Kjn8KVmqlIDEBbO,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,396760,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Aces High - 2015 Remaster,https://open.spotify.com/track/3wFGRek61NIF330UwJCI52,Powerslave (2015 Remaster),https://open.spotify.com/album/309KOMEivisMmBuzk09635,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,271906,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Afraid to Shoot Strangers - 2015 Remaster,https://open.spotify.com/track/6QKhecJ2JuajCTPTtYkKUQ,Fear of the Dark (2015 Remaster),https://open.spotify.com/album/16Su3EUFLPqWVyrwN1q5wO,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,416560,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Alexander the Great (356-323 B.C.) - 2015 Remaster,https://open.spotify.com/track/2mpdTbHtsUTbunJ62itq2E,Somewhere in Time (2015 Remaster),https://open.spotify.com/album/0OEg65hPhgP7B0Dy9TqP2L,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,517093,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Be Quick or Be Dead - 2015 Remaster,https://open.spotify.com/track/7xa3dJQMzBVzsrZ81tNcHP,Fear of the Dark (2015 Remaster),https://open.spotify.com/album/16Su3EUFLPqWVyrwN1q5wO,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,203653,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Blood Brothers,https://open.spotify.com/track/0Rikz1yDeAvCAS77IYoqTV,Brave New World,https://open.spotify.com/album/54kKQOjuoqjp63zfYL4kVe,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,435453,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Brave New World,https://open.spotify.com/track/4FfIjCF4Hj5urJMYHlVjpc,Brave New World,https://open.spotify.com/album/54kKQOjuoqjp63zfYL4kVe,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,379453,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Bring Your Daughter... to the Slaughter - 2015 Remaster,https://open.spotify.com/track/40j3GW7l0R4EM12fHqNqM2,No Prayer for the Dying (2015 Remaster),https://open.spotify.com/album/21ZEAwY2TDnoQvVMJKkjUk,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,283693,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Can I Play with Madness - 2015 Remaster,https://open.spotify.com/track/5YBRbCkuzxkxA3e5BfetdI,Seventh Son of a Seventh Son (2015 Remaster),https://open.spotify.com/album/1rG6IgNdwE1IGFuIKuYosz,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,211253,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Caught Somewhere in Time - 2015 Remaster,https://open.spotify.com/track/5F5Wshdfs9oe188TryHRia,Somewhere in Time (2015 Remaster),https://open.spotify.com/album/0OEg65hPhgP7B0Dy9TqP2L,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,447333,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Children of the Damned - 2015 Remaster,https://open.spotify.com/track/7tcaQvBbSpNN0P2UF6WXxB,The Number of the Beast (2015 Remaster),https://open.spotify.com/album/5S3gls8Kjn8KVmqlIDEBbO,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,275280,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Coming Home,https://open.spotify.com/track/4nR3yzH1NavoPTAFF0zuvN,The Final Frontier,https://open.spotify.com/album/3CE0SB7URLI49lxJcykXUi,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,352440,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Dance Of Death,https://open.spotify.com/track/6Bg8wr9A4pEQu98f2WMJJp,Dance Of Death,https://open.spotify.com/album/0jt8OtAiK8HEAGWRrX4VY7,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,517173,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Days Of Future Past,https://open.spotify.com/track/2L42uB1e5wuanTTPEWVe64,Senjutsu,https://open.spotify.com/album/3TymcPWXqsCRA5oSL0TkPU,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,243754,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Different World,https://open.spotify.com/track/4eJRFSAyXHRYkOAaCQ4yJM,A Matter Of Life And Death,https://open.spotify.com/album/5qLvOn0QzAWOqonBc05Ord,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,257746,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
Fear of the Dark - 2015 Remaster,https://open.spotify.com/track/6p8eFfPw3nQkf37aT3AkmK,Fear of the Dark (2015 Remaster),https://open.spotify.com/album/16Su3EUFLPqWVyrwN1q5wO,Iron Maiden,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,2021-11-14,438120,2021-12-21,The best of Iron Maiden. All in one playlist.,This Is Iron Maiden (2)
