track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'Til You Can't,https://open.spotify.com/track/13rC4iKtfQocWIfzPOJxaT,'Til You Can’t / Longer Than She Did,https://open.spotify.com/album/5MzgI1Hzjkf1Dj7xW7d1GL,Cody Johnson,https://open.spotify.com/artist/6zLBxLdl60ekBLpawtT63I,2022-02-17,224773,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
(This Ain't) No Thinkin' Thing,https://open.spotify.com/track/4AWZVz9cuAS1ZsJUB5cq8S,Definitive Greatest Hits,https://open.spotify.com/album/5CFWkDEnKrS3Ar8Da5CGhR,Trace Adkins,https://open.spotify.com/artist/79FMDwzZQxHgSkIYBl3ODU,2022-02-17,241120,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
A Little Past Little Rock,https://open.spotify.com/track/0ieL9hQJOHdlnyeOoBv768,Some Things I Know,https://open.spotify.com/album/2Wdl9EOvTg4l4AhEpYovw8,"Lee Ann Womack, Jason Sellers","https://open.spotify.com/artist/738OS3zrCO782uDiUN9pet, https://open.spotify.com/artist/5TRj3DqC4pcZaTIGFq99Bg",2022-06-10,256399,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Amarillo By Morning,https://open.spotify.com/track/4TnUKixNWMfajncgdSwFoi,Strait From The Heart,https://open.spotify.com/album/3NB2cmFq9nyhHSVz0Zv08t,George Strait,https://open.spotify.com/artist/5vngPClqofybhPERIqQMYd,2022-02-17,173466,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Any Man Of Mine,https://open.spotify.com/track/0pdfN7nOHMYmKykzu1cyfm,The Woman In Me,https://open.spotify.com/album/3wDeIA9tJU0uNlsroUdcYK,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,2022-02-17,246760,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Baby Do,https://open.spotify.com/track/1SfmBUgRfSDAl7pbfY6ks0,Baby Do,https://open.spotify.com/album/06EhqGLZlsxKMC6O2sPVgG,Randall King,https://open.spotify.com/artist/4Uux6BdaCNrVFQ0bqGRtfh,2022-03-18,208392,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Beer Never Broke My Heart,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx,What You See Is What You Get,https://open.spotify.com/album/0S9D5NIDp2YXhYwlvuJzqx,Luke Combs,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,2022-02-17,186733,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Before I Knew It,https://open.spotify.com/track/3cqWSJzuxZCsglpaxWtosT,Twang,https://open.spotify.com/album/5VbW7e3Ej3H1K5qZ74U42S,Mason Ramsey,https://open.spotify.com/artist/6xvpfMjWTougrRRtK7iikz,2022-03-25,201973,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Bible and a .44,https://open.spotify.com/track/14Bn5n5iGEVMZN5nb9xUVF,Jalopies & Expensive Guitars,https://open.spotify.com/album/2OVwF1wNT8lJgiYLhjFzKT,Ashley McBryde,https://open.spotify.com/artist/371jpyGdoChzUASOIG2ECV,2022-02-17,235853,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Big Day in a Small Town,https://open.spotify.com/track/2R4GzWIHMWTQfAtZX74l8i,Big Day in a Small Town,https://open.spotify.com/album/5WT3uq1m6c85ydroGQwqXl,Brandy Clark,https://open.spotify.com/artist/5vMAKlvvMNSRQRYCAvpG6S,2022-03-25,223133,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Blame It On the Rain,https://open.spotify.com/track/2QachFuS9lrs5LLQ2aE8nB,Blame It On the Rain,https://open.spotify.com/album/6ddgSrpTHJe89ipQ4Ux2h8,Chancey Williams,https://open.spotify.com/artist/6kaBU6Hz3GSkpRh6tfuA98,2022-02-17,184466,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Boots On,https://open.spotify.com/track/7K4VxvIXXbDbaVn6ARbch1,Anything Goes,https://open.spotify.com/album/4xw2DKqtMyAde8WoF80WiQ,Randy Houser,https://open.spotify.com/artist/56x8mYvS3cyDGAi8N2FxbB,2022-02-17,170813,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Boys Back Home,https://open.spotify.com/track/6aMCyqX0t9BZGF4VCRJvud,Raised,https://open.spotify.com/album/7tjtI8UJuD7gwNW7lBesUc,Hailey Whitters,https://open.spotify.com/artist/4e9TBaTlI3LVQz3tkTYC0I,2022-03-18,196120,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Break Down Here,https://open.spotify.com/track/1xsGrsVJwG9zel8pefzVeo,Julie Roberts,https://open.spotify.com/album/6KnZp9UWIWTP6XqANgXaTi,Julie Roberts,https://open.spotify.com/artist/5sXhYkm9PpLn5R70U2T6Ba,2022-02-17,245493,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Broke Again,https://open.spotify.com/track/0Mb0wOCpbmHOZbxyD0Eomu,Broke Again,https://open.spotify.com/album/38tkV9kjqwQ5jho1f6N26W,Joshua Hedley,https://open.spotify.com/artist/6OJg4GNkAEtu0cfDVRbnjh,2022-03-25,151930,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Broken Neon Hearts,https://open.spotify.com/track/4p3FGuE3sa95Oq8CUggOtg,Broken Neon Hearts,https://open.spotify.com/album/3UBCPfcnpK4KidTVfJT6BE,Ronnie Dunn,https://open.spotify.com/artist/1iLuTmIgxCEiEllDSWkeIy,2022-02-17,201435,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Brother Jukebox,https://open.spotify.com/track/1Ov6koHfZL43pGCDdfIoHf,Too Cold At Home,https://open.spotify.com/album/4AayO56uNmJLHcHtF0aTpA,Mark Chesnutt,https://open.spotify.com/artist/2cNV8vNe2fPFf6OfGOBbSS,2022-02-17,184840,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
Bubba Shot The Jukebox,https://open.spotify.com/track/7fJaL74toBMoNuO7iUXsST,20th Century Masters: The Millennium Collection: Best of Mark Chesnutt,https://open.spotify.com/album/5xUFPoqCFaU40vSGBe6xmG,Mark Chesnutt,https://open.spotify.com/artist/2cNV8vNe2fPFf6OfGOBbSS,2022-02-17,185866,2022-02-19,Traditional country sounds from artists of yesterday and today.,Traditional Country
