track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1999,https://open.spotify.com/track/2H7PHVdQ3mXqEHXcvclTB0,1999,https://open.spotify.com/album/3U1ht9EdWEI9nMvaqdQI67,Prince,https://open.spotify.com/artist/5a2EaR3hamoenG9rDuVn8j,2022-04-16,379266,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
9 to 5,https://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG,9 To 5 And Odd Jobs,https://open.spotify.com/album/64Ky1tqKPfwxhJs6msphWd,Dolly Parton,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,2022-04-16,162466,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Abracadabra - Remastered 2017,https://open.spotify.com/track/58bTw40is1J6A67eejMdLn,Ultimate Hits (Deluxe Edition),https://open.spotify.com/album/55BRnR7WmsGAd6qX184A0R,Steve Miller Band,https://open.spotify.com/artist/6QtGlUje9TIkLrgPZrESuk,2022-04-16,311852,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Addicted To Love,https://open.spotify.com/track/5izGeTxueiFX1UPFGohY9w,Riptide,https://open.spotify.com/album/73bPiJRwVPkE8dpyCikfFd,"Robert Palmer, Eric 'ET' Thorngren","https://open.spotify.com/artist/530Sdm7eqqzWBdDmILMgnu, https://open.spotify.com/artist/0tO3KaRy0ZACd8XJYT3IX2",2022-04-16,363640,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Africa,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,Toto IV,https://open.spotify.com/album/62U7xIHcID94o20Of5ea4D,TOTO,https://open.spotify.com/artist/0PFtn5NtBbbUNbU9EAmIWF,2022-04-16,295893,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Ain't Nobody,https://open.spotify.com/track/53Za5vyGc1x7GxgJVRjRKc,Stompin' At The Savoy,https://open.spotify.com/album/3j0kxKahatiR5d0sPPtTjP,"Rufus, Chaka Khan","https://open.spotify.com/artist/3MCjwjfIor5FkK3h639qkW, https://open.spotify.com/artist/6mQfAAqZGBzIfrmlZCeaYT",2022-04-16,285253,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
All Night Long (All Night) - Single Version,https://open.spotify.com/track/2Wb9ejnmy27DUTUe9YF5Ew,The Definitive Collection,https://open.spotify.com/album/1W1b52vaEcE3wfWk4WQH6q,Lionel Richie,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl,2022-04-16,260426,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Alone,https://open.spotify.com/track/54b8qPFqYqIndfdxiLApea,Bad Animals,https://open.spotify.com/album/56dfEbntfVTMCxjrjggL1e,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2022-04-16,218733,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Alone - Remastered,https://open.spotify.com/track/0h17TpfCKbbib1J37Qgj7r,Greatest Hits 1985-1995,https://open.spotify.com/album/5bOhnWhieBJGivUovmtob5,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2022-04-16,219293,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Another One Bites The Dust - Remastered 2011,https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J,The Game (Deluxe Remastered Version),https://open.spotify.com/album/6wPXUmYJ9mOWrKlLzZ5cCa,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2022-04-16,214653,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Baby Jane - 2008 Remaster,https://open.spotify.com/track/1wrT33b6HuKlpk9ziscEUY,Body Wishes,https://open.spotify.com/album/065Q5LxNZPSjmqcZmGeRGc,Rod Stewart,https://open.spotify.com/artist/2y8Jo9CKhJvtfeKOsYzRdT,2024-03-22,283493,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Back To Life,https://open.spotify.com/track/7vvRkLPIvfjjmCIqNxBuEZ,Keep On Movin',https://open.spotify.com/album/1y3jN9LkTstdnogs1Xywni,"Soul II Soul, Caron Wheeler","https://open.spotify.com/artist/2sIx6SmAMw9IBySG3Uj0jf, https://open.spotify.com/artist/2RhMHmV21ZDcSGZ872U4ZY",2022-04-16,228266,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Billie Jean,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,Thriller 25 Super Deluxe Edition,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,2022-04-16,293826,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Boys - Summertime Love,https://open.spotify.com/track/1uI848raFaNWwe9HjHpjQ5,Sabrina,https://open.spotify.com/album/2VlucjjwY5zQCdnyzPU75v,Sabrina,https://open.spotify.com/artist/1YB5pnFfL7Y2vjRJLPxaLU,2024-03-22,234812,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
Call Me,https://open.spotify.com/track/7HKxTNVlkHsfMLhigmhC0I,Call Me,https://open.spotify.com/album/18fOLsMG8Msf1DEaW0E71K,Blondie,https://open.spotify.com/artist/4tpUmLEVLCGFr93o8hFFIB,2022-04-16,212226,2022-06-02,The songs of the 1980s that will make you dance all summer long!,Summer Hits of the 80s
