track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
16-18 - Why You Lacking Energy?,https://open.spotify.com/track/3AbBhCBOitsqgevecNDRbV,16-18 (Why You Lacking Energy?),https://open.spotify.com/album/0F0WaWSKKhjdcJUt0lkaCH,Cassia,https://open.spotify.com/artist/2413I9w4sRbBz4zi5zgwjX,2022-06-22,198760,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
1975,https://open.spotify.com/track/5RLzgNuAfuKx808CN60gCy,SUGAR EP.,https://open.spotify.com/album/2ue0uFTFAFxETZEtLBphmJ,Tash Sultana,https://open.spotify.com/artist/6zVFRTB0Y1whWyH7ZNmywf,2023-09-29,436569,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
2much2soon,https://open.spotify.com/track/6siBdjNAiPG4V4pZMFNvac,2much2soon,https://open.spotify.com/album/6lelFbCH0ZJ80em8wganZo,"Sjowgren, AJSF","https://open.spotify.com/artist/32Ko3nL0210QAt14S3Rs4Y, https://open.spotify.com/artist/00WIyZKC5hWNyrW92VzAj1",2024-07-12,181920,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
501,https://open.spotify.com/track/5Tp6cM02TFg9K1aLKjbeQO,501,https://open.spotify.com/album/02SQmWh56gUEjYFWJjrzhO,Mehalah Ray,https://open.spotify.com/artist/2FyrB3pGnBmM38dqsu4qXK,2022-03-19,194500,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
a girl like me,https://open.spotify.com/track/2KzkWP9RYW1xz4gqDRArQd,a girl like me,https://open.spotify.com/album/51gIsdlU8UIgzSgDJrEr9Z,flowerovlove,https://open.spotify.com/artist/1JspXUvEv3D9ddMeLNqYWj,2024-03-22,162628,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
A Little Less Bored,https://open.spotify.com/track/7Mf4X2WRdXV3GCCkc6dlk0,A Little Less Bored,https://open.spotify.com/album/4YbZzBoYBVEZeEceOu85iP,Sir Simon,https://open.spotify.com/artist/66s4j0fEi6h0xeQfbh54FP,2021-11-12,193000,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
A Postcard to Nina,https://open.spotify.com/track/0b1Cpu2geO7om7aW066a7K,Night Falls Over Kortedala,https://open.spotify.com/album/7JCBRYuae6ORVUFVJ1WFg7,Jens Lekman,https://open.spotify.com/artist/7tzI4rSFTHafjF18ZrNZWx,2022-03-19,300506,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
Actor With A Loaded Gun,https://open.spotify.com/track/3u8KqniHoAO7mdq3ynkqym,Rain / Actor With A Loaded Gun,https://open.spotify.com/album/18NwctEsyhxA7ZQ1K6bkFL,Dan Croll,https://open.spotify.com/artist/5Rr15NSbi1Xjno1AEP9u21,2021-11-12,177693,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
Alarms,https://open.spotify.com/track/43cNTR4dG6IbUb0F88pl4T,Alarms,https://open.spotify.com/album/1iIXuLWSglIedAyUFpaN1J,Blue States,https://open.spotify.com/artist/2wlTl7AyP0icYtAsmPylw6,2022-03-19,192160,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
All Fall Down,https://open.spotify.com/track/2vl3iQZmJZ2Ztz3USIUHCH,All Fall Down,https://open.spotify.com/album/0p6mdiaKAjYCS3uX4VL1rT,Travis,https://open.spotify.com/artist/3bUwxJgNakzYKkqAVgZLlh,2022-03-19,207533,2021-12-30,Have the loveliest little day.,The Lovely Little Playlist
