track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
17 Años,https://open.spotify.com/track/1Y372uxsCkKqNclj2ercap,Una Lluvia De Rosas,https://open.spotify.com/album/3cwMyqMeTxBd26z6AjKGdv,Los Ángeles Azules,https://open.spotify.com/artist/0ZCO8oVkMj897cKgFH7fRW,2023-11-09,181306,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
20 Rosas,https://open.spotify.com/track/5zOWyxUVE0i9Ziwm6cE7aF,Una Lluvia De Rosas,https://open.spotify.com/album/3cwMyqMeTxBd26z6AjKGdv,Los Ángeles Azules,https://open.spotify.com/artist/0ZCO8oVkMj897cKgFH7fRW,2023-11-09,194560,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
A Esa Gran Velocidad,https://open.spotify.com/track/5dXKQ5MzrOPjFwtJEJZYuu,Valedores Juveniles,https://open.spotify.com/album/1EozvZIEU6wB5gwy6cEKCN,El Haragán y Compañía,https://open.spotify.com/artist/2NN9pzej9qFOOLBfRnmhIV,2023-11-09,335621,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
A.D.O.,https://open.spotify.com/track/1zP1eEWNTrTJxDeGNv0XjH,40 Años Vol. 1,https://open.spotify.com/album/2XxGkIvhq9F2eHxSifNpu1,El Tri,https://open.spotify.com/artist/3HgZDevp7GspkLUAa5cKne,2023-11-09,294586,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
Abandonado,https://open.spotify.com/track/3zTtqNPnbLUKTmj69JapdD,Recuerdos,https://open.spotify.com/album/3bvSVLCNLuiBqLiXt6bAN5,Efrén David,https://open.spotify.com/artist/5j8A0drRTB6kfW70XY9J2g,2023-11-09,272091,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
Agua De Vida,https://open.spotify.com/track/6eL8Ej7iJqv7NOPoY7bC8Z,Agua De Vida,https://open.spotify.com/album/7I9KOeQ3uj3CMRcRg5Sf2l,Grupo Perla Colombiana,https://open.spotify.com/artist/559JHjpDxj6SYy8kwGoa5V,2023-11-09,214826,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
Agua de vida,https://open.spotify.com/track/4R6WYoefcvItKOQWbCWybg,La Perla Colombiana 20 Exitos (Vol 1),https://open.spotify.com/album/1boTDcBDk41mklPCQTQfnu,Perla Colombiana,https://open.spotify.com/artist/28DMUdkRLYzfNz8Jb6mU14,2024-07-02,218853,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
Al Despertar,https://open.spotify.com/track/0GCM7zzCulIbsU07Tt8trk,Qué Cante El Amor,https://open.spotify.com/album/0vPT6w0dqWEo45IJuqqAuo,Rayito Colombiano,https://open.spotify.com/artist/3yJUTkFm88TiJPLhLHKumn,2023-11-09,202613,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
Amor Carnal,https://open.spotify.com/track/2BvixI7ri9MTF60jLSZLGW,Locura De Amor,https://open.spotify.com/album/5EDey3kMxdheEFK69Tq8EF,Grupo Karo's,https://open.spotify.com/artist/3wOf6DlTkRycQcnlDrTe2x,2023-11-09,237080,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
Amor Regresa,https://open.spotify.com/track/3nbCTU4k0l68vml8nDajwU,Pasión Y Cumbia,https://open.spotify.com/album/6DPWLpcFLqrD50JfN6NOk1,Los Askis,https://open.spotify.com/artist/7wiOKrtPg196Hh90CdoKPi,2023-11-09,213026,2023-11-11,"Antes de entrar, permita salir.",Corazón Chilango
