track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(You) Got What I Need,https://open.spotify.com/track/5NelxeQ8Yd4ytdhdGog8c5,Cry To Me-The Best Of Freddie Scott,https://open.spotify.com/album/4RFn1tAt9wBDGxERS38bZK,Freddie Scott,https://open.spotify.com/artist/3uuQLSmKyXSXIStTYGKLrT,2024-01-31,179333,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
100 Yard Dash,https://open.spotify.com/track/2OPANrnimcwWcVQuDk8ibD,The Way I See It,https://open.spotify.com/album/4pZGQstlWtYIPjDMX79HDB,Raphael Saadiq,https://open.spotify.com/artist/6g0Wah2YFtb1rFgKhUktlo,2022-03-30,138426,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
17,https://open.spotify.com/track/1qeY5OKZvj3kpRCHGHRgFT,Get With The Times,https://open.spotify.com/album/4WPpkvX7xqyRfLlWYUdXok,Bekon,https://open.spotify.com/artist/4VWnuR2hpj6DZNfcpe4e3M,2021-12-16,250028,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
Across the Sea,https://open.spotify.com/track/6NXW1J0rvUBX7JprJg31H3,Across the Sea,https://open.spotify.com/album/0DLQ1wt7WQaNaP1s132H3z,Falqo,https://open.spotify.com/artist/3OvevnaMKTcWEKhxnYPIru,2022-02-04,273122,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
After All,https://open.spotify.com/track/430AnSE09cNCZ42bG27QyU,After All,https://open.spotify.com/album/2bd7eQfyCYZWJ5qfwS8Hma,Charlotte Day Wilson,https://open.spotify.com/artist/3GQboECxDT1xqPPWC30p7v,2022-03-30,252245,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
After Midnight (feat. Clairo),https://open.spotify.com/track/0KIpuVYhKUUUpjo6H5NvBY,After Midnight (feat. Clairo),https://open.spotify.com/album/6xsvkBbeMsrk6HPDBsJEwS,"Phoenix, Clairo","https://open.spotify.com/artist/1xU878Z1QtBldR7ru9owdU, https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag",2023-06-26,188000,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
Aiming Up,https://open.spotify.com/track/4Biz6kWjg6lHwupqnpqhJ7,Another Tape,https://open.spotify.com/album/6LknJNvTsZpTeZhFstYPKG,Two Another,https://open.spotify.com/artist/35RvGPQ1OxbEZknWyiaAcs,2022-09-26,230484,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
Aiming Up,https://open.spotify.com/track/7mQ5ho9YddYEMBd6qbSkQH,Aiming Up,https://open.spotify.com/album/2tnVzZQXQTM6x9TyjDStuJ,Two Another,https://open.spotify.com/artist/35RvGPQ1OxbEZknWyiaAcs,2022-03-30,230886,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
Ain't No Stoppin' Us Now - Single Version,https://open.spotify.com/track/352zgXSWzF85TvLhzJ7kkK,The Best Of Philadelphia International Records,https://open.spotify.com/album/3H07uxfYAIqJqrKitWQGtZ,McFadden & Whitehead,https://open.spotify.com/artist/3iQM78Xg0wJnGZhgVNLPmY,2022-03-30,217773,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
Alive (feat. Bing Ji Ling),https://open.spotify.com/track/6hqdBOgpC58Hsq0kzQlhju,Just Landed,https://open.spotify.com/album/4UpreRuEiLfSJhUw3XYjOG,"Cantoma, Bing Ji Ling","https://open.spotify.com/artist/2OCGJk1N7eN9faLPLs07Ax, https://open.spotify.com/artist/4sIafgKDXEcNYhttAcg9R3",2021-12-30,296106,2021-12-21,An uplifting yet tasteful dinner playlist with a guaranteed feel good vibe.,Feel Good Dinner
