track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1 True Love,https://open.spotify.com/track/2dJ1UJEQQq3jkLSJP4ZIoi,Turning Red (Original Motion Picture Soundtrack),https://open.spotify.com/album/6z1EZ0KfoiVW0bXIbOWAu3,"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Topher Ngo, Grayson Villanueva, Josh Levi","https://open.spotify.com/artist/7jLpPyJ5gQxCvwiBsUfFu6, https://open.spotify.com/artist/60wslYioiBcxSTInM4nIy2, https://open.spotify.com/artist/7hCuNVmOMT7ntattMgmL96, https://open.spotify.com/artist/10WKlp1bjWxC1IWbpX4Q6l, https://open.spotify.com/artist/0wSCwQI0t7XUj0zdGO25PZ, https://open.spotify.com/artist/6NvsNA4Ea62yJh7ePTS8gz",2023-09-15,199906,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
"A Bug's Life Suite - From ""A Bug's Life""/Score",https://open.spotify.com/track/407YIDqsL4S3ZJ2BOFg4P0,A Bug's Life,https://open.spotify.com/album/5MYKGPG7eGeLCwk9vteT87,Randy Newman,https://open.spotify.com/artist/3HQyFCFFfJO3KKBlUfZsyW,2023-09-15,312226,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
"Better Together - From ""Better Together: A Pixar Pals Celebration!""",https://open.spotify.com/track/6LTUn6f3HCjZoXMmtPSaWz,"Better Together (From ""Better Together: A Pixar Pals Celebration!"")",https://open.spotify.com/album/4193bpWUUD8TiYWKSg0szD,"Matt from Middle School, Norelle","https://open.spotify.com/artist/46fLGtPanLY0STB13RIJTm, https://open.spotify.com/artist/5B08rGb3FZKEEhNdsyQV8T",2024-05-30,154760,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
Beyond The Sea,https://open.spotify.com/track/2fjRInUmwqLhgvW9hQtbo6,Finding Nemo (Original Motion Picture Soundtrack),https://open.spotify.com/album/2kJpuz9FOqX5riMjGwihhY,Robbie Williams,https://open.spotify.com/artist/2HcwFjNelS49kFbfvMxQYw,2024-04-08,266600,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
Beyond the Sea,https://open.spotify.com/track/0zaAUrSvMYrBGcLcmWKcxy,Beyond The Sea,https://open.spotify.com/album/6pXwZ3QYQOcP3mNVN1F6CB,Robbie Williams,https://open.spotify.com/artist/2HcwFjNelS49kFbfvMxQYw,2023-09-15,267562,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
Born to Play,https://open.spotify.com/track/4BmuAIPAsCiS2NhqT0gSfL,Soul (Original Motion Picture Soundtrack),https://open.spotify.com/album/2ffRAIZdlGEwnYE5ytIw88,Jon Batiste,https://open.spotify.com/artist/0eRbECAGCLLiTyVXPBRexU,2023-09-15,120306,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
Bundle of Joy,https://open.spotify.com/track/3eTgg18rKBD30Hef1gv0wz,Inside Out (Original Motion Picture Soundtrack),https://open.spotify.com/album/1sNK9vLvzIo626GznCEsBN,Michael Giacchino,https://open.spotify.com/artist/4kLvhMAuCloLxoP1aVM7Lr,2023-09-15,168760,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
"Carl Goes Up - From ""Up""",https://open.spotify.com/track/1mD4ResONwh19VNAQpwPCh,Disney/Pixar Greatest,https://open.spotify.com/album/4Tf4nzRuf5W3EvHqigxcmv,Michael Giacchino,https://open.spotify.com/artist/4kLvhMAuCloLxoP1aVM7Lr,2023-09-15,214466,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
Carried Me With You,https://open.spotify.com/track/0HL3y3bsKSARBSP0qaImwb,Onward (Original Motion Picture Soundtrack),https://open.spotify.com/album/5GVC60ITCVDwfUGjblfsst,Brandi Carlile,https://open.spotify.com/artist/2sG4zTOLvjKG1PSoOyf5Ej,2023-09-15,213732,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
Cars on the Road,https://open.spotify.com/track/5nzqcqom9k0MqDZTB69oQL,Cars on the Road (Original Soundtrack),https://open.spotify.com/album/53Pq1jb0ZarMh5Gm2qArVT,Bobby Hamrick,https://open.spotify.com/artist/6D7EPo13knGYPwxLdm1s44,2023-09-15,174135,2024-01-30,"All your favorite Pixar hits, including Win or Lose, Coco, Turning Red, and The Incredibles, now streaming on Disney+. ",Pixar Hits
