track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(We're Gonna) Rock Around The Clock - Single Version,https://open.spotify.com/track/2XBsQSZqHPPAtZpRG6TvIm,From The Original Master Tapes,https://open.spotify.com/album/2cQfqHE8kKfxjh7r8FGqwr,Bill Haley & His Comets,https://open.spotify.com/artist/3MFp4cYuYtTZe3d3xkLLbr,2019-03-04,132026,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
A Little Less Conversation - JXL Radio Edit Remix,https://open.spotify.com/track/4l2hnfUx0esSbITQa7iJt0,Elvis 75 - Good Rockin' Tonight,https://open.spotify.com/album/34EYk8vvJHCUlNrpGxepea,"Elvis Presley, JXL","https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE, https://open.spotify.com/artist/2GyakhIO8twSgCnUFfCzTN",2019-03-04,211173,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
A Little Less Conversation - JXL Radio Edit Remix,https://open.spotify.com/track/0pOTulwDdrsOLLbYtmTcZE,If I Can Dream: The Very Best of Elvis,https://open.spotify.com/album/4nzoWPErEEVrZhTb13Rm7W,"Elvis Presley, JXL","https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE, https://open.spotify.com/artist/2GyakhIO8twSgCnUFfCzTN",2022-05-06,213240,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
A Little Less Conversation - JXL Radio Edit Remix,https://open.spotify.com/track/3j4viUIDSuB4xfYYlp3Lpa,Elvis 30 #1 Hits (Expanded Edition),https://open.spotify.com/album/0uJJdEZ8sRLNPoKEkjvqTD,"Elvis Presley, JXL","https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE, https://open.spotify.com/artist/2GyakhIO8twSgCnUFfCzTN",2022-05-06,213240,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
A Little Less Conversation - JXL Radio Edit Remix,https://open.spotify.com/track/4BVPDfEnaswyM1UF9q9cT9,Don't Be Cruel: The Greatest Hits of Elvis Presley,https://open.spotify.com/album/6flzC0eHKkhV6cN12zwV6Q,"Elvis Presley, JXL","https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE, https://open.spotify.com/artist/2GyakhIO8twSgCnUFfCzTN",2022-08-16,213280,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
Action Packed,https://open.spotify.com/track/6HlW8keWGQo1PE8c4JyXGZ,Ronnie Dawson Presents Rockin' Bones,https://open.spotify.com/album/1hCRjgooSVFgMKvZMHWa9n,Ronnie Dawson,https://open.spotify.com/artist/2Fgg6KYXIgeRY3VxQjX9lP,2022-08-16,132349,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
Action Packed,https://open.spotify.com/track/5X4RBTKTA0FENrLxHUfZkr,Rockin' Bones,https://open.spotify.com/album/1BqE7sSumMEzQ0q2K3ST08,Ronnie Dawson,https://open.spotify.com/artist/2Fgg6KYXIgeRY3VxQjX9lP,2019-03-04,137920,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
All I Have To Do Is Dream,https://open.spotify.com/track/6Et30R1GtviOIDU7wYYyxp,Simply - The Everly Brothers ( 42 Essential Tracks),https://open.spotify.com/album/4wKRl6zRLNrg1WpHwpIGtX,The Everly Brothers,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,2019-03-04,139986,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
All I Have To Do Is Dream,https://open.spotify.com/track/2yTzXsYOrevaVIzQQgB3YL,"The Cadence Years, Vol. 1",https://open.spotify.com/album/22LRrDUzfy8sPMb9HiUWrx,The Everly Brothers,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,2022-08-16,141560,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
All I Have to Do Is Dream,https://open.spotify.com/track/5KPSG4BvDmFy0uLXrdGSUm,100 Greatest Feel Good,https://open.spotify.com/album/5PHIHxs0Xiu66Ah511IRFw,The Everly Brothers,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,2022-08-16,143333,2021-12-21,"From new retro to classic country blues, honky tonk, rockabilly, and more.",Jukebox Joint
