track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Ella,https://open.spotify.com/track/405oYQkEfBUcVxrNheW0qM,REGUETON CLASSICS VOL. 2,https://open.spotify.com/album/61sz7B7CmX7aYVeLVcUqsB,KAROL G,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,2021-10-12,198720,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Afuera Del Planeta,https://open.spotify.com/track/71t9GoojGIMZLySI6imKFY,Manuel Medrano,https://open.spotify.com/album/3XeEBV0owMhwHmyLfaMxwg,Manuel Medrano,https://open.spotify.com/artist/0i5iO6icb7kxg48thi9gBM,2021-10-12,229405,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Ahora Me Llama,https://open.spotify.com/track/0alSPoUfrGb0RdVVG4Lf3n,Unstoppable,https://open.spotify.com/album/12nlJpvrOd7tTOaCxB1UeR,"KAROL G, Bad Bunny","https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla, https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X",2021-10-12,235226,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Amigos Con Derechos,https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524,Ahora,https://open.spotify.com/album/4BvD9caT3ZohqNQFcR8dVD,"Reik, Maluma","https://open.spotify.com/artist/0vR2qb8m9WHeZ5ByCbimq2, https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau",2021-10-12,227480,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Amorfoda,https://open.spotify.com/track/68QcquxCS39cQGTsRrJWIR,Amorfoda,https://open.spotify.com/album/4BrJhFl3j50A69ZktbzZAg,Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,2021-10-12,153887,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Baby,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp,Baby,https://open.spotify.com/album/2yPS6CKbVjymgg7W9yuSxi,"Amenazzy, Nicky Jam, Farruko","https://open.spotify.com/artist/6kq4GHwUcUojGIu0ziSNXf, https://open.spotify.com/artist/1SupJlEpv7RS2tPNRaHViT, https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO",2021-10-12,235973,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Bachata En Fukuoka,https://open.spotify.com/track/6IfMD01z39P15HKezjdaMP,Asondeguerra,https://open.spotify.com/album/2LqYd5gIJxEvG5md8kGeyL,Juan Luis Guerra 4.40,https://open.spotify.com/artist/3nlpTZci9O5W8RsNoNH559,2021-10-12,191106,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Bajito,https://open.spotify.com/track/0Xf523k63exwTTdRmlkiqn,Bajito,https://open.spotify.com/album/2NcGpNJQUk3VbbvSq5I3wX,"JENCARLOS, Ky-Mani Marley","https://open.spotify.com/artist/3f4OfcNtgL9MLgiyOdIHC7, https://open.spotify.com/artist/1XTGADISSMRf8B4TcVGYUC",2021-10-12,213480,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Bellaquita - Remix,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,Bellaquita (Remix),https://open.spotify.com/album/5dXeJdc2hib8JB3Vqon2zB,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles","https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn, https://open.spotify.com/artist/1pQWsZQehhS4wavwh7Fnxd, https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb, https://open.spotify.com/artist/1GDbiv3spRmZ1XdM1jQbT7, https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO, https://open.spotify.com/artist/14zUHaJZo1mnYtn6IBRaRP",2021-10-12,304733,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Borro Cassette,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,"Pretty Boy, Dirty Boy",https://open.spotify.com/album/3PomvFR694SrCSZzDWMWV7,Maluma,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau,2021-10-12,207306,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Brillas,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI,Solstis - De León Larregui,https://open.spotify.com/album/6XMk5rlnvEtbOUhUlIGl0R,León Larregui,https://open.spotify.com/artist/4ClsVDy2g7RKSSlvq8cF6d,2021-10-12,226186,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Calma - Remix,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,Calma (Remix),https://open.spotify.com/album/1tFnP9PwIMeMIuj92mfswZ,"Pedro Capó, Farruko","https://open.spotify.com/artist/4QVBYiagIaa6ZGSPMbybpy, https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO",2021-10-12,238200,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
Cancioncitas de Amor,https://open.spotify.com/track/6bcdiJvYNX115yvbh3wASz,"Fórmula, Vol. 2 (Deluxe Edition)",https://open.spotify.com/album/17HsiXfqKUPoTP6Y5ebs1L,Romeo Santos,https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP,2021-10-12,237093,2022-01-13,"Relax to the the rhythm of these smooth Latin tunes of the 2010s.

",Latin Chillout 10s
