track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Thousand Years,https://open.spotify.com/track/3X12z8V9io3F2cptQZtLKK,A Thousand Years,https://open.spotify.com/album/2HtUSVtR5RtYmFUrOEzVkv,Fazerdaze,https://open.spotify.com/artist/2awB7Ol181cocZcLLNBBAh,2024-10-10,212843,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
Above Me,https://open.spotify.com/track/3pupSD8tv3IVlORhWH1VM7,Leisurevision,https://open.spotify.com/album/6o1b7D155gfX6u5SVY0bxf,LEISURE,https://open.spotify.com/artist/7b04D0yLktCUpvxQBhmG7R,2024-05-20,214440,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
Admit to that,https://open.spotify.com/track/0DIuALdrcZzqyOxbYBqJxo,The Yellow Chapter,https://open.spotify.com/album/20X24Co7k0ySrKdWCRvWPO,Cassie Henderson,https://open.spotify.com/artist/2lZ09YCpdWMMmBTSdDqspr,2024-10-24,284627,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
Afterthought,https://open.spotify.com/track/0BzXYvt2u33TaSbDxHdfFI,Afterthought,https://open.spotify.com/album/5HGaHnQ16xG7Xd0pyefVf2,Coast Arcade,https://open.spotify.com/artist/1QfAgtBvfQQTNZjqSGyTEC,2024-12-12,204031,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
Ain't Just Dreaming,https://open.spotify.com/track/5Oj6jg9NrV8dYlXDNB6Uu5,Ain't Just Dreaming,https://open.spotify.com/album/7wU7TF5kEnSJnobM4HcB1m,"TOI, The NZ Team, Ellesse Andrews, Max Brown","https://open.spotify.com/artist/6AdX4TgEt0fYWoRqvHi81A, https://open.spotify.com/artist/7rI9VYVp3JYh32FbZME6ip, https://open.spotify.com/artist/1mDua6s6MkNJ7WZc9xBFaP, https://open.spotify.com/artist/7zV7e9gbkoifHMZYxW3Bh6",2024-05-20,201700,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
AKL Girls,https://open.spotify.com/track/3zXTz0y8aF3FM0xnoYNG5f,AKL Girls,https://open.spotify.com/album/2TAiv9A69DgSKHCEUTat6l,Church & AP,https://open.spotify.com/artist/0RUqlEJMEe0g9g1tNOro7Z,2024-09-26,259625,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
All Night,https://open.spotify.com/track/5koR0ccU16Uknn5Rvm93g2,All Night,https://open.spotify.com/album/296ZqgLJupUJJsoCnYCN8X,Sammy Johnson,https://open.spotify.com/artist/0vMGGYcvLOnwg7t4kl33BA,2025-02-06,220000,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
Antidote,https://open.spotify.com/track/4f2rXgV35Y91zwHSXtr6RK,Antidote,https://open.spotify.com/album/1xvBPLRzILitJ2BWzZOtTK,"Lepani, Tamillia","https://open.spotify.com/artist/2BP4XXvv9754tQZ0Pumcml, https://open.spotify.com/artist/5yjlPxR2NMOjm2JiHtJR3Q",2024-05-20,153631,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
Apologise / City,https://open.spotify.com/track/568zqqSBf7dSeImcwS6mo9,How Can We Lose When We’re So Sincere?!,https://open.spotify.com/album/2P3wmcPhctNRdQtuK4YuGK,Lontalius,https://open.spotify.com/artist/6v6tycmzJDLrgOXTj7mbT9,2024-12-12,195000,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
Asphalt,https://open.spotify.com/track/7wsZgP1uN9IRlcH0NoCVq9,Asphalt,https://open.spotify.com/album/10N8STYVe81IzMCAkA8eBf,Molly Payton,https://open.spotify.com/artist/6mbzLeDgokrXD05pj6kf0N,2024-05-20,154000,2024-07-02,Discover the best in new music from Aotearoa. Cover: Fat Freddy's Drop,The Local List Aotearoa
