track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
21 Reasons (feat. Ella Henderson),https://open.spotify.com/track/1RF02Cf80mTaeNXG2P2boR,21 Reasons (feat. Ella Henderson),https://open.spotify.com/album/118PKNjhP4NWcrW5OjMwzc,"Nathan Dawe, Ella Henderson","https://open.spotify.com/artist/2gduEC76ry33RVurAvT05p, https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1",2023-11-03,155253,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
A Drug From God,https://open.spotify.com/track/4skbQNtyjy8A7mo8oqe2oD,A Drug From God,https://open.spotify.com/album/6tZzL3lTVgWhJb2cE2jz1f,"Chris Lake, Grimes, NPC","https://open.spotify.com/artist/5Igpc9iLZ3YGtKeYfSrrOE, https://open.spotify.com/artist/053q0ukIDRgzwTr4vNSwab, https://open.spotify.com/artist/3YEsNNbHlb88K9QCog4R0Y",2024-02-23,192455,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
act ii: date @ 8 (feat. Drake) - remix,https://open.spotify.com/track/3QS9ZCtoSCJhmaJ7QNXSAS,act ii: date @ 8 (feat. Drake) [remix],https://open.spotify.com/album/7luH8lI8B6c4r3TxLJ2aU1,"4batz, Drake","https://open.spotify.com/artist/5fi7lIgJGH3RgUpJYcffQ7, https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4",2024-05-07,231338,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
AHHH HA,https://open.spotify.com/track/2bPI4TKM4oTxl2SijUXM2J,7220,https://open.spotify.com/album/0vRN2oePynCSTspdY9NDsM,Lil Durk,https://open.spotify.com/artist/3hcs9uc56yIGFCSy9leWe7,2023-11-03,186538,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Alive,https://open.spotify.com/track/5bFuHlXKw66Uu2cHKn5bf8,Alive,https://open.spotify.com/album/424AkXXKYZsnsoiBrW64oh,"Zeds Dead, MKLA","https://open.spotify.com/artist/67qogtRNI0GjUr8PlaG6Zh, https://open.spotify.com/artist/57Vnemieu10x71jR2UWc4o",2023-11-03,197388,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
all of me,https://open.spotify.com/track/2FoahzOSxJnalPA8aBUme3,american dream,https://open.spotify.com/album/2RRYaYHY7fIIdvFlvgb5vq,21 Savage,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,2024-05-07,198292,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Ambition For Cash,https://open.spotify.com/track/1tkipCYkIgti8f1tqjfcWe,Ambition For Cash,https://open.spotify.com/album/3lMWNCoEQzdbb9lSZa5gv9,Key Glock,https://open.spotify.com/artist/0RESbWvOMyua0yuyVrztJ5,2023-11-03,143480,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Arson,https://open.spotify.com/track/2QWEMqQMJR1KDf6hDjJOs6,Jack In The Box,https://open.spotify.com/album/0FrC9lzgVhziJenigsrXdl,j-hope,https://open.spotify.com/artist/0b1sIQumIAsNbqAoIClSpy,2023-11-03,159761,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
BackOutsideBoyz,https://open.spotify.com/track/0wshkEEcJUQU33RSRBb5dv,Her Loss,https://open.spotify.com/album/5MS3MvWHJ3lOZPLiMxzOU6,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,2023-11-03,152961,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Backstage Passes (feat. Jack Harlow),https://open.spotify.com/track/2BSl2gSFHdzJAMus74qzNj,I Never Felt Nun,https://open.spotify.com/album/0A4xJz6OAedAQGriJH7pjn,"EST Gee, Jack Harlow","https://open.spotify.com/artist/4FlG0V0jhLO4qGpayFOphj, https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ",2023-11-03,158431,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
BANDIT,https://open.spotify.com/track/7sTyAjxDXq9afwfSQy6D0s,Bandit,https://open.spotify.com/album/0jSSRlhYuZmtLMrYB8pjzC,Don Toliver,https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs,2024-05-07,147746,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Beg for You (feat. Rina Sawayama),https://open.spotify.com/track/50ZFpw2wS6ERvLmW8TINhq,Beg For You (feat. Rina Sawayama),https://open.spotify.com/album/0ffmwwS9EBmpLAgjblX75O,"Charli XCX, Rina Sawayama","https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5, https://open.spotify.com/artist/2KEqzdPS7M5YwGmiuPTdr5",2023-11-03,168053,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Better (feat. Teddy Swims),https://open.spotify.com/track/5MnmuLgPmsAFkmG5n85cna,Better (feat. Teddy Swims),https://open.spotify.com/album/0sZCthcwNebNdmwpXXmMKI,"MK, BURNS, Teddy Swims","https://open.spotify.com/artist/1yqxFtPHKcGcv6SXZNdyT9, https://open.spotify.com/artist/5eKqhPrKad0J9xGAtq3rW7, https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump",2023-11-03,182462,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Big Dawgs,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW,Big Dawgs,https://open.spotify.com/album/6Yw4204wbgmpsGTzjXBhYD,"Hanumankind, Kalmi","https://open.spotify.com/artist/4nVa6XlBFlIkF6msW57PHp, https://open.spotify.com/artist/6tYCSHLtTI54AQJFOMfU45",2024-08-12,190666,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Big Energy,https://open.spotify.com/track/4pi1G1x8tl9VfdD9bL3maT,777,https://open.spotify.com/album/4vjE6Rgl5z6K2PhrAtIA7O,Latto,https://open.spotify.com/artist/3MdXrJWsbVzdn6fe5JYkSQ,2023-11-03,172540,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Blow,https://open.spotify.com/track/2g3qKijfeHfDyM7Fmaoi5M,Blow,https://open.spotify.com/album/07AiRVrtrniKqkxHpLLY2g,Moneybagg Yo,https://open.spotify.com/artist/3tJoFztHeIJkJWMrx0td2f,2023-11-03,182533,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Blueberry Faygo,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,https://open.spotify.com/album/6rBennOYWR1OZQnsU39PKL,Lil Mosey,https://open.spotify.com/artist/5zctI4wO9XSKS8XwcnqEHk,2023-11-03,162546,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
BREAK MY SOUL,https://open.spotify.com/track/2KukL7UlQ8TdvpaA7bY3ZJ,BREAK MY SOUL,https://open.spotify.com/album/5JgCaA43ECaGeqbPEo6WUP,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2023-11-03,278281,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Breathe,https://open.spotify.com/track/5NAOhPAZ57eFAXr3qatS6i,2093,https://open.spotify.com/album/1jXYc5gip5tqCTDOotfY5L,Yeat,https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx,2024-05-07,170847,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Bubbly (with Drake & Travis Scott),https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui,Punk,https://open.spotify.com/album/7IKkHmEk4It4cRdOYanyvW,"Young Thug, Drake, Travis Scott","https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn, https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4, https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY",2023-11-03,165066,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Bussin,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq,Bussin,https://open.spotify.com/album/5cs7xv0RHTRhw9S7vw529n,"Nicki Minaj, Lil Baby","https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh, https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",2023-11-03,136760,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
CARNIVAL,https://open.spotify.com/track/3w0w2T288dec0mgeZZqoNN,VULTURES 1,https://open.spotify.com/album/30zwjSQEodaUXCn11nmiVF,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti","https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv, https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq, https://open.spotify.com/artist/1pPmIToKXyGdsCF6LmqLmI, https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD",2024-05-07,264324,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Chain My Heart,https://open.spotify.com/track/67lbzVADsqJJ6tyVk0XCgn,Chain My Heart,https://open.spotify.com/album/2b9wwxzrv65ARnSiX1T9zD,"Topic, Bebe Rexha","https://open.spotify.com/artist/0u6GtibW46tFX7koQ6uNJZ, https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb",2023-11-03,146880,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Check Out,https://open.spotify.com/track/2n6qz4opcJlHsEpI8030YM,Check Out,https://open.spotify.com/album/1i9flcfwW08i5ynf4YZHsb,"J. Worra, Leo Stannard","https://open.spotify.com/artist/4q0N3EI67tVnAeeaXbNQIj, https://open.spotify.com/artist/37fzXndf2fxVrk7qarhyo0",2023-11-03,174138,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Cinderella,https://open.spotify.com/track/0hKtu53OlIFXVuYkZwcn3o,WE DON'T TRUST YOU,https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn,"Future, Metro Boomin, Travis Scott","https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i, https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp, https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY",2024-05-07,169840,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Circo Loco,https://open.spotify.com/track/7GeTsDIc5ykNB6lORO6Cee,Her Loss,https://open.spotify.com/album/5MS3MvWHJ3lOZPLiMxzOU6,"Drake, 21 Savage","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4, https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft",2023-11-03,236795,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Cold Blooded,https://open.spotify.com/track/34JfHOd0fcefm4FSPSrIhF,Cold Blooded,https://open.spotify.com/album/4CTDrZw6m0dTJX17OCEbfZ,Jessi,https://open.spotify.com/artist/64k5e9kV9MdukXjFrR5R37,2023-11-03,150053,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Crocodile Tearz,https://open.spotify.com/track/1yfKakY4rvI17lk20ekuRA,Might Delete Later,https://open.spotify.com/album/57wh3BpvUF2tmvwoGSjUe3,J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,2024-05-07,229186,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
CTRL + ALT + DEL,https://open.spotify.com/track/7ElC7VjUNl3oJ20Q5OpEh9,CTRL + ALT + DEL,https://open.spotify.com/album/2BD9tHOuee052cd0Ufen1o,Rêve,https://open.spotify.com/artist/06vEAqcicwoSBw85e8biJx,2023-11-03,153166,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Dandelion,https://open.spotify.com/track/4NexTaCZZ7Ehnf03A6SVjt,Dandelion,https://open.spotify.com/album/6YPTwr9e07jNzBJgXbmoQZ,"Galantis, JVKE","https://open.spotify.com/artist/4sTQVOfp9vEMCemLw50sbu, https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK",2023-11-03,140011,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Deep Down (feat. Never Dull),https://open.spotify.com/track/7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),https://open.spotify.com/album/3KpxpdySrMR2S7noneu1bI,"Alok, Ella Eyre, Kenny Dope, Never Dull","https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W, https://open.spotify.com/artist/66TrUkUZ3RM29dqeDQRgyA, https://open.spotify.com/artist/1TrfxjXu8quyDw05p2bacX, https://open.spotify.com/artist/2u3rmzZC0psTER2sDfUebm",2023-11-03,165752,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Detox,https://open.spotify.com/track/7fSM2taFBEB1WNZl8AOIoo,Detox,https://open.spotify.com/album/4y77zrDMRkZznufMBScSal,Lil Baby,https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK,2023-11-03,161636,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Do It Better (feat. Zoe Wees),https://open.spotify.com/track/1kwHrBWAlucOE57lWugotk,Do It Better (feat. Zoe Wees),https://open.spotify.com/album/5mqNZCRQAKtzzDyohUmBEU,"Felix Jaehn, Zoe Wees","https://open.spotify.com/artist/4bL2B6hmLlMWnUEZnorEtG, https://open.spotify.com/artist/03d2mJXSMtuPI0nIvLnhoS",2023-11-03,170045,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Don't Let Me Let Go (with ILLENIUM & Evan Giia),https://open.spotify.com/track/79dcn5vP9HwgyeyrUGlAVZ,This Mixtape is Fire TOO,https://open.spotify.com/album/5H1GCTOowyeZzBVBddvdFD,"Dillon Francis, ILLENIUM, EVAN GIIA","https://open.spotify.com/artist/5R3Hr2cnCCjt220Jmt2xLf, https://open.spotify.com/artist/45eNHdiiabvmbp4erw26rg, https://open.spotify.com/artist/0D6BtvIkN3P9GHTa8KR24t",2024-02-20,205479,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA),https://open.spotify.com/track/1Yqe3VYgjOhhJLtqkla2zc,Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA),https://open.spotify.com/album/7fHe7lst5i6lMPzgoIgwkf,"Dillon Francis, ILLENIUM, EVAN GIIA","https://open.spotify.com/artist/5R3Hr2cnCCjt220Jmt2xLf, https://open.spotify.com/artist/45eNHdiiabvmbp4erw26rg, https://open.spotify.com/artist/0D6BtvIkN3P9GHTa8KR24t",2023-11-03,205479,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Drunk (And I Don't Wanna Go Home),https://open.spotify.com/track/0QULNNd9z5s35entfiiXoa,Drunk (And I Don't Wanna Go Home),https://open.spotify.com/album/6F6ZYE96lTFgzWotepEDhZ,"Elle King, Miranda Lambert","https://open.spotify.com/artist/3bhu7P5PfngueRHiB9hjcx, https://open.spotify.com/artist/66lH4jAE7pqPlOlzUKbwA0",2023-11-03,245625,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
Dua Lipa,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4,Come Home The Kids Miss You,https://open.spotify.com/album/2eE8BVirX9VF8Di9hD90iw,Jack Harlow,https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ,2023-11-03,135053,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
euphoria,https://open.spotify.com/track/77DRzu7ERs0TX3roZcre7Q,euphoria,https://open.spotify.com/album/32bR4LcEc1PvJEhaKoo4ZN,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2024-05-07,383639,2023-11-11,한계를 뛰어넘는 당신을 운동을 위하여. (Push yourself to your limits with powerful Korean music.),3대 1000 (K-Hardcore Workout)
