track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
...To Die For,https://open.spotify.com/track/2wQN8tMYOHStr6Q61jh0IK,The Lion King,https://open.spotify.com/album/3YA5DdB3wSz4pdfEXoMyRd,Hans Zimmer,https://open.spotify.com/artist/0YC192cP3KPCRWx8zr8MfZ,2019-11-01,257640,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
A Night on Bald Mountain - Irwin Kostal Re-Record 1982,https://open.spotify.com/track/6Z0Ex3xz4kCPEpubnFXlQH,Walt Disney Records The Legacy Collection: Fantasia,https://open.spotify.com/album/0XXxxwNjdxo8DNuaUeMppt,"Irwin Kostal, Disney Studio Orchestra","https://open.spotify.com/artist/1HmcCckVaFw44DHhZKuKgN, https://open.spotify.com/artist/6D1uEwdsshGIFFYUKbKBfG",2019-11-01,525893,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Addams Family Theme,https://open.spotify.com/track/35rJ69XdeGIP9dcFKMrICJ,Amc Presents Halloween Hits - Music For A Monster Fest,https://open.spotify.com/album/6ltFnpJnHiIjZNg6lUzalj,Amc Orchestra,https://open.spotify.com/artist/5RoU3hjYKEZYV8Zs5vee5B,2019-11-01,87386,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Addams Family Theme,https://open.spotify.com/track/4T7XXaRKnnvojIpbA7UwXS,Amc Presents Halloween Hits - Music For A Monster Fest,https://open.spotify.com/album/7qMdLTDyWSF0JI5xql7ii2,Amc Orchestra,https://open.spotify.com/artist/5RoU3hjYKEZYV8Zs5vee5B,2019-11-01,87386,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Addams Family Theme,https://open.spotify.com/track/2GOlWGTdRiza4fVHtfx3Ya,AMC Presents Listen to the Movies: Monsterfest,https://open.spotify.com/album/6iuOLKTbfVdqOCKRjY4Pv3,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2019-11-01,87386,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Arwrarwrirwrarwro,https://open.spotify.com/track/2aNVklYPur5d2nB7r0BrRo,Arwrarwrirwrarwro (Banda Sonora Original de la Cuarta Temporada),https://open.spotify.com/album/1YeHBkb7zNMGUU4wsR19Ew,31 Minutos,https://open.spotify.com/artist/1EgVsKobLzbNgILxx9wrVG,2019-11-01,149373,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Arwrarwrirwrarwro - Bombi,https://open.spotify.com/track/52sBVHcmAvQ2ng79ZImC1q,Arwrarwrirwrarwro (Banda Sonora Original de la Cuarta Temporada),https://open.spotify.com/album/3lhrBqbQbfPx4aMfP0pbkK,31 Minutos,https://open.spotify.com/artist/1EgVsKobLzbNgILxx9wrVG,2019-11-01,149359,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Banana Boat (Day-O),https://open.spotify.com/track/4fHDlIntTsRGSyTg5UYZYC,Calypso,https://open.spotify.com/album/5cBYisZzEb84qxMwXVfcT3,Harry Belafonte,https://open.spotify.com/artist/6Tw1ktF4xMmzaLLbe98I2z,2019-11-01,183133,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Basta Ya,https://open.spotify.com/track/7e3WyeDb89LVg2sKGiXcVG,Songs of Harmony (Español) [Music from the Original TV Series],https://open.spotify.com/album/4h5AZsn4Y8uscMj1rxMWaO,"Twilight Sparkle, Apple Jack, Rainbow Dash, Pinkie Pie, Rarity, Fluttershy","https://open.spotify.com/artist/53CQUfjaBNRwV2nFro1nac, https://open.spotify.com/artist/1r0v3fdCiqrr9mYtvbCccT, https://open.spotify.com/artist/0iKnctG436f9uUKSuSFx2n, https://open.spotify.com/artist/7ExZeMNpyKhYSokWo9riU5, https://open.spotify.com/artist/6PqIHmHPCKrZoyLMf98era, https://open.spotify.com/artist/2KL1HTA8ijZSuf7VJaL4OU",2019-11-01,142328,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Bats - Spanish,https://open.spotify.com/track/3hGkUb21DWPYFjNyRV7wsN,Friendship Is Magic: Songs Of Harmony (Music From The Original TV Series) [Spanish Version],https://open.spotify.com/album/0oZEO0Je0xCZAL80Pg0QXs,"Twilight Sparkle, Pinkie Pie, Rainbow Dash, Fluttershy, Rarity, Apple Jack","https://open.spotify.com/artist/53CQUfjaBNRwV2nFro1nac, https://open.spotify.com/artist/7ExZeMNpyKhYSokWo9riU5, https://open.spotify.com/artist/0iKnctG436f9uUKSuSFx2n, https://open.spotify.com/artist/2KL1HTA8ijZSuf7VJaL4OU, https://open.spotify.com/artist/6PqIHmHPCKrZoyLMf98era, https://open.spotify.com/artist/1r0v3fdCiqrr9mYtvbCccT",2019-11-01,142328,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Be Prepared,https://open.spotify.com/track/34nxgXFCPzDphUJGuRsn10,The Lion King,https://open.spotify.com/album/3YA5DdB3wSz4pdfEXoMyRd,"Jeremy Irons, Whoopi Goldberg, Cheech Marin, Jim Cummings","https://open.spotify.com/artist/6QRb3jE2lCfMU1iUuVQMaV, https://open.spotify.com/artist/1ZsoHNxHMKTgliJcxSRlb5, https://open.spotify.com/artist/68TP2Pr8i7dvyFHU0p748r, https://open.spotify.com/artist/3OIPwMAZipDCLQwHmxS5EG",2019-11-01,220213,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Boogieman Boogie,https://open.spotify.com/track/6EjVi0xapUs3DekiAOfJpT,Disney Junior Music: Vampirina - Ghoul Girls Rock!,https://open.spotify.com/album/6P3dUwpSofsUa4Wuu0kmJf,Cast - Vampirina,https://open.spotify.com/artist/5AnuY9LWaNmuxAwOtJD24w,2019-11-01,105575,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Cumbia del Monstruo,https://open.spotify.com/track/3XRSw1WELRPB3yJV9NtN0U,Nada en Su Lugar,https://open.spotify.com/album/1X0J6enanArUKaI6uH3fuJ,Canticuénticos,https://open.spotify.com/artist/0Ochpv3RZ8qvqUcJFn2tMr,2019-11-01,207133,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Day-O (The Banana Boat Song) - Beetlejuice/Soundtrack Version,https://open.spotify.com/track/5vGV9zv3iVEatDCVOLjGgK,Beetlejuice (Original Motion Picture Soundtrack),https://open.spotify.com/album/1iyLkKp8f8XZjOxDD2PEo9,Harry Belafonte,https://open.spotify.com/artist/6Tw1ktF4xMmzaLLbe98I2z,2019-11-01,184506,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
"Drácula, Calígula, Tarántula",https://open.spotify.com/track/4ifPUlltadf0iiL8p6YdFV,Arwrarwrirwrarwro (Banda Sonora Original de la Cuarta Temporada),https://open.spotify.com/album/1YeHBkb7zNMGUU4wsR19Ew,31 Minutos,https://open.spotify.com/artist/1EgVsKobLzbNgILxx9wrVG,2019-11-01,173560,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
"Drácula, Calígula, Tarántula - Coágula Espátulo",https://open.spotify.com/track/5VgsXmsfGIBOqq0imAv4y1,Arwrarwrirwrarwro (Banda Sonora Original de la Cuarta Temporada),https://open.spotify.com/album/3lhrBqbQbfPx4aMfP0pbkK,31 Minutos,https://open.spotify.com/artist/1EgVsKobLzbNgILxx9wrVG,2019-11-01,173549,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
El Fantasma,https://open.spotify.com/track/2YMm4t2mgTbFS6G45Y6SMJ,Las 100 Clásicas de Cri Cri Vol. 1,https://open.spotify.com/album/4fY0mv7l1rEmuBHOeLGq13,Cri-Cri,https://open.spotify.com/artist/4vM6clYXqkZbQv4O2OT5P4,2019-11-01,176666,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
El Fantasma - (Remasterizado),https://open.spotify.com/track/5K0vZ3OSwwFvg8debhmgTj,100 Años...100 Exitos,https://open.spotify.com/album/6a2BoXtXbsVQQo4FxTidco,Cri-Cri,https://open.spotify.com/artist/4vM6clYXqkZbQv4O2OT5P4,2019-11-01,177333,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
El Monstruo Soy Yo,https://open.spotify.com/track/2J4q4PjRFENFJuIjK1UbPv,No Nos da Pereza,https://open.spotify.com/album/4BJNy2U9b77cy7xwUesAGU,Petit Pop,https://open.spotify.com/artist/7lEZFSGur0Mdk0h5LZG4t2,2019-11-01,113906,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
El Monstruo Soy Yo,https://open.spotify.com/track/53kJQgaVAzWkvX90MUSBjM,No Nos da Pereza la Naturaleza,https://open.spotify.com/album/6DlewySG2FgU4yWCGnuqTx,Petit Pop,https://open.spotify.com/artist/7lEZFSGur0Mdk0h5LZG4t2,2019-11-01,113906,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
El Vampiro Manolo,https://open.spotify.com/track/4j9Sjsj04Vkwfy3GazKtMb,Sueña Despierto,https://open.spotify.com/album/56G9wuuD9UH9hH9KuFB2tb,Billy Boom Band,https://open.spotify.com/artist/1ScDhsYvIByaTyeOMfPQNE,2019-11-01,267996,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Evil Like Me,https://open.spotify.com/track/5zOLV56q67s5x54q2dvLZQ,Descendientes (Original TV Movie Soundtrack),https://open.spotify.com/album/1NiGHeaaSFPLvkBFSatWtz,"Dove Cameron, Kristin Chenoweth","https://open.spotify.com/artist/2W8yFh0Ga6Yf3jiayVxwkE, https://open.spotify.com/artist/3DgcBA7P0ji5co7Z1Gfp2Q",2019-11-01,224626,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
Evil Like Me,https://open.spotify.com/track/0oe0UYSKAESBUR12I1ESXQ,Descendants (Original TV Movie Soundtrack),https://open.spotify.com/album/6notdj85QIGeqR1zKqT3Oh,"Kristin Chenoweth, Dove Cameron, Disney","https://open.spotify.com/artist/3DgcBA7P0ji5co7Z1Gfp2Q, https://open.spotify.com/artist/2W8yFh0Ga6Yf3jiayVxwkE, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2019-11-01,224626,2023-12-19,"Canciones de calaveritas, monstruos y fantasmitas amigables.","Miedo, miedo, mucho miedo"
