track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
500 Miles Away from Home,https://open.spotify.com/track/44AauRai27QWKEx4dKn0oU,500 Miles Away From Home,https://open.spotify.com/album/06zl9w7hWWtjxFt76bMZEE,Bobby Bare,https://open.spotify.com/artist/69wzuykaVXlRS5KVygESvd,2020-10-14,162560,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Act Naturally,https://open.spotify.com/track/762yvPz59OMgb7gGLws6Vi,"All-Time Greatest Hits, Vol. 1",https://open.spotify.com/album/38YMI8jMA7RotlUBZJNtcs,Buck Owens,https://open.spotify.com/artist/2FMZn5P3WATd7Il6FgPJNu,2023-01-13,143306,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Act Naturally,https://open.spotify.com/track/3JWEMzwpcWCvu4Qw1BIbYi,All-Time Greatest Hits,https://open.spotify.com/album/6c31q0EiGPqzNVDKfQzyzt,Buck Owens,https://open.spotify.com/artist/2FMZn5P3WATd7Il6FgPJNu,2020-10-14,143693,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Amarillo By Morning,https://open.spotify.com/track/4TnUKixNWMfajncgdSwFoi,Strait From The Heart,https://open.spotify.com/album/3NB2cmFq9nyhHSVz0Zv08t,George Strait,https://open.spotify.com/artist/5vngPClqofybhPERIqQMYd,2020-10-14,173466,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Are You Sure Hank Done It This Way,https://open.spotify.com/track/5Z0Khiz8xgC8AYMr4ctS8Y,Dreaming My Dreams,https://open.spotify.com/album/2iZvfv5wU8DxGm2o2O1dis,Waylon Jennings,https://open.spotify.com/artist/7wCjDgV6nqBsHguQXPAaIM,2020-10-14,174600,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Back In The Saddle Again,https://open.spotify.com/track/4eePcTiLO6o5W4ejSQ7uSn,The Essential Gene Autry,https://open.spotify.com/album/3P6M5MLTnlE2sngM0iMvV8,Gene Autry,https://open.spotify.com/artist/5ixB75BQR3ADoWQkcHQJTs,2020-10-14,155560,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Barbara Allen,https://open.spotify.com/track/4Ip5zk0Ggg9c7t9K9MjVQC,Mountain Ballads and Old-Time Songs,https://open.spotify.com/album/7iMSYXcwED1lOMEoNnLzi1,Bradley Kincaid,https://open.spotify.com/artist/1vwJ8b0MaJHt3g6RIsZUkZ,2020-10-14,205880,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Barbara Allen,https://open.spotify.com/track/7IKviaNxgzeaTe5L4xABaS,Mountain Ballads and Old-Time Songs,https://open.spotify.com/album/2B5KwIYnFejB10SYYikVFI,Bradley Kincaid,https://open.spotify.com/artist/1vwJ8b0MaJHt3g6RIsZUkZ,2022-05-06,205880,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Blue Eyes Crying In the Rain,https://open.spotify.com/track/2uRVPeQbsEpRQD0DKr1WTo,Red Headed Stranger,https://open.spotify.com/album/5aEtg4dxdBk4pj6SJ3hNsM,Willie Nelson,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,2020-10-14,138600,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
Blue Yodel (T for Texas),https://open.spotify.com/track/2pzpApfqE2LaXW5StD1FUA,RCA Country Legends,https://open.spotify.com/album/6TXhBKNTITmOTWCbHaQKIG,Jimmie Rodgers,https://open.spotify.com/artist/0Y0ZlznP6vzTS1qAm5dvTN,2022-05-06,203800,2022-01-02,"A deep and concise look at the music that made Country Music what is is today. Covers eras 
1930's - 1990.",History of Country Music
