track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1919 (Feat. Zach Zoya),https://open.spotify.com/track/4iAl5lcRdxU2uCSRrRqSAj,Kanvaz,https://open.spotify.com/album/6FHdFwiaNMFrFkpEcBOg9l,"High Klassified, Zach Zoya","https://open.spotify.com/artist/4V5f0tr4dGBGUvW5HsR22O, https://open.spotify.com/artist/0lMsSW9R8prEif6Q3aVnEH",2022-03-11,194610,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
24 heures à vivre,https://open.spotify.com/track/4KgeccIkAwdLFNe2MyBmlG,Confession risquée,https://open.spotify.com/album/2kKFkpgObsTYrFLdCjuVwW,"White-B, Random","https://open.spotify.com/artist/2HnpdXm17xsrVYtmsf7CHM, https://open.spotify.com/artist/20JaTdfk3frqSwaYIf0ko8",2022-03-11,204230,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
5 dans la whip,https://open.spotify.com/track/10mXjx88SfukbzEotbM1Jd,5 dans la whip,https://open.spotify.com/album/2ARSenbmfKFWJE6XDQeq0C,"Le Ice, Peeda","https://open.spotify.com/artist/5Tz7QkwRnEvV0MpWhLdDFI, https://open.spotify.com/artist/5ss8XbfkdgN1sTdgyPp6Ed",2022-03-11,206216,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
56K,https://open.spotify.com/track/7obkiIUAWCsPjzYW1IJCzz,New Phone,https://open.spotify.com/album/3qH4E3gZ0z3aeKreQ4F5xc,Loud,https://open.spotify.com/artist/5DXzQwj6Kgr5kBjVlYdSHo,2022-03-11,184227,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
6am,https://open.spotify.com/track/2Do4Z91cDpsKwnW1TwWbk8,"Une histoire, un début",https://open.spotify.com/album/7G5EXLZNabOrYOrBTVYYhA,Salimo,https://open.spotify.com/artist/3dbzTStecQkHOqwQaQR3Ur,2022-03-11,276453,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
A l'aise,https://open.spotify.com/track/5GniNRie1Gf9GYNz4hYC4f,A l'aise,https://open.spotify.com/album/3mz2ym1RXfgVBGRsArReI7,Enima,https://open.spotify.com/artist/47cHAE0NFwzGOlc3L4oszT,2022-03-11,168682,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Airball,https://open.spotify.com/track/12EVd8BRzsx0oCPNDTLkYm,Dieu est un Yankee,https://open.spotify.com/album/6oV3Z0I6CoPNWaHbqQrRfL,"D-Track, Sam Faye","https://open.spotify.com/artist/6iCGxocdnrQ3pxNN1drzNu, https://open.spotify.com/artist/0tkpiNBKH5HmzcivvjsPH0",2022-03-11,193440,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Aliens,https://open.spotify.com/track/6tHFkpUYC9xjwqvICdhZkO,Aliens,https://open.spotify.com/album/7JU5YEYdVPaCvidQqMa8ke,"Charlie Shulz, TrippyThaKid, Kamiyada","https://open.spotify.com/artist/6x27JqHjIcFUHDKkOgtZUI, https://open.spotify.com/artist/4ucIxjoWFS3n9KvguhTWpz, https://open.spotify.com/artist/178pxGCx631sen6g9vqvxP",2022-03-11,180983,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
All the Way,https://open.spotify.com/track/3ZBScVMUjBQJfYbs9V8e3N,All the Way,https://open.spotify.com/album/0jJ0K0tqQmusKEHIdOKcNU,Gxlden Child,https://open.spotify.com/artist/2hMOGVNAWefQXZCVgh4BPQ,2022-03-11,137142,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Astral Drill,https://open.spotify.com/track/3P2nTvpN0ehBz8etebwtam,Free Cdf2,https://open.spotify.com/album/1j1pDD3I8KnwFepYoybEnh,Rowjay,https://open.spotify.com/artist/5qMf7CFNNQi7gb1WQb74Pc,2022-03-11,155675,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Baby Body,https://open.spotify.com/track/4WH0IOSVrJX9MvmKuirFol,Argent légal,https://open.spotify.com/album/5rJYfYmitufjnrOfyqEFjO,Rednext Level,https://open.spotify.com/artist/0jMvzf2iuxtqTwTVKBJjis,2022-03-11,216973,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
back,https://open.spotify.com/track/5TyT9YnF3S0Z4DfqUSO96b,wesh,https://open.spotify.com/album/12eqi4scCGaiOQRJkR2ZfF,"Kirouac, Kodakludo","https://open.spotify.com/artist/6w8havv68HkDeiH6Tei3bt, https://open.spotify.com/artist/52ScNDotCN180BnXLSFiiQ",2022-03-11,170351,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Badman,https://open.spotify.com/track/6JmVD6HWmhgUKMqAz11qIk,Bonhomme Pendu (Chapitre 3),https://open.spotify.com/album/590NTKVPSghzSqjd7QX5fn,Lost,https://open.spotify.com/artist/5Pd7zqwUqC1INMJAT2Df7b,2022-03-11,206733,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Bandit,https://open.spotify.com/track/78hR4EU4ned8qqnjYznGHI,Bandit,https://open.spotify.com/album/1MhF7HbYA4LWUfq7dcrtiP,Mody,https://open.spotify.com/artist/6dkxSINLJmaCC2uxuM61ds,2022-03-11,208248,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Bando,https://open.spotify.com/track/3TockaqZaBW4hPSP5UqdzE,Cerbère,https://open.spotify.com/album/4FXtD2a2crSUwtpZsrgsfA,"Lost, White-B, MB","https://open.spotify.com/artist/5Pd7zqwUqC1INMJAT2Df7b, https://open.spotify.com/artist/2HnpdXm17xsrVYtmsf7CHM, https://open.spotify.com/artist/2v1aABncTZrtkXA84ZqtyU",2022-03-11,237662,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Barillet,https://open.spotify.com/track/7sQlKJBiqR3exoRjHlT7PM,Backstage,https://open.spotify.com/album/49ar9sLxIGvyuACExV498g,Souldia,https://open.spotify.com/artist/6ekcMUMZoiX2HBbQGZgNh1,2022-03-11,226153,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Basilic,https://open.spotify.com/track/1yjWkxCO8FVKX9ETBpw3X8,C'est pas la qualité qui compte,https://open.spotify.com/album/3Xz40mydponIZHMBubJsSX,"Qualité Motel, Koriass, Curieux Bégin, Vinny Bombay, Luis Clavis","https://open.spotify.com/artist/6GZTbbzfV1dP2hCgUcDynC, https://open.spotify.com/artist/4aLij7W6aqtpsRriCSjGLq, https://open.spotify.com/artist/0YBkOnbAd0384Cis3ur3HO, https://open.spotify.com/artist/1a20rLp5UIw3OOwYrL0jaH, https://open.spotify.com/artist/1X1UnBTgjMjX16zmlavczO",2022-03-11,159688,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
Big Bag,https://open.spotify.com/track/0JoutOBfd52XlBsJDn9Q7C,Big Bag,https://open.spotify.com/album/1cPm89qdas3PSlLcshhO3a,"VNCE CARTER, Mike Shabb","https://open.spotify.com/artist/11zy6I3LeMtIrIztaTl5rO, https://open.spotify.com/artist/6neEhK0FxJha78nD9giAjW",2022-03-11,165413,2022-03-22,Les essentiels du hip-hop québécois des dernières années. Photo: Dead Obies,Les nouveaux classiques
