track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Above All,https://open.spotify.com/track/3JSxKlxWTriK218L3yqoLN,Worship,https://open.spotify.com/album/4uWr8fOgmNBCP5awR10dbs,Michael W. Smith,https://open.spotify.com/artist/5aBxFPaaGk9204ssHUvXWN,2021-06-29,276773,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Alive - Studio Version,https://open.spotify.com/track/1li9zybQQ8XX9J8mNsTr8u,We Are Young & Free (Live),https://open.spotify.com/album/2WUtIkuLnF3EndnswpqEvJ,"Hillsong Young & Free, Alexander Pappas","https://open.spotify.com/artist/7m4gF38CPATtHrk5HS42WZ, https://open.spotify.com/artist/5bjQjhv3Zzxo1VoxGcyaHC",2021-06-29,227600,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Amazing Grace,https://open.spotify.com/track/07Hbd32Jgwe7yT8QHus4aJ,Hymns,https://open.spotify.com/album/6IsMuKCzRSdfK9uRNq5Bfd,Cedarmont Kids,https://open.spotify.com/artist/0MCU2OpgnSB7rm5UPUMHgt,2021-06-29,126333,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Awesome God / God Only Knows - Campfire Medley,https://open.spotify.com/track/4ythCnq2XWIHzLqC9GnUE3,A Week Away (Music From The Netflix Film),https://open.spotify.com/album/0dD74nV0Y03hx2nXE6UInb,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling, Iain Tucker, The Cast Of Netflix's Film A Week Away","https://open.spotify.com/artist/3HTHz4rj84gMMV8T3u81op, https://open.spotify.com/artist/1ADf0BZ77Jw7XYFB37hABE, https://open.spotify.com/artist/4niQBqaDLz6CBtHdTlmcWT, https://open.spotify.com/artist/0ix8tTQpoazYsJEkn0TazD, https://open.spotify.com/artist/11sxWrzQpcZs47pMYU4FVN, https://open.spotify.com/artist/3Rn6h4Auck41QvOCm2jtQQ",2021-06-29,139867,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Belong,https://open.spotify.com/track/2LCjZzth94744Ki2vR4scR,Belong,https://open.spotify.com/album/23UWXk1FORanft5u9boft9,Rachael Nemiroff,https://open.spotify.com/artist/4w2fF5b9OiQBhh6Z34rL8t,2021-06-29,228679,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Best Friends,https://open.spotify.com/track/0fDEDcUApzHMvBlIIKcmMk,All Of My Best Friends,https://open.spotify.com/album/1JqOZim8WcsjtJXuHrgOQO,"Hillsong Young & Free, Aodhán King","https://open.spotify.com/artist/7m4gF38CPATtHrk5HS42WZ, https://open.spotify.com/artist/2EpEo5cgrVpjbLIVlwyyQf",2021-06-29,185573,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Big House,https://open.spotify.com/track/6j2rwn2MWg4VU9B1GEgqfs,Don't Censor Me,https://open.spotify.com/album/19QwRyfvFmQiIudO3x5m1C,Audio Adrenaline,https://open.spotify.com/artist/01PBXLThJADrhufsPS5tER,2021-06-29,211666,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Blessed Be Your Name,https://open.spotify.com/track/14HrSWGYPCDwqAcVFUYKsq,Sing Like Never Before: The Essential Collection,https://open.spotify.com/album/70kDwid3oC52MDbnRxWydm,Matt Redman,https://open.spotify.com/artist/0bz9hDpUbAw5JElgEiuIYZ,2021-06-29,348893,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Brokenness Aside,https://open.spotify.com/track/6x02A6nSxBWlITXk3vNQmw,Season One,https://open.spotify.com/album/0SKZC7cvktjidQLucmftED,All Sons & Daughters,https://open.spotify.com/artist/44LPOpECjnIlnwH91wo2ir,2021-06-29,352026,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
Do Not Worry (feat. Ellie Holcomb),https://open.spotify.com/track/2zDzh7uEM8VJ4CIQMzKHXo,The Kingdom of Heaven Is Like This,https://open.spotify.com/album/5W0j4DRH44VjXhUICznk5x,"Rain For Roots, Ellie Holcomb","https://open.spotify.com/artist/0BMoQeAvgTIVa2il9WIGkA, https://open.spotify.com/artist/5hNiAUVPCTgcpy8vljCxzs",2021-06-29,182635,2022-06-02,"A playlist of Christian summer camp favorites, past and present.",Christian Summer Camp
