track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
9 to 5,https://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG,9 To 5 And Odd Jobs,https://open.spotify.com/album/64Ky1tqKPfwxhJs6msphWd,Dolly Parton,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,2024-06-20,162466,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
All I Ever Asked,https://open.spotify.com/track/1awQLv1J6LkeEQ5co4OOoQ,What A Devastating Turn of Events,https://open.spotify.com/album/1Td1oiZTQFYR7N1QX00uhr,Rachel Chinouriri,https://open.spotify.com/artist/4wrzxtBZw20ufDstKyTnnP,2024-06-20,217578,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
All The Young Dudes,https://open.spotify.com/track/69im75bKyi5OZctSkEPeUH,Juno - Music From The Motion Picture,https://open.spotify.com/album/3Dm3Kc5oOFtesVJe5TF1HG,Mott The Hoople,https://open.spotify.com/artist/6ysQi6NI88X627t2srsWz6,2024-06-20,215040,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Alright,https://open.spotify.com/track/5xC8uOesnn0udeXAYlAnoY,I Should Coco,https://open.spotify.com/album/3YfIjaJEWqiSbKPguS9Bxd,Supergrass,https://open.spotify.com/artist/0sHeX8oQ6o7xic3wMf4NBU,2024-06-20,180880,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Back On 74,https://open.spotify.com/track/19kHhX6f6EfLU7rcO3RqjO,Volcano,https://open.spotify.com/album/5xnXOCf5aZgZ43DgGN4EDv,Jungle,https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071,2024-06-20,209482,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Bad Girls,https://open.spotify.com/track/1ibRqifchaAfeNdQGpbRVW,Bad Girls,https://open.spotify.com/album/58GjBhQvLHwfQFJtdP9Oxg,Donna Summer,https://open.spotify.com/artist/2eogQKWWoohI3BSnoG7E2U,2024-06-20,295106,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
because i liked a boy,https://open.spotify.com/track/32FhTAAjKZaBein150o3Px,emails i can't send,https://open.spotify.com/album/5kDmlA2g9Y1YCbNo2Ufxlz,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-09-24,196458,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Bed Chem,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,Short n' Sweet,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-09-24,171869,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Big Yellow Taxi,https://open.spotify.com/track/6UkMcAA19lTdjs22jtB7o2,Ladies of the Canyon,https://open.spotify.com/album/7JOdtLDLyXJIppDRB7kxr9,Joni Mitchell,https://open.spotify.com/artist/5hW4L92KnC6dX9t7tYM4Ve,2024-06-20,134800,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Bitter with the Sweet,https://open.spotify.com/track/6MBS3ARYYlI4FtYjaTinK5,Rhymes & Reasons,https://open.spotify.com/album/3kUmJfZkReqIb3ZqB4Q4kv,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2024-06-20,147466,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Black Hole,https://open.spotify.com/track/0vnKE8ukNmF641XhnEyZJD,One Foot In Front Of The Other,https://open.spotify.com/album/6CR4ozv4yOdaA3f6PPQepA,Griff,https://open.spotify.com/artist/5RJFJWYgtgWktosLrUDzff,2024-06-20,200523,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Coincidence,https://open.spotify.com/track/5oIVNm56t6OIf9ZjdEG3ud,Short n' Sweet,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-09-24,164202,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
decode,https://open.spotify.com/track/17wMOhLqVB3DRCmTaLjwVM,emails i can't send,https://open.spotify.com/album/5kDmlA2g9Y1YCbNo2Ufxlz,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-09-24,188167,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Don’t Smile,https://open.spotify.com/track/09LrGvT9KsACH66RHYMDyR,Short n' Sweet,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-09-24,206295,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
Dumb & Poetic,https://open.spotify.com/track/5VhvD0AKRprEaFtPNKGBQR,Short n' Sweet,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-09-24,133478,2024-06-21,The official setlist for Sabrina's Short n'Sweet tour 💕☕💕,Sabrina's Short n' Sweet Setlist
