track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"A Dream Is a Wish Your Heart Makes - From ""Cinderella""",https://open.spotify.com/track/4lQqPnkYEUfVaV1i4K5bLI,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,"Ilene Woods, Mice Chorus","https://open.spotify.com/artist/4DovRSplr3yJIeE3r0RtHj, https://open.spotify.com/artist/3gcnVAcMBdtYbril7EqBz6",2023-02-09,275186,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"A Dream Is a Wish Your Heart Makes - From ""Cinderella""/Soundtrack Version",https://open.spotify.com/track/3uVkugZz6yCTw5Z8sDI19F,Disney's Greatest Volume 2,https://open.spotify.com/album/6KSC0FkAhdErc0azFDze0i,"Ilene Woods, Cinderella's Mice Chorus","https://open.spotify.com/artist/4DovRSplr3yJIeE3r0RtHj, https://open.spotify.com/artist/2CLqnyyWmenxxGYMagqlee",2023-02-09,276306,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"A Spoonful of Sugar - From ""Mary Poppins""",https://open.spotify.com/track/1VM0kBcrxqvZaumUYfTx1z,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,Julie Andrews,https://open.spotify.com/artist/5RdqZVi36tpDPYNPw8jJbO,2023-02-09,247240,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"A Spoonful Of Sugar - From ""Mary Poppins""",https://open.spotify.com/track/5ohYQZfcLlD4Lvf8lt3VCA,We Love Disney,https://open.spotify.com/album/3VZhtobnayfWeRS5Nm2uSu,Kacey Musgraves,https://open.spotify.com/artist/70kkdajctXSbqSMJbQO424,2023-02-09,218426,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",https://open.spotify.com/track/3BBJ1Cy7bcUl6dpfmQilOO,Saving Mr. Banks (Original Motion Picture Soundtrack [Deluxe Edition]),https://open.spotify.com/album/1cuE3waPR1CDFUpYd6fX12,Julie Andrews,https://open.spotify.com/artist/5RdqZVi36tpDPYNPw8jJbO,2023-02-09,247813,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"A Whole New World - From ""Aladdin""",https://open.spotify.com/track/7jUq2nQeOG822ISFjxRz1X,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,"Lea Salonga, Brad Kane","https://open.spotify.com/artist/1GlMjIezcLwV3OFlX0uXOv, https://open.spotify.com/artist/3dAzSJ9lQnJSq5Z0OgDBep",2023-02-09,160186,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
A Whole New World - Remastered 2022,https://open.spotify.com/track/0k7Shopj669EbywEjsqoqm,Walt Disney Records The Legacy Collection: Aladdin,https://open.spotify.com/album/2k9FuG5GyW61y2a0j4R3vP,"Brad Kane, Lea Salonga, Disney","https://open.spotify.com/artist/3dAzSJ9lQnJSq5Z0OgDBep, https://open.spotify.com/artist/1GlMjIezcLwV3OFlX0uXOv, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2023-02-09,160306,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
After Today,https://open.spotify.com/track/79oesFYaS2VT39ShdA19u9,A Goofy Movie,https://open.spotify.com/album/3gUUrvvTs1JlX5AjiKRV0P,"Aaron Lohr, Chorus - After Today","https://open.spotify.com/artist/7kpYFxC5CpMUjfXtOGOrvR, https://open.spotify.com/artist/375QdJrME9U71Sh7zj0hfM",2023-02-09,141346,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
All In the Golden Afternoon,https://open.spotify.com/track/047tBni5kKhs4Eqo38HZWa,Disney Classics,https://open.spotify.com/album/6zisUsluEUqL929AhNOXs0,"Kathryn Beaumont, Disney Studio Chorus","https://open.spotify.com/artist/762gpacQ6WcT75zlkrc3Ls, https://open.spotify.com/artist/0uxCcs6uoQy6StkrWS1QjW",2023-02-09,161253,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
All In the Golden Afternoon,https://open.spotify.com/track/3E8MFSBnMnv5Gc89Dj9ulR,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,"Kathryn Beaumont, Disney Studio Chorus","https://open.spotify.com/artist/762gpacQ6WcT75zlkrc3Ls, https://open.spotify.com/artist/0uxCcs6uoQy6StkrWS1QjW",2023-02-09,161253,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Aloha, E Komo Mai (Theme Song from Lilo & Stitch: The Series) - Extended Version",https://open.spotify.com/track/5JVcDjjtezbvIWdb4ZTG4p,Disney Classics,https://open.spotify.com/album/6zisUsluEUqL929AhNOXs0,Jump5,https://open.spotify.com/artist/0qa4GMXrmylKemymbElIwq,2023-02-09,144413,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Aloha, E Komo Mai - From ""Lilo & Stitch: The Series""",https://open.spotify.com/track/5yR0Uawj5Srl1O9DSIaLuL,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,Jump5,https://open.spotify.com/artist/0qa4GMXrmylKemymbElIwq,2023-02-09,144413,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Be Our Guest,https://open.spotify.com/track/2F8LPJgSVTJxukoParTyBD,Beauty And The Beast (Special Edition),https://open.spotify.com/album/5CXS5K2wldOxL8bweRXBrq,"Angela Lansbury, Jerry Orbach, Chorus - Beauty And the Beast, Disney","https://open.spotify.com/artist/0LtVJXnPR8msCJiE2DjHxy, https://open.spotify.com/artist/5i2OpmeVKsmViqoETxuOvO, https://open.spotify.com/artist/3kWWBtNzJFtKA222gZz39d, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO",2023-02-09,224920,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Be Our Guest,https://open.spotify.com/track/18ZancOCnfubiRvcAx9kxe,Beauty and the Beast: A 30th Celebration (Original Soundtrack),https://open.spotify.com/album/3KTw339NIoDSmkjvbxzA2N,"Martin Short, Shania Twain, David Alan Grier","https://open.spotify.com/artist/0dV9xcjrW5YwkxG3gEBhRx, https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL, https://open.spotify.com/artist/5aDJFTPB7JCC9T785IH2Fy",2023-02-09,232880,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Be Our Guest - From ""Beauty and the Beast""",https://open.spotify.com/track/2Bboj76h2Fkugm8S1iOiFL,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,"Angela Lansbury, Jerry Orbach, Chorus - Beauty And the Beast","https://open.spotify.com/artist/0LtVJXnPR8msCJiE2DjHxy, https://open.spotify.com/artist/5i2OpmeVKsmViqoETxuOvO, https://open.spotify.com/artist/3kWWBtNzJFtKA222gZz39d",2023-02-09,223040,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Beauty and the Beast,https://open.spotify.com/track/3I3QV9fD0CQdnekEPNgYIk,Beauty and the Beast: A 30th Celebration (Original Soundtrack),https://open.spotify.com/album/3KTw339NIoDSmkjvbxzA2N,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,2023-02-09,177680,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Best of Friends - From ""The Fox & The Hound"" / Soundtrack",https://open.spotify.com/track/3lP9eoNsz04dMCfPIG0PpK,Disney's Greatest Vol. 3,https://open.spotify.com/album/6UuNvv5UFJG5bQkYzQIarh,Pearl Bailey,https://open.spotify.com/artist/2cskX7NGnrWMjA4PRSxVPL,2023-02-09,135346,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Best of Friends - From ""The Fox and the Hound""",https://open.spotify.com/track/3KAXwx0pEaHtxqp0UXQ9Eu,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,Pearl Bailey,https://open.spotify.com/artist/2cskX7NGnrWMjA4PRSxVPL,2023-02-09,134106,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Beyond (End Credit Version) - From ""Moana 2""",https://open.spotify.com/track/3fzqWttckvSJS7KPGPiWAg,"Beyond (End Credit Version) [From ""Moana 2""]",https://open.spotify.com/album/6uCyNThgUieE9elUSd4SuP,"Auli'i Cravalho, Disney, Te Vaka","https://open.spotify.com/artist/5mnS9jJdKQQcRSqFu5YPVe, https://open.spotify.com/artist/3xvaSlT4xsyk6lY1ESOspO, https://open.spotify.com/artist/5sClZWCp2BelTSEB9cU51M",2024-11-07,196306,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"California Screamin' - From ""California Screamin'""",https://open.spotify.com/track/7H2qQ7bU8uPZziCBoR4voa,Disney Classics,https://open.spotify.com/album/6zisUsluEUqL929AhNOXs0,Gary Hoey,https://open.spotify.com/artist/1so07AHiowjXxc3KVUqp76,2023-02-09,153693,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
California Screamin' - From California Screamin',https://open.spotify.com/track/27kN2ZJYpfYjC55ERlAqAY,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,Gary Hoey,https://open.spotify.com/artist/1so07AHiowjXxc3KVUqp76,2023-02-09,153693,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Canada (You're a Lifetime Journey),https://open.spotify.com/track/72LV2fYwLyFFROG8fiTudk,Disney Classics,https://open.spotify.com/album/6zisUsluEUqL929AhNOXs0,Bob Moline,https://open.spotify.com/artist/3C6eGC5bzEYiHQd3tXU0W3,2023-02-09,350653,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Canada (You're a Lifetime Journey) - From O Canada!,https://open.spotify.com/track/6hyO6h2jrI2LIZKC7IcAqD,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,Bob Moline,https://open.spotify.com/artist/3C6eGC5bzEYiHQd3tXU0W3,2023-02-09,350653,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Carl Goes Up,https://open.spotify.com/track/42ZSOGIZ8AuQBFgyyicone,Up (Original Motion Picture Soundtrack),https://open.spotify.com/album/5yN2LiMaA7nEXT35GW4hNu,Michael Giacchino,https://open.spotify.com/artist/4kLvhMAuCloLxoP1aVM7Lr,2024-06-05,213240,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Cheetah Sisters,https://open.spotify.com/track/3WjbOhfEyBp4lvEf06jGRJ,The Cheetah Girls (Original TV Movie Soundtrack),https://open.spotify.com/album/2GHNXCbcVV9rvtN2g7bUDX,The Cheetah Girls,https://open.spotify.com/artist/4ntkql3f3ect7NDRUJ7aAY,2023-02-09,186386,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Cheetah Sisters - From ""The Cheetah Girls""",https://open.spotify.com/track/5bzzu4VL5Jd4VoTU4MYkHI,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,The Cheetah Girls,https://open.spotify.com/artist/4ntkql3f3ect7NDRUJ7aAY,2023-02-09,186493,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Chip 'N' Dale's Rescue Rangers Theme Song,https://open.spotify.com/track/4dh4RRWKs7cbaWv9yFxULq,The Disney Afternoon,https://open.spotify.com/album/0sKZZI3UI2foLkTaiWupSI,The Disney Afternoon Studio Chorus,https://open.spotify.com/artist/0kzp6Ezum8UhblfmLkcyPq,2023-02-09,219413,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Chip 'N' Dale's Rescue Rangers Theme Song - From ""Chip 'n' Dale's Rescue Rangers""",https://open.spotify.com/track/22GeNHLRDo55WPE1pzCau0,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,The Disney Afternoon Studio Chorus,https://open.spotify.com/artist/0kzp6Ezum8UhblfmLkcyPq,2023-02-09,214973,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Circle of Life - From ""The Lion King""",https://open.spotify.com/track/4v6eErR1d1JTa4sQJbEktx,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,"Carmen Twillie, Lebo M.","https://open.spotify.com/artist/6O3ZB5Cz5CNT3wQWouKcNJ, https://open.spotify.com/artist/0zp9qNDSeYi3QEodhcKAAA",2023-02-09,238000,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Circle of Life - From ""The Lion King"" Soundtrack",https://open.spotify.com/track/7bhfPxNDc3Wtzu5Fx8FnNx,Disney Summer Songs,https://open.spotify.com/album/6qykGE5x584duyLVYcnojE,"Carmen Twillie, Lebo M.","https://open.spotify.com/artist/6O3ZB5Cz5CNT3wQWouKcNJ, https://open.spotify.com/artist/0zp9qNDSeYi3QEodhcKAAA",2023-02-09,237640,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Colors of the Wind - From ""Pocahontas""",https://open.spotify.com/track/2rnX4QWY4Wc1TCAZ0wK6yP,Songs and Story: Pocahontas,https://open.spotify.com/album/6uCMCobTioiSEnMgUle7uj,Judy Kuhn,https://open.spotify.com/artist/7tHd518aPjJYUgyv9bidBz,2023-02-09,212933,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Colors of the Wind - From ""Pocahontas""",https://open.spotify.com/track/3kkJyXX0eJv8sGBOBfk3rm,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,Judy Kuhn,https://open.spotify.com/artist/7tHd518aPjJYUgyv9bidBz,2023-02-09,212960,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Colors Of The Wind - From ""Pocahontas""",https://open.spotify.com/track/7qgM0MdETmhd3mORTqvJRm,We Love Disney,https://open.spotify.com/album/3VZhtobnayfWeRS5Nm2uSu,Tori Kelly,https://open.spotify.com/artist/1vSN1fsvrzpbttOYGsliDr,2023-02-09,246573,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Cruella De Vil - From ""101 Dalmatians""",https://open.spotify.com/track/3fe9rpKX412WTdRM8DyxGT,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,Bill Lee,https://open.spotify.com/artist/1Vb1cXNxIUyb3Geb9cvSvL,2023-02-09,304053,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Cruella De Vil - From ""101 Dalmatians""/Soundtrack Version",https://open.spotify.com/track/2tkIIkF3CPqsmYhsncNEGN,101 Dalmatians,https://open.spotify.com/album/6hcQqEfqHDkQZl1bdgr4Vr,Bill Lee,https://open.spotify.com/artist/3UcnwnNwP6egaBs7DAgRdJ,2023-02-09,303760,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
Darkwing Duck Theme,https://open.spotify.com/track/2C50wOYaIRgenhIQZhgXXb,Disney Classics,https://open.spotify.com/album/6zisUsluEUqL929AhNOXs0,The Disney Afternoon Studio Chorus,https://open.spotify.com/artist/0kzp6Ezum8UhblfmLkcyPq,2023-02-09,61520,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
"Darkwing Duck Theme - From ""Darkwing Duck""",https://open.spotify.com/track/7vQOLuR38q0sPtEE88sbL5,Disney Classics,https://open.spotify.com/album/6b4nBlM4ofUKA0mcb1b9oF,The Disney Afternoon Studio Chorus,https://open.spotify.com/artist/0kzp6Ezum8UhblfmLkcyPq,2023-02-09,61520,2024-01-30,"All the best songs from your favorite classic Disney films, TV shows and more.",Disney Classics
