track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2000,https://open.spotify.com/track/7GFxCDuquGXbNdpMsbGtW2,2000,https://open.spotify.com/album/44APgI5NFKuERnSANLQV1w,"vowl., Sace","https://open.spotify.com/artist/5Q0sv5SeMZln6szEW49dHL, https://open.spotify.com/artist/7reSsIosg88LaPnn8KKlJA",2022-10-28,99823,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
2078,https://open.spotify.com/track/2zB4Vl40iS0FEnh87JAl1p,2078,https://open.spotify.com/album/2PvrElU6qbxUnA8Msn44IP,Wice,https://open.spotify.com/artist/3pPHLLecNGUHm0dqmJ6BRD,2022-12-23,196487,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
4 Morant (Better Luck Next Time),https://open.spotify.com/track/3XOmSRuEEq7rK4XNzWQdyT,Brokendate,https://open.spotify.com/album/7njHOwYjouefEKp1XbTx95,Com Truise,https://open.spotify.com/artist/2wouN3QXejYa5tKetYdcVX,2023-10-23,171000,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
888 Mph,https://open.spotify.com/track/5Yfuvy8pI9LrFZpxKfj94K,The Grid,https://open.spotify.com/album/2cDnv7qFyCmeLlYaaSgHGd,S A Z E R,https://open.spotify.com/artist/4ITqwIiGfTR7LWAuLLuaaL,2023-11-27,265600,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
9.30pm,https://open.spotify.com/track/7sVySvSTq1w7jg8RxJ8FYU,Shadows,https://open.spotify.com/album/55GAETMblxqw008lY8z6wo,Klasey Jones,https://open.spotify.com/artist/0wPOVO0uMbHZy2ycXkOmY7,2021-10-15,240000,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
97,https://open.spotify.com/track/4k2plYOozs9kE622sg3G0s,Vat:Auhlau - EP,https://open.spotify.com/album/2eUOTl9Gadvn84l0Ay23mb,Stay Ali,https://open.spotify.com/artist/7uK8fAsaUYDckzHcOHFsOU,2022-04-01,292000,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
97,https://open.spotify.com/track/5LGQrqkb7FGcZ9FJic1jwV,Vat:Auhlau,https://open.spotify.com/album/1hRLuY4HYnO93lQGExqBdm,Stay Ali,https://open.spotify.com/artist/7uK8fAsaUYDckzHcOHFsOU,2022-08-05,292000,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
"A Glowing Light, a Promise",https://open.spotify.com/track/1KjBsubnUzAU1dvxIEUky4,88:88,https://open.spotify.com/album/2j4ro7dtXWPrSjjE7mdKqY,Makeup And Vanity Set,https://open.spotify.com/artist/5iJnzz8Lfh1U3XQpBw95J3,2022-04-01,333810,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
A Promise to Die,https://open.spotify.com/track/3IfWaFt0d01TPU3dsy5Yw9,Dead Girls Don't Dance,https://open.spotify.com/album/5tyDEynnOrGAnP1XlzuZPR,Nightstop,https://open.spotify.com/artist/291Vz2qC5SVLJSKA5mrYij,2023-04-07,176248,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
A Sea of Stars (Miami Nights 1984 Remix),https://open.spotify.com/track/68GKHn1VXyM8RHG1rm4Ov1,A Sea of Stars (Miami Nights 1984 Remix),https://open.spotify.com/album/7bnXNCT9BhCqYra8IT8OWq,"W O L F C L U B, Miami Nights 1984","https://open.spotify.com/artist/4dCDYKtFTMnKCI9PvEwMQX, https://open.spotify.com/artist/18iQQOuyGlHunPVzmoLY20",2023-01-20,211200,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
a ti y a mi nos quieren hacer daño,https://open.spotify.com/track/6XhDdfzt0TIv4g9jlFzqCq,a ti y a mi nos quieren hacer daño,https://open.spotify.com/album/4nWVVZDWGn1M25LblFJHFg,Fran Laoren,https://open.spotify.com/artist/2g1W9bFVmdIyxvktrdDiO4,2022-04-01,188406,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
Above The Clouds,https://open.spotify.com/track/3AGsnf8fjX4vBsIybP3B8T,Nights,https://open.spotify.com/album/4pQQ9w4fIP6hawkDfMvUZS,Droid Bishop,https://open.spotify.com/artist/0HPVHsbV2yIYPp2Pk4kdHe,2023-10-23,301687,2022-01-17,Equal parts nostalgic synthwave sounds and modern production.,Retrowave // Outrun
