track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"12 Pieces for Children: No. 6, My Darling and Marjan (Variation)",https://open.spotify.com/track/6DkXwtgHlaT8PzGWU82O4I,Komitas: Piano & Chamber Music,https://open.spotify.com/album/4NNceaCDBc6rblTqB98d8C,"Komitas, Mikael Ayrapetyan","https://open.spotify.com/artist/4Yiwp7GT4REEHykKPHSWv3, https://open.spotify.com/artist/6MbLMjlPQHSO9u4gKzys4w",2023-07-04,77093,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
3 Visions: No. 2. Summerland,https://open.spotify.com/track/6DjJASpNIqqEABN4geePv0,"Piano Recital: Waites, Althea - Price, F.B. / Still, W.G. / Bland, E.",https://open.spotify.com/album/3QTA3qI6hBkrcWhO6BawKG,"William Grant Still, Althea Waites","https://open.spotify.com/artist/0KkJoXozXmbRdmpy7zCmYA, https://open.spotify.com/artist/5cFDIXZI13ESqS25ixveDv",2023-07-04,261533,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
4 Postludes for Piano & String Orchestra: No. 1. Larghetto - Andante,https://open.spotify.com/track/71FqqOSUSVjaM4ZT3Ugj83,"Ustvolskaya, Silvestrov & Kancheli: Works for Piano & Orchestra",https://open.spotify.com/album/56kiotGWV3BT7x39WeAr4H,"Valentin Silvestrov, Elisaveta Blumina, Stuttgart Chamber Orchestra, Thomas Sanderling","https://open.spotify.com/artist/1bauOA5U5M3RwH2euX3Eq6, https://open.spotify.com/artist/2PfSqNvD6yUMeq9krR7X3g, https://open.spotify.com/artist/51RiZjPgKKJ1uDsZVmntmF, https://open.spotify.com/artist/3S55Z8j2m8fHa1L2axqywa",2023-07-04,336520,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
"6 Piano Pieces, Op. 26: No. 2, Pastoral Atmosphere",https://open.spotify.com/track/2jgbIBve4VfgQREVKnINEO,Kuula: Complete Works for Solo Piano,https://open.spotify.com/album/5ZhCzOuYyL2QXfUXSYypqi,"Toivo Kuula, Adam Johnson","https://open.spotify.com/artist/2QEZLBp41V3t2Ua0bNIiBG, https://open.spotify.com/artist/4lMEnbAPKP5qkZM9CJXBq5",2023-07-04,224480,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
"Adagio in E Major, K. 261",https://open.spotify.com/track/59BQznVRJUydDnXEvgtdbC,Mozart: Violin Concertos Nos. 1-5,https://open.spotify.com/album/4MoBHLn1hpbGeuCBSjkWdC,"Wolfgang Amadeus Mozart, Benjamin Schmid, Mozarteum Orchestra Salzburg, Hans Graf","https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS, https://open.spotify.com/artist/05jJGafjOt4l63sy3c1m8h, https://open.spotify.com/artist/7m5yQHpGKbm9YHcUdrZElN, https://open.spotify.com/artist/61QRbGcgOYOud7f4YGzofV",2023-07-04,462333,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
"Après un rêve, Op. 7, No. 1",https://open.spotify.com/track/05yzhEWkmVXiigqWfcNTQS,Songs from the Arc of Life,https://open.spotify.com/album/2y85NsbsBnGTXcXgHpj3PD,"Gabriel Fauré, Yo-Yo Ma","https://open.spotify.com/artist/2gClsBep1tt1rv1CN210SO, https://open.spotify.com/artist/5Dl3HXZjG6ZOWT5cV375lk",2023-07-04,160226,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
Ashokan Farewell,https://open.spotify.com/track/1LvpbG9frKLWfXOlUgvcjJ,Chilled Piano Vol.3,https://open.spotify.com/album/5fzzOiemB6nZGpUeNAQNCj,"Jay Ungar, Music Lab Collective, Valentina Lisitsa","https://open.spotify.com/artist/54jNT6jMGDoxMSBzUDEYSB, https://open.spotify.com/artist/1ylcY77FWeSVQKh5et1VGp, https://open.spotify.com/artist/0gOrXuu1vCBXe3pwTyb5Ca",2023-07-04,292946,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
Ave Maria,https://open.spotify.com/track/2kyEgPaAW8wdpvevPnkf0Z,Songs from the Arc of Life,https://open.spotify.com/album/2y85NsbsBnGTXcXgHpj3PD,"Charles Gounod, Yo-Yo Ma","https://open.spotify.com/artist/42Vmza0WYHdhsgxFmf9Tui, https://open.spotify.com/artist/5Dl3HXZjG6ZOWT5cV375lk",2023-07-04,163266,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
Blow The Wind Southerly (Arr. Kanneh-Mason for Cello),https://open.spotify.com/track/5NHQ6e1JkQ5zsvzIRkqDhh,Elgar,https://open.spotify.com/album/3PwJLGFcKrecmaRbJQYMSg,"Traditional, Sheku Kanneh-Mason","https://open.spotify.com/artist/1U5zgr455OGyIkLNXvDdrf, https://open.spotify.com/artist/6OTr0YwLwGdv7mlmX27hRX",2023-07-04,142066,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
"Chants du Rhin, WD 52: Les rêves",https://open.spotify.com/track/0Kubohno5e03J30wNFg4B2,Bizet sans Paroles,https://open.spotify.com/album/0UbRmtk4reK9XEzz1yk2P4,"Georges Bizet, Nathanaël Gouin","https://open.spotify.com/artist/2D7RkvtKKb6E5UmbjQM1Jd, https://open.spotify.com/artist/6ycB2zc7NqE59KlP0WQCBl",2023-07-04,224333,2023-09-28,Piezas clásicas para relajarte y dejarte llevar.,Música Clásica Chill
