track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
0X1=LOVESONG (I Know I Love You) feat. Seori,https://open.spotify.com/track/1Z8TPHiKeCUyClxV6WTTIf,The Chaos Chapter: FREEZE,https://open.spotify.com/album/5Zdr9vactwnJH4Vpe9Mid9,"TOMORROW X TOGETHER, Seori","https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB, https://open.spotify.com/artist/2bWTIIQP9zaVc55RaMGu7e",2021-11-17,202203,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
10 Months,https://open.spotify.com/track/3LcFQsZw01tRvjCNLgSmTv,BORDER : DAY ONE,https://open.spotify.com/album/3YxF7jTnpdNepWbO42f8lH,ENHYPEN,https://open.spotify.com/artist/5t5FqBwTcgKTaWmfEbwQY9,2021-11-17,194220,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
28 Reasons,https://open.spotify.com/track/1dfsPqH09vnzUWEOsN98Ex,28 Reasons - The 1st Mini Album,https://open.spotify.com/album/1t5a29WYbJj83iy3RNICHw,SEULGI,https://open.spotify.com/artist/2QM5S4yO6xHgnNvF0nbZZq,2023-01-04,189413,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
9 and Three Quarters (Run Away),https://open.spotify.com/track/1rqb2FCXVn2HNL1afJEnTr,The Dream Chapter: MAGIC,https://open.spotify.com/album/7yDyRk7Wvvw7JM1kqV4tJf,TOMORROW X TOGETHER,https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,2022-06-18,211866,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
9 and Three Quarters (Run Away),https://open.spotify.com/track/2MsNSKQNQNRklkKFxxvIav,The Dream Chapter: MAGIC,https://open.spotify.com/album/5KoR6s906nbO21C9ZPdwTv,TOMORROW X TOGETHER,https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,2021-11-17,211866,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
90's Love,https://open.spotify.com/track/0B36SbjfDv15ji1bQEEeTN,NCT RESONANCE Pt. 2 - The 2nd Album,https://open.spotify.com/album/3Bd1xSHPmhIEH97idB634s,NCT U,https://open.spotify.com/artist/3paGCCtX1Xr4Gx53mSeZuQ,2021-11-17,213666,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
90's Love,https://open.spotify.com/track/64EDGnUytmCV7TfOo67810,NCT RESONANCE Pt. 2 - The 2nd Album,https://open.spotify.com/album/5Dq6jkYO5H7KzxXSazhLxs,NCT U,https://open.spotify.com/artist/3paGCCtX1Xr4Gx53mSeZuQ,2021-11-17,213666,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
_WORLD,https://open.spotify.com/track/3QwiidVHfeE9y5jl4n2MTC,SEVENTEEN 4th Album Repackage 'SECTOR 17',https://open.spotify.com/album/15pRJdCJtDyzQaY9tGs750,SEVENTEEN,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,2023-01-04,178453,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
ABCD,https://open.spotify.com/track/0V2passWyAXnON67kfAj7y,NA,https://open.spotify.com/album/5zQI9dFbS9TrhvC9clgjz7,NAYEON,https://open.spotify.com/artist/1VwDG9aBflQupaFNjUru9A,2025-01-27,162840,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
After LIKE,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG,After LIKE,https://open.spotify.com/album/0nzRF7khA2UDSZa9T0B6Da,IVE,https://open.spotify.com/artist/6RHTUrRF63xao58xh9FXYJ,2023-01-04,176973,2021-12-21,Time to press play on these jaem jams from 2010 onwards! Cover: SEVENTEEN,Nolja!
