track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""L""",https://open.spotify.com/track/6bnM3mthxSY6fWrk15msxM,"""L""",https://open.spotify.com/album/3GU6dBAcgSyLa5gSpVpTrx,The Volunteers,https://open.spotify.com/artist/2jLHrOkh1M5rLJgnrgfQf1,2024-06-26,260682,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
#000000,https://open.spotify.com/track/0u3kHLmxNdplGvVKcQLghr,SR : BLACK,https://open.spotify.com/album/4iS6oODcmwfUvT7StkFwKB,Siera,https://open.spotify.com/artist/1YiIr2WxBXFVOy9oMq7kCS,2023-01-10,219426,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
#with_you,https://open.spotify.com/track/1D1laQvjRLunEs8XDO9sag,#with_you,https://open.spotify.com/album/764n0TwmT7M4xW9BaOy1cZ,D'avant,https://open.spotify.com/artist/4KIzyH8RDYbO94Qs7tfGRg,2021-12-21,178555,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
(The Cherry Trees),https://open.spotify.com/track/2e5HDpsJrpt0GwWME1tR9p,(1),https://open.spotify.com/album/2cg7v6OUCXU4gkOt1b4rKI,youra,https://open.spotify.com/artist/5q9adPv91NFr8q2ZcKmX0V,2023-07-07,169142,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
- x - = + (feat. CHOILB),https://open.spotify.com/track/4LX2qcAZ2fYIYIBovSSM9U,- x - = +,https://open.spotify.com/album/29UkENf2I78Np78nSQoKY7,"UNE, CHOILB","https://open.spotify.com/artist/1gPI21PhFmfBqPP118h5rS, https://open.spotify.com/artist/02WoRfOhF5nUVpwddshInq",2023-08-01,181946,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
- x - = + (feat. 최엘비),https://open.spotify.com/track/4pbE7u8JYY1AsbjaxaAGCE,- x - = +,https://open.spotify.com/album/5AFxWh93Ou4GC4pkB4nYco,"UNE, CHOILB","https://open.spotify.com/artist/1gPI21PhFmfBqPP118h5rS, https://open.spotify.com/artist/02WoRfOhF5nUVpwddshInq",2024-04-30,181946,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
0405 (Four Five),https://open.spotify.com/track/13kL8jBBpIq40ypSWnaQTl,0405 (Four Five),https://open.spotify.com/album/1gek49hKp1pIDHDlHjudp6,dori,https://open.spotify.com/artist/4Db1gte7TUAeZyRdo4FLE7,2025-02-17,163320,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
100%,https://open.spotify.com/track/7yeC6MIFL8uFJxxpi689Oh,23,https://open.spotify.com/album/09Rc98aH2Si36E5tRB0Rxg,Yebit,https://open.spotify.com/artist/7zdCvtTQdMCj37CuQxkyQf,2023-06-01,191133,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
1009,https://open.spotify.com/track/4r5Qxskm1ofRU3VRzAyplg,Hangeul,https://open.spotify.com/album/1TgWey8Gm4LOpHmzRc1sZp,Ahn Ye Eun,https://open.spotify.com/artist/0qQQYIK5Sxnzt72fGyTcvs,2021-12-21,243906,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
101(Home Home),https://open.spotify.com/track/37udabD4Yr1PWBF2QvyBf0,101(Home Home),https://open.spotify.com/album/4luAxhIonh4m7E73ceAYho,youra,https://open.spotify.com/artist/5q9adPv91NFr8q2ZcKmX0V,2024-04-30,184800,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
14551,https://open.spotify.com/track/7MiGI1BmyQWhd0blrrTTxO,14551,https://open.spotify.com/album/2q0oMA64W0M58swynXTNWe,"dogyu, Hanul Lee","https://open.spotify.com/artist/2mZ82ywIcug873Z3DCpL5N, https://open.spotify.com/artist/72rNrCObB3Jo73R6Wo9xTm",2024-11-20,136062,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
1AM 새벽 한 시,https://open.spotify.com/track/5kxFmqWNGEiHfUxdlt9mRD,1AM 새벽 한 시,https://open.spotify.com/album/2W4RwbxG9DWa5Y18Fve6Ie,Casker,https://open.spotify.com/artist/0nHPlnFkwhTmnfda7ho0E5,2022-04-12,259196,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
1MIN,https://open.spotify.com/track/3K7tYWE7j23hy9i228NwdQ,1MIN,https://open.spotify.com/album/6ZJhQiQM1Y6a3R5VX8Qww6,SUNBURNKIDS,https://open.spotify.com/artist/6SvZiq1Mf4AK1Vxslxo6HL,2024-04-30,128063,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
2 Minutes,https://open.spotify.com/track/7BwBnCJJDbslpSPKENzYmo,2 Minutes,https://open.spotify.com/album/1p6vQUoFIkcMUjULC5SXXz,Milena,https://open.spotify.com/artist/2ODok2cPMF1Z1gZetfaL6n,2024-06-06,120453,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
2022/02/22,https://open.spotify.com/track/1FUXYmjl2GMjqqWckYHhcm,2022/02/22,https://open.spotify.com/album/1WRZivz4Et1oExafBKnlCq,Chang Kiha,https://open.spotify.com/artist/2kppzekGp379T3M56GYd7d,2022-02-16,134117,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
25 - A COLORS SHOW,https://open.spotify.com/track/1szML6Onangw2A3ppLq1ac,25 - A COLORS SHOW,https://open.spotify.com/album/5qi1T2mLicHngZ0rHxeNsC,oceanfromtheblue,https://open.spotify.com/artist/76eIrOIqck4yuOhrYZGx3a,2024-02-07,166974,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
3108,https://open.spotify.com/track/4Pty5kAaFSjQk2a5cLLpqK,3108,https://open.spotify.com/album/4km6abn4iGxsbDnxuvFMrw,Ha Hyun Sang,https://open.spotify.com/artist/1jK4qH2wAXqF8v64zvaGRb,2022-07-27,178266,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
3108,https://open.spotify.com/track/1jJb6ZRhsPVYRKBj4wZ4xc,3108,https://open.spotify.com/album/0pwKuUl5Rx2o2GWsARCCOU,Ha Hyunsang,https://open.spotify.com/artist/1jK4qH2wAXqF8v64zvaGRb,2021-12-12,178266,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
500000km NF SONATA,https://open.spotify.com/track/6te2w854p7KJnwWifSvZdb,500000km NF SONATA,https://open.spotify.com/album/5L4NzC1YJgJ6S1kr8VSlLd,A.TRAIN,https://open.spotify.com/artist/7D0HzqgqyXHSl3Vp4EC1EL,2022-07-04,191146,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
7942,https://open.spotify.com/track/5KKExY5gsSnK8OUKMgeSOO,7942,https://open.spotify.com/album/0Fj7skkiFSSaRHjY50cRnK,20 Years of Age,https://open.spotify.com/artist/0KaZcu3pEVHfYOnB62eLFp,2022-03-31,238840,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
8%,https://open.spotify.com/track/5b8kLu7ws92PZNztnAfhTr,8%,https://open.spotify.com/album/4A2zt7AYTnaI3TMdSKh3TB,HAIL,https://open.spotify.com/artist/6ay9YyFyAgf6eORHdLKKDf,2021-12-21,230531,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
99,https://open.spotify.com/track/0NVc9dRJa7IqBbOPvuDqwq,99,https://open.spotify.com/album/1RLCUlVVaSoATwOUI6CihR,Standing Egg,https://open.spotify.com/artist/6a3Mfrn2XBR1DfPg1QGa1d,2021-12-21,212786,2021-12-21,"Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: 
 jisokuryClub(지소쿠리클럽)) (최신곡을 포함한 국내 인디곡들을 만나보세요!)",Indie Korea (인디 코리아)
