track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana [Edit],https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2023-11-17,231545,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
...Baby One More Time,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time (Digital Deluxe Version),https://open.spotify.com/album/3WNxdumkSMGMJRhEgK80qx,Britney Spears,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,2021-09-23,211066,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
1Trago,https://open.spotify.com/track/7pNzIsog6lGrTL7coKYtKl,1Trago,https://open.spotify.com/album/61bbTZzUgZZnZPpuKYHj26,Danna Paola,https://open.spotify.com/artist/5xSx2FM8mQnrfgM1QsHniB,2023-04-21,201106,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
24K Magic,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,24K Magic,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA,Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,2021-09-23,225983,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
80s Mercedes,https://open.spotify.com/track/4sDSkmacergclAYN5zCnMj,HERO,https://open.spotify.com/album/3E10GQY1o8ZkHrhlQymzaO,Maren Morris,https://open.spotify.com/artist/6WY7D3jk8zTrHtmkqqo5GI,2021-09-23,211767,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Another One Bites The Dust - Remastered 2011,https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J,The Game (Deluxe Remastered Version),https://open.spotify.com/album/6wPXUmYJ9mOWrKlLzZ5cCa,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2024-03-15,214653,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Anti-Hero,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,Midnights,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2022-12-29,200690,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Atrévete-Te-Te,https://open.spotify.com/track/1q8NdCAQ9QUjpYiqzdd3mv,Calle 13 (Explicit Version),https://open.spotify.com/album/5pmuwmV2OcuiTX7kNczQ16,Calle 13,https://open.spotify.com/artist/0yNSzH5nZmHzeE2xn6Xshb,2022-12-29,239306,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Attention,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,Voicenotes,https://open.spotify.com/album/0mZIUXje90JtHxPNzWsJNR,Charlie Puth,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,2021-09-23,208786,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
BABY HELLO,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP,BABY HELLO,https://open.spotify.com/album/5KDgQ8sKzlThX02A5urLj0,"Rauw Alejandro, Bizarrap","https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq, https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36",2023-06-23,222461,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,Back In Black,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,2021-09-23,255493,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
BAILAR CONTIGO,https://open.spotify.com/track/4GCDX1A3tNGauj5FJfQfvy,ELEVATION,https://open.spotify.com/album/1mXYeysTByG8rC6YCFNwpn,"Black Eyed Peas, Daddy Yankee","https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS, https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m",2022-11-21,223352,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Bam Bam (feat. Ed Sheeran),https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a,Familia,https://open.spotify.com/album/4urxMitPAkjyey14LeuWSX,"Camila Cabello, Ed Sheeran","https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF, https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V",2022-12-29,206070,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Beat It,https://open.spotify.com/track/1OOtq8tRnDM8kG2gqUPjAj,Thriller 25 Super Deluxe Edition,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,2021-09-23,258040,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Beautiful Soul,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,https://open.spotify.com/album/2gidE8vgVOkYufANjuvj3S,Jesse McCartney,https://open.spotify.com/artist/2Hjj68yyUPiC0HKEOigcEp,2021-09-23,214226,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Beggin',https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,Chosen,https://open.spotify.com/album/2qJw6w5XwQO0PQlSWPu7Tw,Måneskin,https://open.spotify.com/artist/0lAWpj5szCSwM4rUMHYmrr,2022-12-29,211560,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
BESTIES,https://open.spotify.com/track/7eTv2OTr3aY5iKtFdBusoA,MAÑANA SERÁ BONITO,https://open.spotify.com/album/4kS7bSuU0Jm9LYMosFU2x5,KAROL G,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,2023-02-24,162146,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
"Bills, Bills, Bills",https://open.spotify.com/track/1Oi2zpmL81Q0yScF1zxaC0,The Writing's On The Wall,https://open.spotify.com/album/283NWqNsCA9GwVHrJk59CG,Destiny's Child,https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i,2021-09-23,256026,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
BIZCOCHITO,https://open.spotify.com/track/4kXxEhuatrvwrTQycA7s9B,MOTOMAMI,https://open.spotify.com/album/6jbtHi5R0jMXoliU2OS0lo,ROSALÍA,https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1,2022-09-30,109120,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Boulevard of Broken Dreams,https://open.spotify.com/track/5GorCbAP4aL0EJ16frG2hd,Greatest Hits: God's Favorite Band,https://open.spotify.com/album/3id4t9IqRoB1f1smOERtrY,Green Day,https://open.spotify.com/artist/7oPftvlwr6VrsViSDV7fJY,2022-09-30,262333,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Breakeven,https://open.spotify.com/track/38xWaVFKaxZlMFvzNff2aW,The Script,https://open.spotify.com/album/51Hn2Wiq1jmUfI0BLaUhuF,The Script,https://open.spotify.com/artist/3AQRLZ9PuTAozP28Skbq8V,2021-09-23,261426,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Brother,https://open.spotify.com/track/3M23T72K5eqHI2GzdFMMHE,Brother,https://open.spotify.com/album/5aw4wm2nZtKrilz0CcTeD8,Anuel AA,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,2022-09-30,209578,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
CAIRO,https://open.spotify.com/track/6WbAhuwE6fCOriBu5786X1,CAIRO,https://open.spotify.com/album/1yzsYuo0fqKWvYimSWL5RA,"KAROL G, Ovy On The Drums","https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla, https://open.spotify.com/artist/3m5qlPf2OkihLz3dRYnkPA",2022-11-21,201280,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Call Me Maybe,https://open.spotify.com/track/3TGRqZ0a2l1LRblBkJoaDx,Kiss (Deluxe),https://open.spotify.com/album/29blfJv8AddJrjuG3DpE13,Carly Rae Jepsen,https://open.spotify.com/artist/6sFIWsNpZYqfjUpaCgueju,2021-09-23,193400,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Calm Down (with Selena Gomez),https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),https://open.spotify.com/album/2b2GHWESCWEuHiCZ2Skedp,"Rema, Selena Gomez","https://open.spotify.com/artist/46pWGuE3dSwY3bMMXGBvVS, https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx",2023-04-07,239317,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Can't Hold Us (feat. Ray Dalton),https://open.spotify.com/track/22skzmqfdWrjJylampe0kt,The Heist,https://open.spotify.com/album/5QWHes9ODwn42DHTifGkXd,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","https://open.spotify.com/artist/5BcAKTbp20cv7tC5VqPFoC, https://open.spotify.com/artist/3JhNCzhSMTxs9WLGJJxWOY, https://open.spotify.com/artist/4myTppRgh0rojLxx8RycOp, https://open.spotify.com/artist/4e0nWw2r4BoQSKPQ2zpU13",2022-12-29,258431,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Can't Stop,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,By the Way (Deluxe Edition),https://open.spotify.com/album/6deiaArbeoqp1xPEGdEKp1,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,2021-09-23,269000,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI,TROLLS (Original Motion Picture Soundtrack),https://open.spotify.com/album/65ayND23IInUPHJKsaAqe7,Justin Timberlake,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7,2021-09-23,237546,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Cheerleader (Felix Jaehn Remix) - Radio Edit,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy,Me 4 U,https://open.spotify.com/album/7cVXH4slEYzGjDh498OFyL,"OMI, Felix Jaehn","https://open.spotify.com/artist/5MouCg6ta7zAxsfMEbc1uh, https://open.spotify.com/artist/4bL2B6hmLlMWnUEZnorEtG",2024-03-15,180565,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Clavado en Un Bar,https://open.spotify.com/track/78DVpEWwmJFC25KGz8fJuE,Sueños Líquidos,https://open.spotify.com/album/7ydFJUb1tmZPd6p4xIe10V,Maná,https://open.spotify.com/artist/7okwEbXzyT2VffBmyQBWLz,2022-12-29,310813,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
CONTIGO (with Tiësto),https://open.spotify.com/track/4UkUxO2WlKLc0Q1iEutGGh,CONTIGO (with Tiësto),https://open.spotify.com/album/2mKcYIgv7ItYDQXke3uprl,"KAROL G, Tiësto","https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla, https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z",2024-03-14,192786,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Creep,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,Pablo Honey,https://open.spotify.com/album/3gBVdu4a1MMJVMy6vwPEb8,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,2021-09-23,238640,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
CUFF IT,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS,RENAISSANCE,https://open.spotify.com/album/6FJxoadUE4JNVwWHghBwnb,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2022-12-29,225388,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
DESPECHÁ,https://open.spotify.com/track/53tfEupEzQRtVFOeZvk7xq,MOTOMAMI +,https://open.spotify.com/album/3zbiiu3JTibw0esC7eoMXr,ROSALÍA,https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1,2022-12-29,156787,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Dientes,https://open.spotify.com/track/4vAMy0dxoyoIHGuIgKqcwm,Dientes,https://open.spotify.com/album/6GkydlRWHz1bNVuVV9cD9O,"J Balvin, USHER, DJ Khaled","https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5, https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj, https://open.spotify.com/artist/0QHgL1lAIqAw0HtD7YldmP",2023-09-15,166426,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Dile,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G,The Last Don,https://open.spotify.com/album/4vOvr0tdZWoIGjnHe9jLqz,Don Omar,https://open.spotify.com/artist/33ScadVnbm2X8kkUqOkC6Z,2021-09-23,204600,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Don't Go Yet,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad,Don't Go Yet,https://open.spotify.com/album/4gxhWdfO9qAogokjIc2bPZ,Camila Cabello,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF,2021-09-23,164842,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Don't Stop 'Til You Get Enough,https://open.spotify.com/track/46eu3SBuFCXWsPT39Yg3tJ,Off the Wall,https://open.spotify.com/album/2ZytN2cY4Zjrr9ukb2rqTP,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,2022-12-29,365466,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Don't Stop Believin',https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg,The Essential Journey,https://open.spotify.com/album/5pfpXvoJtSIFrbPIoBEv3R,Journey,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,2021-09-23,248906,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Don't Stop Me Now - Remastered 2011,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,Jazz (2011 Remaster),https://open.spotify.com/album/2yuTRGIackbcReLUXOYBqU,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2024-03-15,209413,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Don't Stop Me Now - Remastered 2011,https://open.spotify.com/track/7hQJA50XrCWABAu5v6QZ4i,Jazz (Deluxe Remastered Version),https://open.spotify.com/album/21HMAUrbbYSj9NiPPlGumy,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2024-02-02,209413,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Dream On,https://open.spotify.com/track/5MxNLUsfh7uzROypsoO5qe,Aerosmith,https://open.spotify.com/album/19lEZSnCCbVEkKchoPQWDZ,Aerosmith,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH,2021-09-23,266960,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Dream On,https://open.spotify.com/track/1xsYj84j7hUDDnTTerGWlH,Aerosmith,https://open.spotify.com/album/1RDVdxPUaqC4o7Rkm8LoOE,Aerosmith,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH,2022-12-29,267596,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Déjala Que Vuelva (feat. Manuel Turizo),https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,Ubuntu,https://open.spotify.com/album/0sGGdQF7f03jwgaD9qhtUQ,"Piso 21, Manuel Turizo","https://open.spotify.com/artist/4bw2Am3p9ji3mYsXNXtQcd, https://open.spotify.com/artist/0tmwSHipWxN12fsoLcFU3B",2022-12-29,220116,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Energía Bacana,https://open.spotify.com/track/72O5JOfMVbbJVYD9DOCWMi,Energía Bacana,https://open.spotify.com/album/2brG72G6JbbYbVM0lxuFTq,Sebastian Yatra,https://open.spotify.com/artist/07YUOmWljBTXwIseAUd9TW,2023-11-03,147720,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Esta Vida,https://open.spotify.com/track/5OSGdSxtulzlzdPdK2MQJC,Esta Vida,https://open.spotify.com/album/5C82uAeAwABjDB7lsLL9iL,"Marshmello, Farruko","https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T, https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO",2023-04-21,209135,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Eye of the Tiger,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2,Rocky IV,https://open.spotify.com/album/3t3BbpFJiGcXl4jI5CRLLA,Survivor,https://open.spotify.com/artist/26bcq2nyj5GB7uRr558iQg,2022-09-30,245640,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Fantasy,https://open.spotify.com/track/6xkryXuiZU360Lngd4sx13,Daydream,https://open.spotify.com/album/1ibYM4abQtSVQFQWvDSo4J,Mariah Carey,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ,2022-12-29,243493,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
Feel It Still,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,Woodstock,https://open.spotify.com/album/4VzzEviJGYUtAeSsJlI9QB,Portugal. The Man,https://open.spotify.com/artist/4kI8Ie27vjvonwaB2ePh8T,2022-09-30,163253,2021-12-30,No procrastination allowed. Only fun songs to help you get chores done.,Get Chores Done
