track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'Til You Can't,https://open.spotify.com/track/4k3lPl8YTKuY8c1HelVnm3,Human The Double Album,https://open.spotify.com/album/3og8X1LYiVq3nPdMxpM9Wb,Cody Johnson,https://open.spotify.com/artist/6zLBxLdl60ekBLpawtT63I,2023-02-02,224213,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
...Ready For It?,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,reputation,https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-09-25,208186,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
"1, 2 Many",https://open.spotify.com/track/226le7T3p82reYWzsi9Hsz,What You See Is What You Get,https://open.spotify.com/album/0S9D5NIDp2YXhYwlvuJzqx,"Luke Combs, Brooks & Dunn","https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS, https://open.spotify.com/artist/0XKOBt59crntr7HQXXO8Yz",2024-07-05,180906,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
23,https://open.spotify.com/track/4PuAqZlL1tkidkuxfDlLbF,23,https://open.spotify.com/album/3i5LIueVgxjgCu1TIZOraP,Sam Hunt,https://open.spotify.com/artist/2kucQ9jQwuD8jWdtR9Ef38,2022-02-04,179720,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
35’s,https://open.spotify.com/track/4B0nJLbPzVxWt7o99SiGrO,35's,https://open.spotify.com/album/0aQPvZHQLSNQhDhYvfnw0a,Tyler Hubbard,https://open.spotify.com/artist/3BEV5FcxOtkQJ7lLRKMh3V,2022-08-04,174721,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
A Bar Song (Tipsy),https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),https://open.spotify.com/album/6egBeCLeGITzGSo5VyRjwZ,Shaboozey,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,2024-07-05,171291,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Alabama Girl,https://open.spotify.com/track/3E6aByM6cm4BDIItxqFA3K,Alabama Girl,https://open.spotify.com/album/7cEOxGPOJ9eUCwcroRhLip,Jordan Harvey,https://open.spotify.com/artist/5WKa7xY2Y4Lko2cQjkj1iW,2022-09-23,172961,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
All My Favorite People (feat. Brothers Osborne),https://open.spotify.com/track/0tEPv5fuzMhtm6NM5GvQiF,GIRL,https://open.spotify.com/album/3XpxioqzCTiqOSuHTXuaGf,"Maren Morris, Brothers Osborne","https://open.spotify.com/artist/6WY7D3jk8zTrHtmkqqo5GI, https://open.spotify.com/artist/39NR3AUhpbbqKM33vWn2fp",2022-02-04,199786,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
All Of The Lights,https://open.spotify.com/track/22L7bfCiAkJo5xGSQgmiIO,My Beautiful Dark Twisted Fantasy,https://open.spotify.com/album/20r762YmB5HeofjMCiPMLv,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2023-09-25,299613,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
All Star,https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK,Astro Lounge,https://open.spotify.com/album/2kyTLcEZe6nc1s6ve0zW9P,Smash Mouth,https://open.spotify.com/artist/2iEvnFsWxR0Syqu2JNopAd,2023-09-25,200373,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
All Summer Long,https://open.spotify.com/track/5rX6C5QVvvZB7XckETNych,Rock n Roll Jesus,https://open.spotify.com/album/2xChdOg0PvxzHzE1BooUpI,Kid Rock,https://open.spotify.com/artist/7dOBabd5O4CvKrg4iriHTM,2024-02-08,297586,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
All The Small Things,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,Enema Of The State,https://open.spotify.com/album/652N05EcNH1a4bIlUixQE2,blink-182,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,2023-09-25,167066,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Alright,https://open.spotify.com/track/5JlH51YDYsGj2dyEJKKjcN,Learn To Live,https://open.spotify.com/album/4HJ13QK0o292BbCtqww9BK,Darius Rucker,https://open.spotify.com/artist/7FY5V3XMwlNBPitEjXowHQ,2021-07-29,231920,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
American Kids,https://open.spotify.com/track/1dgWTMoHwTUnQhOQ8SR5fV,The Big Revival,https://open.spotify.com/album/2R5PAxygJ4YeRuSwoalKam,Kenny Chesney,https://open.spotify.com/artist/3grHWM9bx2E9vwJCdlRv9O,2021-07-29,182960,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Any Man Of Mine,https://open.spotify.com/track/0pdfN7nOHMYmKykzu1cyfm,The Woman In Me,https://open.spotify.com/album/3wDeIA9tJU0uNlsroUdcYK,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,2021-07-29,246760,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Any Way You Want It,https://open.spotify.com/track/71SvEDmsOwIWw1IozsZoMA,Departure,https://open.spotify.com/album/2OyVtIEp7O7a6o82DF4Ba5,Journey,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,2024-02-08,201693,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Apple,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,BRAT,https://open.spotify.com/album/2lIZef4lzdvZkiiCzvPKj7,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,2024-08-19,151739,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
As Good As I Once Was,https://open.spotify.com/track/7G6l2FtQyRhQgYgut2I6i8,Honkytonk University,https://open.spotify.com/album/4SOpJPkpAO8FT9n4sbmnoT,Toby Keith,https://open.spotify.com/artist/2bA6fzP0lMAQ4kz6CF61w8,2021-07-29,227840,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Austin (Boots Stop Workin'),https://open.spotify.com/track/2uqYupMHANxnwgeiXTZXzd,What Happens Now?,https://open.spotify.com/album/40HsqPqeSR9Xe3IyAJWr6e,Dasha,https://open.spotify.com/artist/7Ez6lTtSMjMf2YSYpukP1I,2024-07-05,171782,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Aw Naw,https://open.spotify.com/track/53Dj5PCDhb22qWqmre3YQs,A.M.,https://open.spotify.com/album/3cyLH6iUGPjEsZIUFnJfd3,Chris Young,https://open.spotify.com/artist/4BYxqVkZyFjtik7crYLg5Q,2021-07-29,188706,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Baba O'Riley,https://open.spotify.com/track/3qiyyUfYe7CRYLucrPmulD,Who's Next (Deluxe Edition),https://open.spotify.com/album/5MqyhhHbT13zsloD3uHhlQ,The Who,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,2023-09-25,300400,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Back In Black,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,Back In Black,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,2023-09-25,255493,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
"Back Then, Right Now",https://open.spotify.com/track/1AIlY4mVcOY34SNA4CTVbC,"Back Then, Right Now",https://open.spotify.com/album/2u0a18UWbvHn1shNtkNbJD,Tenille Arts,https://open.spotify.com/artist/0gSAxSvAApQc71cTpoXDFu,2021-07-29,182066,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Bad Blood,https://open.spotify.com/track/273dCMFseLcVsoSWx59IoE,1989,https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-09-25,211933,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Barefoot Blue Jean Night,https://open.spotify.com/track/3ts6xK5GzfMAAriT9AIBmP,Barefoot Blue Jean Night,https://open.spotify.com/album/4GeJssW5iLOSLOIXhLfOUJ,Jake Owen,https://open.spotify.com/artist/1n2pb9Tsfe4SwAjmUac6YT,2021-07-29,167426,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Beast Of Burden - Remastered 1994,https://open.spotify.com/track/77oU2rjC5XbjQfNe3bD6so,Some Girls,https://open.spotify.com/album/1Jv2AqzhgsduUik2p4k3cS,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,2023-10-06,265173,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Beautiful Things,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,Fireworks & Rollerblades,https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm,Benson Boone,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET,2024-08-19,180304,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Beer Can’t Fix,https://open.spotify.com/track/7idmHTAQQPUFqdjXkoooXD,Center Point Road,https://open.spotify.com/album/5gnWhEFNbtCn0RLG2cp90g,"Thomas Rhett, Jon Pardi","https://open.spotify.com/artist/6x2LnllRG5uGarZMsD4iO8, https://open.spotify.com/artist/4MoAOfV4ROWofLG3a3hhBN",2021-07-29,209733,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Beer Never Broke My Heart,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx,What You See Is What You Get,https://open.spotify.com/album/0S9D5NIDp2YXhYwlvuJzqx,Luke Combs,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,2022-02-04,186733,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Beer With My Friends (feat. Cole Swindell and David Lee Murphy),https://open.spotify.com/track/5YsPrfAtcCzMIc4BHTsxP5,Beer With My Friends (feat. Cole Swindell and David Lee Murphy),https://open.spotify.com/album/5YGntXPD5Z5QsZGC1BHLxy,"Shy Carter, Cole Swindell, David Lee Murphy","https://open.spotify.com/artist/7JZafQsN8syJ9agEtcyP4V, https://open.spotify.com/artist/1mfDfLsMxYcOOZkzBxvSVW, https://open.spotify.com/artist/78OAtwN3XpjMcjibnF2Kw5",2021-07-29,176533,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Beers And Sunshine,https://open.spotify.com/track/36ISlLb12gKuCCVTYXC0gb,Beers And Sunshine,https://open.spotify.com/album/1GZyb1fAcVAdxeZK16ozLR,Darius Rucker,https://open.spotify.com/artist/7FY5V3XMwlNBPitEjXowHQ,2023-02-02,178278,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Beers On Me,https://open.spotify.com/track/19ZzEzb4BVK1wVO4brrmZz,Beers On Me,https://open.spotify.com/album/5MCXOrCsU3R1xQ3kLI4oXM,"Dierks Bentley, BRELAND, HARDY","https://open.spotify.com/artist/7x8nK0m0cP2ksQf0mjWdPS, https://open.spotify.com/artist/0C86lmpnwiyLDUiyo4d0P1, https://open.spotify.com/artist/5QNm7E7RU2m64l6Gliu8Oy",2021-11-23,174680,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Before He Cheats,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,Some Hearts,https://open.spotify.com/album/0kys2jaKAiDPfNBd4z7LAg,Carrie Underwood,https://open.spotify.com/artist/4xFUf1FHVy696Q1JQZMTRj,2021-10-15,199946,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Best Shot,https://open.spotify.com/track/2ZYbPXhx4OCmdTsMThbSEW,Jimmie Allen,https://open.spotify.com/album/6reztlkm13gUTEEDvbeneP,Jimmie Allen,https://open.spotify.com/artist/147nKr9upHZSSxqCzh9j7c,2021-07-29,195053,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
Best Thing Since Backroads,https://open.spotify.com/track/0R1REdJZIDy7IS3DybdBce,Best Thing Since Backroads,https://open.spotify.com/album/0V5GJsZdw3zXfrz2oKUhue,Jake Owen,https://open.spotify.com/artist/1n2pb9Tsfe4SwAjmUac6YT,2021-11-23,187432,2021-12-21,Game day is our favorite day of the week.,Tailgate Party
