track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
200 Copas,https://open.spotify.com/track/0HgkRcmGDiza3KTjM3Ifnu,200 Copas,https://open.spotify.com/album/7FIilN5RFkvF8Uwtv87N52,"Q' Lokura, Banda Mix","https://open.spotify.com/artist/7dlkBH23ERFXxuNoMHq94Y, https://open.spotify.com/artist/6D5yvbvtW8ogLKkNWFsDDv",2023-12-15,237738,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Adicto A Ti,https://open.spotify.com/track/53p8lIxLmoCoBINK0zuQ4G,A Pura Sangre,https://open.spotify.com/album/6F1Z5d0Hha07l3sfj2PrYh,Walter Olmos,https://open.spotify.com/artist/68mkWeq03e98dvIEI0jr0N,2024-06-14,234933,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Adiós Amor,https://open.spotify.com/track/0QWVUw5wIoqVEu94F8dquj,Adiós Amor,https://open.spotify.com/album/6vGU2CXxFbL36Qhx0f8qWs,"La Delio Valdez, Ke Personajes","https://open.spotify.com/artist/3tzacGOmngxUV8W8lU9h3Q, https://open.spotify.com/artist/06Q5VlSAku57lFzyME3HrM",2024-01-12,259910,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Adiós Amor,https://open.spotify.com/track/367069JY6QWPaCJM21OVBC,Adiós Amor,https://open.spotify.com/album/14am71BKAcj6UvGOIXoo6e,"La Delio Valdez, Ke Personajes","https://open.spotify.com/artist/3tzacGOmngxUV8W8lU9h3Q, https://open.spotify.com/artist/06Q5VlSAku57lFzyME3HrM",2023-12-15,259910,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Ahi Ahi,https://open.spotify.com/track/5O9IqFNUVtjRlDpdKex3YH,Ahi Ahi,https://open.spotify.com/album/10b8qKyITW4qsKqatPr8q3,El negro tecla,https://open.spotify.com/artist/6M6pyt8k3EjvbFo1pZFS75,2023-12-15,176796,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Ahora Que No Te Tengo,https://open.spotify.com/track/59FrYnRQIPpCtnJ7LOxx49,Ahora Que No Te Tengo,https://open.spotify.com/album/62AI6DFXsSSVWV5l0ZBOVl,"Chanel, FMK","https://open.spotify.com/artist/5DeX42pr2TilrnsUgjG8D1, https://open.spotify.com/artist/0dUyjgCyjfj5eMx6bX2TWf",2024-01-12,155843,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
BM | DJ TAO Turreo Sessions #17,https://open.spotify.com/track/0zIA89ERtLoWZF8zMYgWoL,BM | DJ TAO Turreo Sessions #17,https://open.spotify.com/album/7IRENolKvEF0bCjNp6TTrZ,"DJ Tao, BM","https://open.spotify.com/artist/5CA5IqbsFr4hpNLdjgO0BU, https://open.spotify.com/artist/43bRAoXHmsKR7rt92ciFU3",2023-12-15,176144,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Carita de Inocente (feat. Myke Towers) - Remix,https://open.spotify.com/track/5kQre7o8ky5DXeEPcyaCR1,Carita de Inocente (feat. Myke Towers) [Remix],https://open.spotify.com/album/54m2Pe3Khdiarwv2PCS8DY,"Prince Royce, Myke Towers","https://open.spotify.com/artist/3MHaV05u0io8fQbZ2XPtlC, https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W",2023-12-15,192698,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Carta Al Corazón,https://open.spotify.com/track/32Fd3j4mqUBJ3w2LGMTmNK,Lo Mejor del León,https://open.spotify.com/album/2whwckDILym1HJqJAH971i,Leo Mattioli,https://open.spotify.com/artist/2Mu8h5sFkOziL0Rfn7FXIA,2023-12-15,68560,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
COMO YO TE QUIERO (DELUXE),https://open.spotify.com/track/0scExGzOWnDaq2ExI3HRQx,SEROTONINA (DELUXE),https://open.spotify.com/album/77PfUu2wLVGjkkJ6uxL8vY,"KHEA, Ana Mena","https://open.spotify.com/artist/4m6ubhNsdwF4psNf3R8kwR, https://open.spotify.com/artist/6k8mwkKJKKjBILo7ypBspl",2024-01-12,211127,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Con la Misma Moneda,https://open.spotify.com/track/6HIZ8QjtS1jGxAfTEYFyi4,Con la Misma Moneda,https://open.spotify.com/album/0uHMJhys3A6ZexbwOQj0Hc,Karina,https://open.spotify.com/artist/1QZuAtDYNrk2QMogJulsyq,2023-12-15,266760,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Con Él No Soportas,https://open.spotify.com/track/0qgR6e8ot4sJ9RTIyKg3d8,Un Homenaje al Cielo,https://open.spotify.com/album/1ZlJYrZ68YhJevmEAaQBdL,Leo Mattioli,https://open.spotify.com/artist/2Mu8h5sFkOziL0Rfn7FXIA,2024-03-08,240720,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Confiesalo,https://open.spotify.com/track/0hELSYmn4kNUmZXoWvhaR2,Confiesalo,https://open.spotify.com/album/4bLYAYzf1bXE1fxGGnuDfe,"Jackita, Henry El Mismo y La Fusion","https://open.spotify.com/artist/4QPzOa9mWjgUVvy9ObVGo8, https://open.spotify.com/artist/3zMSUpRuMgms8SBD2ujk8p",2024-01-12,171625,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Corazon Mentiroso,https://open.spotify.com/track/2ZkWTFZ9rQCl6ccNAOO79L,Sin Vergüenza,https://open.spotify.com/album/2WuEroV8xhS8VXN8xjArIT,Karina,https://open.spotify.com/artist/1QZuAtDYNrk2QMogJulsyq,2023-12-15,179213,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
CORAZÓN,https://open.spotify.com/track/1m5iV4hdnPVkiExSQe8iQS,CORAZÓN,https://open.spotify.com/album/4kz1PW7KXNYyfWXVzKntNP,"BM, Flor Alvarez, Alan Gomez","https://open.spotify.com/artist/5TP8Ubo4jLKEi4Mw2O8fAk, https://open.spotify.com/artist/3R8XhCi6bUcoR1CJx2XASa, https://open.spotify.com/artist/6oMRQ5H3A2XA5I3RG3leni",2024-02-16,171818,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Costumbres - Vivo,https://open.spotify.com/track/6HT88WDVwEJiHEbPuQ5XcB,Costumbres (Vivo),https://open.spotify.com/album/5bF1CFdbRtYvsCbVro137h,"Damas Gratis, Ke Personajes","https://open.spotify.com/artist/3YeBTR1Q1rUxKguz4jP6UV, https://open.spotify.com/artist/06Q5VlSAku57lFzyME3HrM",2023-12-15,133077,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Cuando Me Enamoro,https://open.spotify.com/track/03wQrSM0nV1WyPIgWvapG4,Éxitos de Oro,https://open.spotify.com/album/7xE1A1dVBXNaFG3mK8hOHK,Banda XXI,https://open.spotify.com/artist/4She1focTkX0pwpJUtS5eo,2023-12-15,174869,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Dejémoslo Así,https://open.spotify.com/track/5tjst7DmSA9UXWncROr3oc,Solo un Momento,https://open.spotify.com/album/3bVeCAJzTzkQIDRnjosSUG,Dalila,https://open.spotify.com/artist/3ruk44IzmsPppwo7VOknwZ,2024-03-08,204669,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
El Amor De Mi Vida,https://open.spotify.com/track/04sktg3deiYUweHfbFUZTM,El Amor De Mi Vida,https://open.spotify.com/album/2RPuxZNaziqNHjbUgoE8iW,"Los Ángeles Azules, Maria Becerra","https://open.spotify.com/artist/0ZCO8oVkMj897cKgFH7fRW, https://open.spotify.com/artist/1DxLCyH42yaHKGK3cl5bvG",2023-12-15,184586,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
El Embrujo,https://open.spotify.com/track/34ayIgjQsK3f7fJis67UWg,Sin Fronteras,https://open.spotify.com/album/0yt2s1DPWP8Zm0OtnqJuAB,Los Palmeras,https://open.spotify.com/artist/2Htm0q72SjGSmsy8EOIhRG,2023-12-15,236973,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
El humo de mi fasito,https://open.spotify.com/track/0afBIRqOPTLPNHzRMPLEf0,100% Negro Cumbiero,https://open.spotify.com/album/1sbZFQTIJl41nnRvXYI4gf,Damas Gratis,https://open.spotify.com/artist/3YeBTR1Q1rUxKguz4jP6UV,2023-12-15,212253,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
El Mismo Aire,https://open.spotify.com/track/5Y0hkLkzdrTuPGWYLvm6oO,El Mismo Aire,https://open.spotify.com/album/58jn8fMK2cWTJUuVLjLJdY,La K'onga,https://open.spotify.com/artist/3ghRXw2nUEH2THaL82hw8R,2023-12-15,209414,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
El Perdedor,https://open.spotify.com/track/27ze5t5tIDPlVits0KRbxT,K.O.B. Live,https://open.spotify.com/album/03Sa02WIHEwH8lHfbipmrz,Aventura,https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi,2023-12-15,215213,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Entre Beso y Beso,https://open.spotify.com/track/6abr2lKyMZTy21gSPWm7aG,Entre Beso y Beso,https://open.spotify.com/album/1tTfu4nQ2JUavleM8xoq5a,Ke Personajes,https://open.spotify.com/artist/06Q5VlSAku57lFzyME3HrM,2023-12-15,153488,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Eres,https://open.spotify.com/track/3Bak7CHM2RlfkuhCSDfoAj,Amor pirata,https://open.spotify.com/album/2dvXPiV2OhaRqCs0BQfZe5,Grupo uno,https://open.spotify.com/artist/7HoVqjRfwcumgHQiKd84jA,2023-12-15,196360,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Frágil,https://open.spotify.com/track/1j3hgXfIOJ5WrNiNiXs4uw,Frágil,https://open.spotify.com/album/6xwX7AvhBv0yhUOyHAsbEZ,"Q' Lokura, Valentina","https://open.spotify.com/artist/7dlkBH23ERFXxuNoMHq94Y, https://open.spotify.com/artist/3oGhssL7pwYYY0J64HJHNR",2023-12-15,173949,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
"Frío, Frío - En Vivo Estadio Olímpico De República Dominicana/2012",https://open.spotify.com/track/2j5dy9SzXdQ71Y2jgtiFAJ,"Frío, Frío (En Vivo Estadio Olímpico De República Dominicana)",https://open.spotify.com/album/1ZWyjI1yAFQGQqsQxxFb9S,"Juan Luis Guerra 4.40, Romeo Santos","https://open.spotify.com/artist/3nlpTZci9O5W8RsNoNH559, https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP",2023-12-15,235880,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
Intento,https://open.spotify.com/track/4jycbkcVlL5P7W2zGYcau0,Soy,https://open.spotify.com/album/3GmKxxyzxNaBJlhmDm64Ac,Ulises Bueno,https://open.spotify.com/artist/2UqRkW2wfEkZmyvKyTTv2W,2023-12-15,233560,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
La Bachata,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ,2000,https://open.spotify.com/album/7ubO2LZJZFpyhiWMZkRwcH,Manuel Turizo,https://open.spotify.com/artist/0tmwSHipWxN12fsoLcFU3B,2023-12-15,162637,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
LA CAPI,https://open.spotify.com/track/68OXeY9CUQebrOAAh3b3Jw,LVEU: VIVE LA TUYA...NO LA MIA,https://open.spotify.com/album/1ZVJTCW5rxpHKNgsNL91J2,Myke Towers,https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W,2023-12-15,202360,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
La Morocha,https://open.spotify.com/track/7aPsseax6rNFyipHn9A5CR,La Morocha,https://open.spotify.com/album/1cNasYwHwTr9U5QFNNXd61,"Luck Ra, BM","https://open.spotify.com/artist/4kcQWQDK0u9AftVSpdrAgk, https://open.spotify.com/artist/5TP8Ubo4jLKEi4Mw2O8fAk",2023-12-15,134144,2023-12-22,💃🏽🕺🏼🪇🎺🪘,Full Tropical
