track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
12 Rifles,https://open.spotify.com/track/6bKPmj3k2zoTzoEOiFnmM0,12 Rifles,https://open.spotify.com/album/1KqUq2OTqTIlxAdXhz0Ypn,Junior H,https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is,2022-06-01,173500,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
A Cuánto Me Quedé,https://open.spotify.com/track/4HgB85fVdWG83EZOHj5paV,Historias de Mi Vida,https://open.spotify.com/album/6rXIKiwGq6YDhNyEUnlabe,Giovanny Ayala,https://open.spotify.com/artist/0OmIOUU8SceGFVrqrEm70j,2022-05-13,201857,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
A La Inversa,https://open.spotify.com/track/3ZfCRzL47DhOYyFfDThd9j,A La Inversa,https://open.spotify.com/album/4iWRJOClu9BdSjuea9K3o8,Banda El Recodo,https://open.spotify.com/artist/6AcOTCYBMvjKYy4zms0kaC,2022-06-01,210373,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
A Través Del Vaso,https://open.spotify.com/track/1uqjLVaSyTkdDvfGAmXrHo,A Través Del Vaso,https://open.spotify.com/album/27hMg5MlBaww37hBPzS0ot,Banda Los Sebastianes,https://open.spotify.com/artist/0HgICyWHmS6rnl8xWEd0x6,2022-05-13,180120,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Abeja Reina,https://open.spotify.com/track/4tiEfGlJaonFDtSTCvesoj,Abeja Reina,https://open.spotify.com/album/1iwNDBPZyNFQ04gl7GcmXQ,Chiquis,https://open.spotify.com/artist/5QcHBpoxrY7vx3ulMKEvTS,2022-05-13,157760,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Ahora Es Cuando,https://open.spotify.com/track/6AKjFAosZ2uAv5jbeb1Zkt,Ahora Es Cuando,https://open.spotify.com/album/4A8KI3vFDbftYWWsLk2Ue9,"Marco Flores Y La Jerez, Grupo Legitimo","https://open.spotify.com/artist/3cseuYmozraz4XJn6nDo80, https://open.spotify.com/artist/1ovPxptMcDubQ0CgYsS5hm",2022-05-13,157773,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Al Final De Nuestra Historia,https://open.spotify.com/track/6orluAPC6hUu3BVZVuZjOu,Y Que Quede Claro,https://open.spotify.com/album/4ktSTdeZtFaDRy7HzslcAU,La Arrolladora Banda El Limón De Rene Camacho,https://open.spotify.com/artist/5bSfBBCxY8QAk4Pifveisz,2022-06-01,197306,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Alguien Especial,https://open.spotify.com/track/3ShSLjKXqPNN45t7ZVYMvR,Alguien Especial,https://open.spotify.com/album/7u9qwe8kNEv8veEUuzm6iV,Joss Favela,https://open.spotify.com/artist/0EocQPg9ycs21gcvaVm9hh,2022-05-13,220804,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Altamente Probable,https://open.spotify.com/track/2l4vLM7tnFJ5Yf84dr0qvG,El Trabajo Es La Suerte,https://open.spotify.com/album/4j7afzzctfV0UPUrJKWCQk,Banda MS de Sergio Lizárraga,https://open.spotify.com/artist/2C6i0I5RiGzDKN9IAF8reh,2022-05-13,180480,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Amigos ¿De Quién?,https://open.spotify.com/track/472RYrDoNry11jkmJIWeat,Amigos ¿De Quién?,https://open.spotify.com/album/3RNl5xBdlJA02tSLV3fSeL,Banda MS de Sergio Lizárraga,https://open.spotify.com/artist/2C6i0I5RiGzDKN9IAF8reh,2022-05-13,165428,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
"Andamos Mejor, El H",https://open.spotify.com/track/160CLxcVOkzcb3HziX7367,"Andamos Mejor, El H",https://open.spotify.com/album/21anEEv0KHXbWAOVmRh7Yf,Banda Azpericueta,https://open.spotify.com/artist/34txoVy1sP2Zlq6dsWgePR,2022-06-01,246731,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Apenas Te Fuiste Ayer,https://open.spotify.com/track/6y1W3wLloLSKizcTqetajM,Apenas Te Fuiste Ayer,https://open.spotify.com/album/3LWYudFkYUlydEgsCGZ1n1,La Septima Banda,https://open.spotify.com/artist/610tJqABwgZWaRvtJoJQF0,2022-05-13,129718,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Aqui Se Queda Todo,https://open.spotify.com/track/6mkSaeSfpeUaBQzHum2Trh,Aqui Se Queda Todo,https://open.spotify.com/album/5PYl6ZtzvNnLHO4y2gk9to,Rafael Kelly,https://open.spotify.com/artist/60D1b0MRQPmAL5TSV7e4PY,2022-05-13,131312,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
Brindo,https://open.spotify.com/track/5oqySFPNtOq6jYlQf5ItWE,Brindo,https://open.spotify.com/album/0O3qFMWiXTVzZcSsoaerhJ,"Mario Bautista, Banda El Recodo","https://open.spotify.com/artist/0AspLZGQkP38yddNoD0pLn, https://open.spotify.com/artist/6AcOTCYBMvjKYy4zms0kaC",2022-05-13,182080,2022-05-23,Lo nuevo y lo mejor de la Banda. Portada: Luis Coronel ,Banda Mix
