track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2AM (คุณเคยรักใครมากๆมั้ย?),https://open.spotify.com/track/50D7ptFXhgR9GZ9g7G20SF,2AM (คุณเคยรักใครมากๆมั้ย?),https://open.spotify.com/album/3CDUojnPiIiyslUq2WuTWb,"Saran, BlackHeart, Rifle","https://open.spotify.com/artist/3moR9d0X97NAtZRhHWOta5, https://open.spotify.com/artist/3Ld1g6LjfR2ILDB6SD8aJV, https://open.spotify.com/artist/3Kyev97NB5IuMYwMP1Ea2D",2024-12-16,233142,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
ALICE,https://open.spotify.com/track/4nimbIVI2u2XUD70c1dOBu,ALICE,https://open.spotify.com/album/51qkvedWZpnjihzV2WqrqX,QLER,https://open.spotify.com/artist/1P3bwZsaq5vobeBAmrsAFk,2024-01-26,222000,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
"Because of You, I Shine",https://open.spotify.com/track/4Apva8F7YKYyqwOCGfCnK6,"Because of You, I Shine",https://open.spotify.com/album/6P3OmaQZLb1uJ052ol2424,BUS,https://open.spotify.com/artist/5kU6FKYW7YBB2ikPQnk8cS,2024-01-26,228000,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
BF,https://open.spotify.com/track/25K1tGmiprhsC8LXgOrNjM,BF,https://open.spotify.com/album/7p0YVbItQH3RE6jqZ5ug4u,"PUN, URBOYTJ","https://open.spotify.com/artist/6HEMZkIMQAPnd36iLsUlTx, https://open.spotify.com/artist/1WLKjYJX9YHSlwufclauhg",2024-08-04,216494,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
CURSE (รักใครไม่เป็น),https://open.spotify.com/track/77rZWogLvZ2NOf248oMd6N,CURSE (รักใครไม่เป็น),https://open.spotify.com/album/5gck47MGPzpchPNcTAlfIl,"Z9, 2K, Saran","https://open.spotify.com/artist/4CuVt3p02OaWu4klQuJoDP, https://open.spotify.com/artist/7w08uJNZmg9HTsS6XeHX9E, https://open.spotify.com/artist/3moR9d0X97NAtZRhHWOta5",2025-01-30,253333,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
DAY ONE,https://open.spotify.com/track/7syPkLWA4AjH2jto6FDjEC,DAY ONE,https://open.spotify.com/album/3gZFo8vs8dz9k9Uoc7UUoi,PUN,https://open.spotify.com/artist/6HEMZkIMQAPnd36iLsUlTx,2024-06-08,272700,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
Fall in Love,https://open.spotify.com/track/45dtFcaOs4lBf8gXAAoN8W,Fall in Love,https://open.spotify.com/album/2GuhTPysxjc8C0wkMJKPCX,ARMOR,https://open.spotify.com/artist/5mgTHOrzHxFvdg8AgUsGuD,2024-01-26,199145,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
Golden Hour,https://open.spotify.com/track/72Jc8BV2cEQAOuVoHVTJy3,Golden Hour,https://open.spotify.com/album/4QTIX97bM4K457krl2S4eB,Billkin,https://open.spotify.com/artist/2a727ekkPaUHk0bMifk7fj,2024-10-10,224565,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
Goodbye,https://open.spotify.com/track/2kpVbauiG7Tcue6kZPKYNG,Goodbye,https://open.spotify.com/album/4yOyrokpt9SeI9icULlYCB,PUN,https://open.spotify.com/artist/6HEMZkIMQAPnd36iLsUlTx,2024-01-30,244865,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
HIT ME UP,https://open.spotify.com/track/5WsRYZQa2VvJjWEfxipXKi,HIT ME UP,https://open.spotify.com/album/2wJK5ag7IToSskrBMdsgks,Timethai,https://open.spotify.com/artist/2VV4AGhL9jU2GuW9CIOpj2,2024-03-07,201000,2024-01-30,เพลงไทยฮิตล่าสุด ฟังได้ที่นี่เลย! ศิลปิน: LITTLE JOHN,ฉันฟังเพลงไทย
