track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'Deed I Do,https://open.spotify.com/track/2dLM74n8z8UgW9NQhSbhm1,Blossom Dearie (Expanded Edition),https://open.spotify.com/album/6Qmn8cqmmJIjuwjXiUF4n6,Blossom Dearie,https://open.spotify.com/artist/5bWApG9Vdshhd1J50UnNf6,2022-10-27,133666,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
'Long As You Know You're Living Yours,https://open.spotify.com/track/5z7deaTe21B7QVPhSDouL1,Belonging,https://open.spotify.com/album/6dmq2NJgWAvrzRVrpPwkzv,"Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen","https://open.spotify.com/artist/0F3Aew9DSd6fb6192K1K0Y, https://open.spotify.com/artist/7MEyCD4G0Zl6kmikEAZsym, https://open.spotify.com/artist/7CyW7K2UrpjUNLVV698wvJ, https://open.spotify.com/artist/5Li0fvh4kEJOWbLYWfNrPr",2022-10-27,370866,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
'Round Midnight,https://open.spotify.com/track/1wl5b2lw3YagQtZiYZbQWP,"Genius Of Modern Music (Vol.1, Expanded Edition)",https://open.spotify.com/album/6DRjwkPa8kT9vifu7tH3PL,Thelonious Monk,https://open.spotify.com/artist/4PDpGtF16XpqvXxsrFwQnN,2022-10-27,193840,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
'Round Midnight,https://open.spotify.com/track/5M3K9hIHwyHYWxR2GTpXEd,The Wes Montgomery Trio (Expanded Edition),https://open.spotify.com/album/1lzXKC7YtD8taNdv84K54L,Wes Montgomery Trio,https://open.spotify.com/artist/6WbUlW1uuChmQumXueDmgp,2022-10-27,293626,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",https://open.spotify.com/track/5vb7At47uO0yPGfmYnAHuw,'Round About Midnight,https://open.spotify.com/album/4VUawqEDCHHfrUe77ScQ2K,"Miles Davis, John Coltrane, Red Garland, Paul Chambers, Philly Joe Jones","https://open.spotify.com/artist/0kbYTNQb4Pb1rPbbaF0pT4, https://open.spotify.com/artist/2hGh5VOeeqimQFxqXvfCUf, https://open.spotify.com/artist/35iymrFS4VnsKn35ebHKX9, https://open.spotify.com/artist/0M1UOBJZ9tcKJbrbnVlHZG, https://open.spotify.com/artist/4WhH68K75YKSAwHAqWFpi1",2022-10-27,355333,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
'S Wonderful,https://open.spotify.com/track/3VZwP7d1U7tuQjb9JZrSRF,The Look Of Love,https://open.spotify.com/album/4nmjBh2Td9I9x9JDncrQr3,Diana Krall,https://open.spotify.com/artist/5z1VAFwT35EVvCp1XlZZuL,2023-08-30,268760,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
'Tis Autumn,https://open.spotify.com/track/4Gv9rfzkqUZp3iE3JBTcd6,All Kinds Of Weather,https://open.spotify.com/album/1cq8v5c8Y6KuvPtwPi3aWT,Red Garland Trio,https://open.spotify.com/artist/3XYnsz11kFrkx8F3upvnE5,2022-10-27,547826,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
(Fly Me To The Moon) In Other Words,https://open.spotify.com/track/7uL33kRUt7MoQsB9Q3D91k,Verve Jazz Masters 49: Anita O’Day,https://open.spotify.com/album/0itQh4WL0RBOhLd1ayfWbM,"Anita O'Day, The Three Sounds","https://open.spotify.com/artist/5QGnprJtpZmk3OiDqspPlB, https://open.spotify.com/artist/5wVeG4RM2VXsFwyylF8vXi",2022-10-27,225493,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
(Getting Some) Fun out of Life,https://open.spotify.com/track/1WWVlkmJSdLBSiqF2m8Ex2,Dreamland,https://open.spotify.com/album/4DE9KRgAibQ5ZnmDtuGJNB,Madeleine Peyroux,https://open.spotify.com/artist/7nXyULtoL8k7wP9l6kg8Ef,2022-10-27,192173,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
(It Will Have To Do) Until The Real Thing Comes Along - Remastered,https://open.spotify.com/track/37MsN9jkHraBoRU0rbl64A,A Swingin' Affair,https://open.spotify.com/album/2MDFi0jt8SnjYIFwgtU2Q3,Dexter Gordon,https://open.spotify.com/artist/3NUsiT2JSyaWAnWaXxDzhQ,2022-10-27,409840,2022-12-04,The most popular Jazz tracks in one playlist. Cover: Herbie Hancock,Just Jazz
