track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Party of Lovers,https://open.spotify.com/track/5Yg1aNZyc2CcYkmlmgGBcb,The Poetry of John Keats,https://open.spotify.com/album/4CJJ8mb7rucmWHWMxsOzW1,Ghizela Rowe,https://open.spotify.com/artist/7CqQscIWxpvzFNI3TtaDHJ,2019-02-22,82877,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Andrew Marvell - To His Coy Mistress,https://open.spotify.com/track/7HWHL6Qb1TyVGh6yNwgCIp,The Abbey Poets,https://open.spotify.com/album/415A281SGX6dDdTdxm0Rgm,David Shaw-Parker,https://open.spotify.com/artist/5ySoL6vYTXQwa3UlRROujv,2019-02-22,158452,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Ben Jonson - To Celia,https://open.spotify.com/track/37nUZvQhWqYEUK76M5PsjJ,The Elizabethan Poets,https://open.spotify.com/album/0MzXhUQtYbRQDCbuddmJmf,Nigel Planer,https://open.spotify.com/artist/1Zeao6Q1W0KKhnDwhZR9GN,2019-02-22,50503,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Bright Star,https://open.spotify.com/track/7CpHOPJRBoYOlfmCm4STji,The Poetry of John Keats,https://open.spotify.com/album/4CJJ8mb7rucmWHWMxsOzW1,Alex Jennings,https://open.spotify.com/artist/1OshoSqC5Jvptku49VModj,2019-02-22,63808,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Emily Bronte - How Clear She Shines,https://open.spotify.com/track/5882q4ZYNj0y5tjnlZlv3w,The Poetry of Emily Bronte,https://open.spotify.com/album/47MUAfE2VvkCvXGekPyTDZ,Eve Karpf,https://open.spotify.com/artist/5qBGuyitasg6iGuo3MUpR7,2019-02-22,143034,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Figs,https://open.spotify.com/track/4z14NeR5eUvshLwXaVnPGX,DH Lawrence - Poetry Of,https://open.spotify.com/album/2tTuieQ1aZLZQuqsej8aOk,D. H. Lawrence,https://open.spotify.com/artist/1ESD4tXVynO0mC74bwJgr9,2019-02-22,297145,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Gloire De Dijon,https://open.spotify.com/track/3hvBxLzR10H0BhpXgBKbp6,DH Lawrence - Poetry Of,https://open.spotify.com/album/2tTuieQ1aZLZQuqsej8aOk,D. H. Lawrence,https://open.spotify.com/artist/1ESD4tXVynO0mC74bwJgr9,2019-02-22,68243,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
How Do I Love Thee,https://open.spotify.com/track/78sUHlHtBRrNP6G8JT0BK9,"England - The Poetry of, Vol. 2",https://open.spotify.com/album/6WMzBDW7qYtU88Tn8IjvIZ,Stella Gonet,https://open.spotify.com/artist/7KnyOWWvNbl2kioNk0WdbI,2019-02-22,58514,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
In faith I do not love thee with mine eyes,https://open.spotify.com/track/2IYMuSw52dafh4YLDVMSjQ,When Love Speaks - The Sonnets,https://open.spotify.com/album/6rFEV2I2dniC138rzJkeMA,"William Shakespeare, Sylvia Syms","https://open.spotify.com/artist/0xZ9fVp0OnYjYPeX9Z3c8x, https://open.spotify.com/artist/3U3Pzj2ZtG3hOSd4iDaqsT",2019-02-22,72386,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
"In the grace of wit, of tongue, and face",https://open.spotify.com/track/3SBnnij73Nu7RS7l6i94pj,Theatre Of Early Music: Love Bade Me Welcome - Songs and Poetry From the Renaissance,https://open.spotify.com/album/4uEtJuhfmSgbKkmDGA4Ri5,"Walter Raleigh, Ralph Fiennes, Theatre of Early Music","https://open.spotify.com/artist/4bhdxv3FEWiwfrm1heNZfz, https://open.spotify.com/artist/3pZ60MK5NPuXtBVJx1OkbN, https://open.spotify.com/artist/6DygtRG7ud7yoUK2vvQq7m",2019-02-22,82253,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
In the Safety of Your Mouth,https://open.spotify.com/track/5qEz9pkpmIMdhxb6nvP0TY,The Poetry of Daniel Sheehan,https://open.spotify.com/album/1wYZvJp76rgi5kRalh40S4,Ghizela Rowe,https://open.spotify.com/artist/7CqQscIWxpvzFNI3TtaDHJ,2019-02-22,46370,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Love,https://open.spotify.com/track/3vfBy1WoJprkrs9TbKXPKd,Theatre Of Early Music: Love Bade Me Welcome - Songs and Poetry From the Renaissance,https://open.spotify.com/album/4uEtJuhfmSgbKkmDGA4Ri5,"George Herbert, Ralph Fiennes, Theatre of Early Music","https://open.spotify.com/artist/6cn6We2Z7CFZVhQ9QTiiCU, https://open.spotify.com/artist/3pZ60MK5NPuXtBVJx1OkbN, https://open.spotify.com/artist/6DygtRG7ud7yoUK2vvQq7m",2019-02-22,72493,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Love by Khalil Gibran (Poetic Essay),https://open.spotify.com/track/55HPOJXIBVYXaQH9eCXgom,Top Ten Beautiful Poems by Khalil Gibran,https://open.spotify.com/album/6XOxI8mX9LSw2rzjfAlPb5,Khalil Gibran,https://open.spotify.com/artist/20dZFt5ObQk5W8jRCuk0oW,2019-02-22,187322,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Love Is Not All,https://open.spotify.com/track/4PzL7AmZ3bWLdbwNqEd84a,Ultimate Poetry & Story Collection,https://open.spotify.com/album/4PzG6lT4mtGlpdOfhquCyL,Edna St. Vincent Millay,https://open.spotify.com/artist/0CDolB6auhvott1yKVqkRP,2019-02-22,71973,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Lovers,https://open.spotify.com/track/7Aax3Y9IPvLnTFFpzqmqyP,Six Montreal Poets,https://open.spotify.com/album/606opH371qZfRrsX012kTd,Leonard Cohen,https://open.spotify.com/artist/5l8VQNuIg0turYE1VtM9zV,2019-02-22,50680,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
Lucy,https://open.spotify.com/track/1UkVmZvl32ggTlCa0mVjnE,Wordsworth,https://open.spotify.com/album/1BMSyYe7KKsQl8rl2rjiah,John Williams,https://open.spotify.com/artist/5q4275hgJQNhdOZtMQhQp8,2019-02-22,153253,2021-12-21,A collection of some of the most romantic and sensual poems in the English language.,Love Poems
