track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
10:35,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,10:35,https://open.spotify.com/album/77wWx9sOCJiy0wcn0P44NO,"Tiësto, Tate McRae","https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z, https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym",2023-04-05,172252,2022-05-11,The best tracks for Prom 2024.,Prom Night
2 On (feat. ScHoolboy Q),https://open.spotify.com/track/3jVtllWS5CFFWLQng8sKsr,Aquarius,https://open.spotify.com/album/6zXUDBGLbrB9Kgkw2Y3F7L,"Tinashe, ScHoolboy Q","https://open.spotify.com/artist/0NIIxcxNHmOoyBx03SfTCD, https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m",2022-05-20,227000,2022-05-11,The best tracks for Prom 2024.,Prom Night
34+35,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,Positions,https://open.spotify.com/album/3euz4vS7ezKGnNSwgyvKcd,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,2022-05-06,173710,2022-05-11,The best tracks for Prom 2024.,Prom Night
679 (feat. Monty),https://open.spotify.com/track/0w3Q3VFdrYzo24QUIGnBNy,Fetty Wap (Deluxe),https://open.spotify.com/album/2gKQvajkEEaDtkqJ8FJ4uw,"Fetty Wap, Monty","https://open.spotify.com/artist/6PXS4YHDkKvl1wkIl4V8DL, https://open.spotify.com/artist/1Wnfj5qZsp8nPsGBBRRa4W",2022-05-06,186986,2022-05-11,The best tracks for Prom 2024.,Prom Night
abcdefu,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,abcdefu,https://open.spotify.com/album/6tUQPKlpR4x1gjrXTtOImI,GAYLE,https://open.spotify.com/artist/2VSHKHBTiXWplO8lxcnUC9,2022-05-06,168601,2022-05-11,The best tracks for Prom 2024.,Prom Night
About Damn Time,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,About Damn Time,https://open.spotify.com/album/4JApkbiesQxv5drdEZRlZC,Lizzo,https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS,2022-05-20,191822,2022-05-11,The best tracks for Prom 2024.,Prom Night
Alucin,https://open.spotify.com/track/6ED7qim1NAX1HjNU8039WS,Alucin,https://open.spotify.com/album/6tPNZ9sIL1aQUooAlItmCB,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel, Los Esquivel","https://open.spotify.com/artist/5HeN1Iza4nZe03sFlonddz, https://open.spotify.com/artist/1gW6pz5n1aK249L0GvfQCC, https://open.spotify.com/artist/1tuNNda2SSH3o4lUms5K6C, https://open.spotify.com/artist/4ZdPHdArIbz2GSBXkozQYC",2024-04-11,197114,2022-05-11,The best tracks for Prom 2024.,Prom Night
American Boy,https://open.spotify.com/track/22UDw8rSfLbUsaAGTXQ4Z8,Shine,https://open.spotify.com/album/5y4Ikuc4sLtNOpanoKKqwo,"Estelle, Kanye West","https://open.spotify.com/artist/5T0MSzX9RC5NA6gAI6irSn, https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x",2022-05-06,284733,2022-05-11,The best tracks for Prom 2024.,Prom Night
American Boy,https://open.spotify.com/track/6etwirSInfuJrSOlogS6Sh,Shine,https://open.spotify.com/album/1fpyVGMhF1vdl4XTFo1IH0,"Estelle, Kanye West","https://open.spotify.com/artist/5T0MSzX9RC5NA6gAI6irSn, https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x",2023-04-05,284733,2022-05-11,The best tracks for Prom 2024.,Prom Night
As It Was,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,Harry's House,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,2022-05-31,167303,2022-05-11,The best tracks for Prom 2024.,Prom Night
