track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"2 Canciones mexicanas (Version for Guitar): No. 2, Estrellita",https://open.spotify.com/track/7xjB07oDrnC4e2sQjfbAqR,Gorgeous Guitar: Best Loved Classical Guitar Music,https://open.spotify.com/album/6oSy78tFxjggVUnycHOSov,"Manuel Ponce, Adam Holzman","https://open.spotify.com/artist/3sam97auWZppQpYU1HWNxK, https://open.spotify.com/artist/1Q4wpwTWP02Nxfa4oTJDlO",2021-05-15,144840,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
A la Orilla de un Palmar,https://open.spotify.com/track/4ur5Mne8y17iZWP3tkWpa5,Homenaje a Antonio Bribiesca,https://open.spotify.com/album/3OaBQCe5DXCqudbGWNOyCS,Antonio Bribiesca,https://open.spotify.com/artist/0c8lhCQOQYwyxzykdeOxgz,2022-01-12,138133,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
A La Orilla De Un Palmar,https://open.spotify.com/track/0M5gFreAyBcUizkUUn4DVS,Recordando A Antonio Bribiesca,https://open.spotify.com/album/0jvIr4ODC4xNyRFJxkoI08,Antonio Bribiesca,https://open.spotify.com/artist/0c8lhCQOQYwyxzykdeOxgz,2023-01-23,139293,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
A la Orilla de un Palmar,https://open.spotify.com/track/0CSYt7gTrQsXt98hLxfvNC,La Gran Colección del 60 Aniversario CBS - Antonio Bribiesca,https://open.spotify.com/album/2rDD8JqC6Id1hmr0JI4hDA,"Manuel Ponce, Antonio Bribiesca","https://open.spotify.com/artist/3sam97auWZppQpYU1HWNxK, https://open.spotify.com/artist/0c8lhCQOQYwyxzykdeOxgz",2022-01-12,143946,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Adios Mariquita Linda,https://open.spotify.com/track/4FqDIsZJQVJRKywAQn4QNY,Antonio Bribiesca y Su Guitarra Mexicana,https://open.spotify.com/album/0PrKgLLkGWAgYCumkduODV,Antonio Bribiesca,https://open.spotify.com/artist/0c8lhCQOQYwyxzykdeOxgz,2022-01-12,120333,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Adiós felicidad,https://open.spotify.com/track/4GBmyacFsjGCqXkdEXLSGg,Songbook 3 El Amor Es Vida,https://open.spotify.com/album/5xTYvmQhMKxPo0W4O2CdDT,"Alexandra Gravas, Los Macorinos","https://open.spotify.com/artist/3jDJ5r0kU32EeVl2Dd5uYv, https://open.spotify.com/artist/1ldFRYgmjxDrX27bIe3dWx",2022-01-12,280168,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Adoro,https://open.spotify.com/track/7fQ8mPzBybAaVRoM4cZ0T5,Adoro,https://open.spotify.com/album/4RXbe2z6RIpyCEluLk9nd4,Las Tres Cuerdas,https://open.spotify.com/artist/6jXpHupMSkU9UO5HNpP30a,2021-05-15,145750,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Albur de Amor,https://open.spotify.com/track/1uzuuJJCtum6UrOR4nF7aI,Nostalgia,https://open.spotify.com/album/6lumfvD8xwtfHiabaaBXS6,Romanticos De La Guitarra,https://open.spotify.com/artist/6HexP8xPE4JxhMkwxx55Pz,2021-05-15,158200,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Alla en el Rancho Grande,https://open.spotify.com/track/64j3RUFP6ZHH4h8ctOxc1o,Nostalgia,https://open.spotify.com/album/6lumfvD8xwtfHiabaaBXS6,Romanticos De La Guitarra,https://open.spotify.com/artist/6HexP8xPE4JxhMkwxx55Pz,2022-01-12,129533,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Amor Eterno,https://open.spotify.com/track/0drvU0khBZ3LzQDZYETczO,"Cuerdas, Amor y Guitarra",https://open.spotify.com/album/2fgb11bHq5kshVUKquCsKu,Chamin Correa,https://open.spotify.com/artist/5nbu0z9YPCdLMUr4OsiQ9w,2022-01-12,346466,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Amor Eterno,https://open.spotify.com/track/2o1L91YjTevsMJaufaecjA,Éxitos Vol. 2,https://open.spotify.com/album/6DG898DOEIdqpKyK2nB72v,Chamin Correa,https://open.spotify.com/artist/5nbu0z9YPCdLMUr4OsiQ9w,2021-05-15,348029,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Amor Eterno,https://open.spotify.com/track/5k7l6Sl8lmLfxqbFg2kLgk,Juan Gabriel Instrumental,https://open.spotify.com/album/0gwnj5oFg6mpXSCHdu87Fg,Chamin Madero,https://open.spotify.com/artist/2i6crsrnfZnUu1hdEEa1Z4,2021-05-15,221000,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Amor Que Malo Eres,https://open.spotify.com/track/4Xwg1xbEg5Dx4N3PMEisKQ,Amor Que Malo Eres,https://open.spotify.com/album/1OKUKlhIVJwedZcUkrBcBB,Las Tres Cuerdas,https://open.spotify.com/artist/6jXpHupMSkU9UO5HNpP30a,2021-05-15,156000,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Ansia,https://open.spotify.com/track/6KrX3IfuPmsw2j7QNGglzG,Guitarras Latinas,https://open.spotify.com/album/6z1QMvoOBwozy4CvEqNPsD,"Antonio Garcia Isaac, Roberto Aguilar","https://open.spotify.com/artist/7IH9NOjltyAfO5HsuAt9W3, https://open.spotify.com/artist/454zFQhX3rYP52yNgyJWCV",2021-05-15,186852,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Besame Mucho,https://open.spotify.com/track/3OQBWVESLIsq4h0M2U1WN4,25 Exitos,https://open.spotify.com/album/6rmBa08mpIj55kcE4AdSBS,Guitarras Mágicas,https://open.spotify.com/artist/20lOJusSoLyiJR1CYQH4a0,2021-05-15,261399,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Cancion Mixteca,https://open.spotify.com/track/1K6afJuRM0WJF18ecwU4J9,"Guitarra Mexicana, Vol. 1",https://open.spotify.com/album/3tQyY3bDlVSJBnXlQzqK7l,Stefan,https://open.spotify.com/artist/7lAyVgqdNJDgOcno8i62ZU,2021-05-15,102500,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Canción Mixteca - Qué Lejos Estoy,https://open.spotify.com/track/467faSTmWsVJh2CpvZzNYt,Homenaje a Antonio Bribiesca,https://open.spotify.com/album/3OaBQCe5DXCqudbGWNOyCS,Antonio Bribiesca,https://open.spotify.com/artist/0c8lhCQOQYwyxzykdeOxgz,2022-01-12,206093,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Canción Mixteca - Qué Lejos Estoy,https://open.spotify.com/track/7yRWj5bxhcMXcSSw8Ng7yB,La Gran Colección del 60 Aniversario CBS - Antonio Bribiesca,https://open.spotify.com/album/2rDD8JqC6Id1hmr0JI4hDA,"J. López Alavez, Antonio Bribiesca","https://open.spotify.com/artist/0CNrmttQAnJOXUzlPnv5bv, https://open.spotify.com/artist/0c8lhCQOQYwyxzykdeOxgz",2021-05-15,207333,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Cerezo Rosa,https://open.spotify.com/track/6lrHmW92xxdL7RObYtTlga,Cerezo Rosa,https://open.spotify.com/album/0f3HutA3oPA2QjOyST7YMj,Los Tres Mariquitas,https://open.spotify.com/artist/1RpMXfKJ5wgJufPr4TPcQf,2021-05-15,184000,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Cielito Lindo - Guitar Version,https://open.spotify.com/track/6Rb3aBYBruXdLDmcDmsnRQ,Spanish Guitar Latin Hits,https://open.spotify.com/album/7t9FXqxz2X4tveYgxLBb1U,Manuel Granada,https://open.spotify.com/artist/0hBBzgIZteyQLiAh6v3AjV,2021-05-15,159600,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Cielo Rojo - Cruz de Olvido,https://open.spotify.com/track/1yROJSRPzpxb40eketUs99,Los Poetas de la Guitarra,https://open.spotify.com/album/0LxilFXMfEsuw2dJGhk76A,Los Poetas De La Guitarra,https://open.spotify.com/artist/4tJogcL5p5AL0etHNAsxbU,2021-05-15,175426,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Como Han Pasado los Años,https://open.spotify.com/track/1jFUoYebJZfVwEKbdngjcZ,"Éxitos, Vol. 2",https://open.spotify.com/album/27u9LlecBGDngpTp0SRghR,Chamin Correa,https://open.spotify.com/artist/5nbu0z9YPCdLMUr4OsiQ9w,2022-01-12,218566,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
Como Han Pasado los Años,https://open.spotify.com/track/4bzbP5Vmd25m6WfwKBMisX,Éxitos Vol. 2,https://open.spotify.com/album/6DG898DOEIdqpKyK2nB72v,Chamin Correa,https://open.spotify.com/artist/5nbu0z9YPCdLMUr4OsiQ9w,2021-05-15,218566,2022-06-02,Viaja al México tradicional con la expresión de sus guitarras.,Guitarra Mexicana
