track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Lamèn,https://open.spotify.com/track/4bT1rl9bnULJw7ivrXozfQ,Rainy Season Blues,https://open.spotify.com/album/01PrHxFNvBdEZr99c03s3M,Lobi Traoré,https://open.spotify.com/artist/5uycig9ettxM7vWsZt4Rzp,2020-12-01,141360,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
African Blues,https://open.spotify.com/track/3vxY3FC2UbTGr3uxXNYpTV,African Gnaoua Blues,https://open.spotify.com/album/1re8yFWm97F3S2uD1ztase,"Majid Bekkas, Rachid Zeroual, Khalid Kouhen, Paolo Radoni, Marc Lelangue","https://open.spotify.com/artist/6T4kWmFsjL5rnWOLOHKa7C, https://open.spotify.com/artist/5SC5yIRmjZFE62gTfYkpPw, https://open.spotify.com/artist/793iN9XLyORCyaD3NW3isz, https://open.spotify.com/artist/3huZDhwrKz3odYxyOzBhDa, https://open.spotify.com/artist/00dper4Tuw2YtHISDEZEet",2020-12-01,422053,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Ai Bine,https://open.spotify.com/track/4xkNHzlCNBkJrL0PlOLDRP,The River,https://open.spotify.com/album/78Pv299m6S629pS6hPFOix,Ali Farka Touré,https://open.spotify.com/artist/3mNygoyrEKLgo6sx0MzwOL,2020-12-01,380973,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Alghafiat,https://open.spotify.com/track/2XNNxHozxIxvJ6gUnjWjt3,"Music from Saharan Cellphones, Vol. 1",https://open.spotify.com/album/4VK8kX70jpOy0QfKIWltaU,Amanar,https://open.spotify.com/artist/3UqKqZAPRw5jnAmiDoD6Px,2020-12-01,397706,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Alghafiat,https://open.spotify.com/track/2Z5KBGItjBqxRi20ZhY956,"Music from Saharan Cellphones, Vol. 1",https://open.spotify.com/album/6Q73yR2HmL67KmxqzslA77,Amanar,https://open.spotify.com/artist/3UqKqZAPRw5jnAmiDoD6Px,2020-12-01,397706,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Amidinine,https://open.spotify.com/track/0JRBZ5RZGLhZKUoDIgaxQc,Nomad,https://open.spotify.com/album/6Zv8PkjigCztS7AON6ZuZe,Bombino,https://open.spotify.com/artist/7s4I6rDvTcdBDKElVbtsAN,2020-12-01,268640,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
An Mataf Germanawen,https://open.spotify.com/track/7yWMNLI0W0XQulx62QkzVB,The Sahara Sessions,https://open.spotify.com/album/4pmsnCSw9i2y3MP24QZaid,Etran Finatawa,https://open.spotify.com/artist/4loyFcpdGnVsJRk2pgv6qX,2020-12-01,240880,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Aratane N' Adagh,https://open.spotify.com/track/7f2VHu1fDVbyr3qKpjSgyJ,Adagh,https://open.spotify.com/album/0NCZHorNT5GUmCcT2nbCU4,Tamikrest,https://open.spotify.com/artist/6nZ1wn9URV4oWk4UKuG872,2020-12-01,312333,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Awa adounia,https://open.spotify.com/track/4oYwvjJ2Yq3Yn4Fqgn3uOg,Kel Tamasheq (Deluxe Edition),https://open.spotify.com/album/2rMmfXa4lfk9o4vkcOeVRH,"Liya Ag Ablil, Nadia Nid El Mourid, Abdallah Ag Ahmed, Mathias Vaguenez, Sanou Ag Ahmed, Yamina Nid El Mourid","https://open.spotify.com/artist/5hMboy5Fq7s4pF0Q5ebJj5, https://open.spotify.com/artist/4Xuwu3Fe7lYLHIkvGVlpsb, https://open.spotify.com/artist/1vve6wGaMkX00i8HShL2wS, https://open.spotify.com/artist/7w1rIetgb3qOd0TA5OEZ0d, https://open.spotify.com/artist/78RQ22utV6xA4BoB0dUQWY, https://open.spotify.com/artist/6yvYW6kcEnqrFPZc8CYoxS",2020-12-01,284840,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Bonheur,https://open.spotify.com/track/5kViRh5yrBIftTjX44FMwJ,Samba,https://open.spotify.com/album/4nMZahJAJVwPJxFT8d9rbN,Vieux Farka Touré,https://open.spotify.com/artist/4PmxbsWP1u0TnvqcrIA9ze,2020-12-01,338292,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
C'Est Comme Ca,https://open.spotify.com/track/4JrnK6UWX8o6Gu390ezCOX,Tje Ni Mousso,https://open.spotify.com/album/2gyQndyOXeISkSfhyb1FSG,Amadou & Mariam,https://open.spotify.com/artist/3KH7WsR2JZQ94Ik8SyabU6,2020-12-01,280320,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
C'est comme ça,https://open.spotify.com/track/0oZOJzi6aisi0WShQ9usz8,The Magic Couple,https://open.spotify.com/album/3D9wJtQ2JGmslrFKmXsVwA,Amadou & Mariam,https://open.spotify.com/artist/3KH7WsR2JZQ94Ik8SyabU6,2020-12-01,283240,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Catfish Blues,https://open.spotify.com/track/0LsFBvj1nJRX2PsqC8iMgC,Blues Rock Crate,https://open.spotify.com/album/7xPJ8C46QFPy6VVlo37Z3O,"Taj Mahal, Toumani Diabaté","https://open.spotify.com/artist/1aTDTChWWyiJH3SEnYrdVp, https://open.spotify.com/artist/2nCACYdIndYchzX4bxLcTW",2020-12-01,329866,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
Catfish Blues,https://open.spotify.com/track/0ZcNDNY1v8xoeYrZ0PUPao,Kulanjan,https://open.spotify.com/album/1WwCoePsIIlf5Szu128XKL,"Taj Mahal, Toumani Diabaté","https://open.spotify.com/artist/7wil3Ugeu3ATZHKC0e8yiM, https://open.spotify.com/artist/2nCACYdIndYchzX4bxLcTW",2020-12-01,329866,2022-05-31,Traditional West African blues and North African desert blues. Cover: Songhoy Blues,African Blues
