track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1+1 (feat. Yandel & Sofía Reyes) - Banx & Ranx Remix,https://open.spotify.com/track/2en8KkmwWVRnAFlUueeDs0,1+1 (feat. Yandel & Sofía Reyes) [Banx & Ranx Remix],https://open.spotify.com/album/2ds7l2UKWHAj3nKX2Pfmdz,"Sia, Banx & Ranx, Yandel, Sofía Reyes","https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN, https://open.spotify.com/artist/2uFC1dAj5b0YU7vulKNZ0p, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/0haZhu4fFKt0Ag94kZDiz2",2023-04-06,204707,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) [Remix]",https://open.spotify.com/album/7mau5c15cnVkwcp79cV5LK,"Wisin, Yandel, Farruko, Jon Z, Don Chezina, Chencho Corleone, Myke Towers","https://open.spotify.com/artist/3E6xrwgnVfYCrCs0ePERDz, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO, https://open.spotify.com/artist/5bWUlnPx9OYKsLiUJrhCA1, https://open.spotify.com/artist/1ljNTY4uIBecRJmy69UNWt, https://open.spotify.com/artist/37230BxxYs9ksS7OkZw3IU, https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W",2023-04-06,366613,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
AFRO,https://open.spotify.com/track/0nkYJ6N4EeDZy53ZFxsfLp,AFRO,https://open.spotify.com/album/0WtOZuT26iXiNHFVIkdKpH,Yandel,https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD,2024-07-21,184984,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
AFTERPARTY,https://open.spotify.com/track/17MinbZK1ISSSPrRFCqrDV,ELYTE,https://open.spotify.com/album/6TJh9B7dVXOoGjnDRUY7Ea,"Yandel, J Balvin","https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5",2024-10-14,156857,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
Al Natural (feat. Yandel),https://open.spotify.com/track/49vwUeeauJgEQxDViXA01C,El Enemy de Los Guasíbiri,https://open.spotify.com/album/69rKlAM3KXEHw6vPtM6e9L,"Tego Calderón, Yandel","https://open.spotify.com/artist/3SUT1jjM5hzZj9TLfLZGIP, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD",2023-07-26,204382,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
AMANEZCO,https://open.spotify.com/track/3zdvEzDz2Qk5DamhX41x6D,ELYTE,https://open.spotify.com/album/6TJh9B7dVXOoGjnDRUY7Ea,"Yandel, Jay Wheeler","https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/2cPqdH7XMvwaBJEVjheH8g",2024-10-16,157284,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
Antes y Después,https://open.spotify.com/track/0YbXuCsQwrsh5x0hgnED6z,Emmanuel,https://open.spotify.com/album/7JtT7OyWM8BnIS5FXXPMKg,"Anuel AA, Kendo Kaponi, Yandel, Ñengo Flow","https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66, https://open.spotify.com/artist/1WMwuNKzEFtU6pPkdtryYS, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/12vb80Km0Ew53ABfJOepVz",2023-05-22,414819,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
"Arena y Sal (feat. Yandel, Saiko, FMK, LIT killah & Tunvao) - Remix",https://open.spotify.com/track/3MhpTdIHlgg5uxNPXSfFOJ,"Arena y Sal (feat. Yandel, Saiko, FMK, LIT killah & Tunvao) [Remix]",https://open.spotify.com/album/7szreH35LFWOfHayYZoE5v,"Omar Montes, Anitta, Sech, Yandel, SAIKO, FMK, LIT killah, Tunvao","https://open.spotify.com/artist/3lY9Fxceu60W1rbon7PkuF, https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb, https://open.spotify.com/artist/77ziqFxp5gaInVrF2lj4ht, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/2O8vbr4RYPpk6MRA4fio7u, https://open.spotify.com/artist/0dUyjgCyjfj5eMx6bX2TWf, https://open.spotify.com/artist/1vqR17Iv8VFdzure1TAXEq, https://open.spotify.com/artist/1zdSbv2pR3OIFKselYbJsC",2024-05-13,318259,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
Ay Mi Dios,https://open.spotify.com/track/4L4MttVsY1WaxSDzFiQefU,Ay Mi Dios,https://open.spotify.com/album/1JCOUDiJmrVr6YmzLXMHkO,"IAmChino, Pitbull, Yandel, El Chacal","https://open.spotify.com/artist/0b2GL7Y02vu50qieoQmw1w, https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/1xFn1xod58AGaSZjrxdiXA",2023-08-27,252003,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
Ay Mi Dios,https://open.spotify.com/track/5Uel5PmPBZICA0TQTI912U,Ay Mi Dios,https://open.spotify.com/album/5mL2ReCP9gU2mPnC3SKERE,"IAmChino, Pitbull, Yandel, El Chacal","https://open.spotify.com/artist/0b2GL7Y02vu50qieoQmw1w, https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD, https://open.spotify.com/artist/1xFn1xod58AGaSZjrxdiXA",2023-04-06,252003,2023-04-07,"This is Yandel. The essential tracks, all in one playlist.",This Is Yandel
