track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Su Vato Engaña,https://open.spotify.com/track/1omrt3OLApXDY5F440nNst,"Éxitos, Vol. 2",https://open.spotify.com/album/5MhpEW1P1Lpu4NLrLB34x7,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-11-10,530280,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
A Ti Mi Dama,https://open.spotify.com/track/6eOLT7ugIriFbbFYZVzh8V,Seguimos Fumando,https://open.spotify.com/album/7panOfxwnv0Z3YUStTU3OO,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2024-08-09,330500,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Alcoholizados,https://open.spotify.com/track/1ypmtYntwtFVW8AoQtBAOm,"Hits Visuales, Vol. 1",https://open.spotify.com/album/2IHqRzkYGxiiVSZ8mdKnok,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-11-10,291974,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Amnesia,https://open.spotify.com/track/2CRXFBkRh0V7FZL5kuiqdO,Amnesia,https://open.spotify.com/album/7x0UG4rToHvR7HkzqGN06a,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-11-10,188604,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Amor al Arte,https://open.spotify.com/track/5ZmdCVprp0xw4LRT66Q65J,"Mal Ejemplo, Vol. 3",https://open.spotify.com/album/3mIsCeIbeXeicXk0QmSQRM,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2024-09-04,300300,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Amor al Arte,https://open.spotify.com/track/74GbLmm7e7lrsWYoKZs5AV,"Mal Ejemplo, Vol. 3",https://open.spotify.com/album/14zVz3UK6xf6oEaFXeGiow,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-11-10,305972,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Así la Vivo Yo,https://open.spotify.com/track/4SYaEOPOUyeNkU7OQm97TQ,Así la Vivo Yo,https://open.spotify.com/album/4u1qy1RYfnKF0cRgZGrftW,"ILUMINATIK BUFFON, La Santa Grifa, TREN LOKOTE, Neto Reyno, Yaz Tarelo","https://open.spotify.com/artist/7CvKsTEWv1BS3LydN8HgG6, https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A, https://open.spotify.com/artist/6DjBv6gyR1HLsvwGUOD5V9, https://open.spotify.com/artist/7sgnuH8OwU32WbGLZwD03q, https://open.spotify.com/artist/59JtSjLRASadXsL9hNlLXB",2023-11-10,227160,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Aun Te Pienso,https://open.spotify.com/track/2IYgiwTYm4YBVMIEqJw6hz,Aun Te Pienso,https://open.spotify.com/album/6Zl4NEfxxgozOEAGFZ6BGg,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2024-01-10,184500,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Azucar Limon,https://open.spotify.com/track/0uHZXo88X7MAzCtcFIn2P9,Fuera de Órbita,https://open.spotify.com/album/51yJSY6U0Bl7rrQDekZvjF,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-11-10,234945,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Bailando Con la Muerte,https://open.spotify.com/track/2vkh4fXp3muk6hgOP7luSu,"Hasta Donde Se Pueda, Vol. 2",https://open.spotify.com/album/69Jo9dSkh9nTPpASqM49Gk,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-11-10,399098,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
Biscochologo,https://open.spotify.com/track/1IGSqwLXLvTGKolG0TvinU,Las Chidas Pal Cuarto,https://open.spotify.com/album/5qYizwBXw7HD441oTtqrpg,La Santa Grifa,https://open.spotify.com/artist/1oH2B8tcHn4Gpl2bmmyd4A,2023-11-10,320261,2023-11-11,"This is La Santa Grifa. The essential tracks, all in one playlist.",This Is La Santa Grifa
