track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(I Won't) Pay Your Price,https://open.spotify.com/track/3Y7Oo8QVUKqVLU4ojeWkun,Overkill (Expanded Edition),https://open.spotify.com/album/6rfGeD9P5kyZTSwif5tOJb,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2024-01-05,176360,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
(We Are) The Roadcrew,https://open.spotify.com/track/3AQmSnKePd4DOCxiQxADd8,Ace of Spades (Expanded Edition),https://open.spotify.com/album/3rxF05Aux0QTrN533Kjc91,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,191066,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
(We Are) The Roadcrew,https://open.spotify.com/track/4n5OX6FX4jcyow16EP3LaL,Ace of Spades (Expanded Edition),https://open.spotify.com/album/619d4uJE3h2rOlw7kmSlD6,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2023-12-13,191066,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
1916,https://open.spotify.com/track/5gp9UXTiUKw0EbKdmdln9O,1916,https://open.spotify.com/album/6mvrfjdgSvwcDXhxyVjWTx,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,224640,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Ace of Spades,https://open.spotify.com/track/6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades (Expanded Edition),https://open.spotify.com/album/3rxF05Aux0QTrN533Kjc91,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,166360,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Ace of Spades,https://open.spotify.com/track/3CIOopLwvyMvXk97ZEksKO,Ace of Spades (Expanded Edition),https://open.spotify.com/album/619d4uJE3h2rOlw7kmSlD6,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2023-12-13,168320,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Alligator - Bomber Demo,https://open.spotify.com/track/7jOHDp3bYzivNs9sP1sDWV,The Bomber Demos,https://open.spotify.com/album/61ftZFyu2rAtikKrE2xtfH,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2024-10-14,209978,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Back at the Funny Farm,https://open.spotify.com/track/6yzBxTrtlBhm8nXbZIBqS1,Another Perfect Day (Expanded Edition),https://open.spotify.com/album/4WoY5iVHPMk3duAINlW7MK,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,251000,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Be My Baby,https://open.spotify.com/track/0EXoM6WD1gWVDB6Y2kRH2f,Kiss of Death,https://open.spotify.com/album/4syGSCBIzJWYQB15Msvn1y,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,220813,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Bomber,https://open.spotify.com/track/1I4el8B1ZZKF3OGzmXDH9T,Bomber (Expanded Edition),https://open.spotify.com/album/1OVYzABapDJ7aZGfBLY22F,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,220160,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Bomber,https://open.spotify.com/track/5YxehSAZjBMcCIUlxGPit9,Bomber,https://open.spotify.com/album/0WVRXw04iy4QN2EnmXx11I,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2023-12-13,220800,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Born To Raise Hell,https://open.spotify.com/track/7Ei4LhQ8BeTfjsPY7FINZS,Bastards,https://open.spotify.com/album/0mtmu4b5dw2dYlrAyjGQa7,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,299786,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
Brotherhood Of Man,https://open.spotify.com/track/0hubXoyvsuxkq3UA2tfSeG,The World Is Yours,https://open.spotify.com/album/3w6OQUsrAPQsPUC1fBkdv6,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-12-30,315560,2022-12-31,"This is Motörhead. The essential tracks, all in one playlist.",This Is Motörhead
