track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
11 Y ONCE,https://open.spotify.com/track/1YUTTfAThKaxEYP9Zfv21V,DATA,https://open.spotify.com/album/6xRxlUUfg3M0QB1LUX89gA,"Tainy, Sech, E.VAX","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/77ziqFxp5gaInVrF2lj4ht, https://open.spotify.com/artist/12m4a5ljGoe6yyYPpVi7Hr",2023-07-01,196701,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
"A Mi También ft. Alvaro Diaz, Feid",https://open.spotify.com/track/5Bc130ZswADfOY9bxk1y98,Club Dieciséis,https://open.spotify.com/album/4cvaXlyY8HozBQXr6VzsEU,"Tainy, Alvaro Diaz, Feid","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/5J7rXWjtn5HzUkJ4Jet8Fr, https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo",2023-04-06,171832,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Adicto (with Anuel AA & Ozuna),https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),https://open.spotify.com/album/7nqA49hzXJWPH4cnM8nk6x,"Tainy, Anuel AA, Ozuna","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66, https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY",2023-04-06,270740,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Agua (with J Balvin),https://open.spotify.com/track/7CtbxAGq2P0jtYh6SH9DMR,The SpongeBob Movie: Sponge On The Run (Original Motion Picture Soundtrack),https://open.spotify.com/album/7ojjiN0aOkWA15XONyCnA7,"Tainy, J Balvin","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5",2023-04-06,159665,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Agua (with J Balvin) - Film Version,https://open.spotify.com/track/7bycJ0EPTqYplxOkCBzUCf,The SpongeBob Movie: Sponge On The Run (Original Motion Picture Soundtrack),https://open.spotify.com/album/7ojjiN0aOkWA15XONyCnA7,"Tainy, J Balvin","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5",2023-04-06,148346,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Asi Eh - Remix,https://open.spotify.com/track/5yyxjJEMqSyCySMM9MAoJI,Asi Eh (Remix),https://open.spotify.com/album/0rp5iUshTsvz8E4YakFOAw,"Miky Woodz, Tainy, Chencho Corleone, Darell","https://open.spotify.com/artist/1pf0MPKfKdvS8J779mS1Ay, https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/37230BxxYs9ksS7OkZw3IU, https://open.spotify.com/artist/1TtXnWcUs0FCkaZDPGYHdf",2023-04-06,234533,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
BUENOS AIRES,https://open.spotify.com/track/1VCMkNBJtt1obiqIGRvla5,DATA,https://open.spotify.com/album/6xRxlUUfg3M0QB1LUX89gA,"Tainy, Mora, Zion","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/0Q8NcsJwoCbZOHHW63su5S, https://open.spotify.com/artist/1pgDilWYDWLoOgGjf1iHNu",2023-07-01,118857,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
BUSCANDO CALOR,https://open.spotify.com/track/1AuakKBKABJveKizKBl9j7,DYNASTY,https://open.spotify.com/album/58YsVjb7H6iov9MmLuvome,"Tainy, Yandel","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD",2023-04-06,173553,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Button (feat. Anuel AA & Tainy),https://open.spotify.com/track/6FDKYM0lBf6zqrg8cFokPd,JORDI (Deluxe),https://open.spotify.com/album/1pCA38N6MkLlthXtAOvZTU,"Maroon 5, Anuel AA, Tainy","https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP, https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66, https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB",2023-04-06,164224,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Bárbaro,https://open.spotify.com/track/0RYRX4bWykxlbDdonBnjmg,Bárbaro,https://open.spotify.com/album/6tt7XjJPdHmPzArSswOluS,"Mozart La Para, Tainy","https://open.spotify.com/artist/0odliLZMTk45CEVzF3Zocl, https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB",2023-04-06,128573,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Callaita,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,Callaita,https://open.spotify.com/album/06S3Qjh4QWLtn6c7CVhYh7,"Bad Bunny, Tainy","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X, https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB",2023-04-06,250533,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Callaita,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba,Un Verano Sin Ti,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5,"Bad Bunny, Tainy","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X, https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB",2023-08-03,250533,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
COLMILLO,https://open.spotify.com/track/6tg97bZpaIpDSEcWMGXfOT,COLMILLO,https://open.spotify.com/album/13ldB6ttaAq7okb9DHIscN,"Tainy, J Balvin, Young Miko, Jowell & Randy","https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB, https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5, https://open.spotify.com/artist/3qsKSpcV3ncke3hw52JSMB, https://open.spotify.com/artist/4IMAo2UQchVFyPH24PAjUs",2023-11-10,265999,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
Completamente Loco,https://open.spotify.com/track/7B646WX2daEPa4bjsnUv9o,PO2054AZ (Vol.I),https://open.spotify.com/album/2FQ1wvw5azk1cHo1YDzNXT,"Sen Senra, Tainy","https://open.spotify.com/artist/5lWasZeo8uWQk6GD8czJLq, https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB",2023-06-24,150986,2023-04-07,"This is Tainy. The essential tracks, all in one playlist.",This Is Tainy
