track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Vitória Eu Posso Ver (See a Victory),https://open.spotify.com/track/3d7xkpuxi6bgBf6iFikfs2,A Vitória Eu Posso Ver (See a Victory),https://open.spotify.com/album/2hMRaxZ5VUh9MRwLnbk0sY,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,358051,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Aceito o Teu Chamado,https://open.spotify.com/track/1JxseLLcAhM48rfw0pQfYd,Aceito o Teu Chamado,https://open.spotify.com/album/4dWAoWGTlbC0JdSbODjFpG,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,265032,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Acima da Média,https://open.spotify.com/track/6cMyK8RdagUw3kiKzE0olj,Aceito o Teu Chamado,https://open.spotify.com/album/4dWAoWGTlbC0JdSbODjFpG,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,285419,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Advogado Fiel,https://open.spotify.com/track/061NRgs8Iza1oxHTpHi3qq,Advogado Fiel,https://open.spotify.com/album/2U25l1MfwYJX3jNJBROiri,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,288809,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Agora Eu Tenho Você Comigo,https://open.spotify.com/track/3JAoGcKwkXVRQklnUBT2Gb,Bruna Karla Falando de Amor,https://open.spotify.com/album/1q2US0j78yaS4FJNIfrJ28,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,254537,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Aleluya,https://open.spotify.com/track/7EOxhfDRdKdLknVVuyKKQ4,Aleluya,https://open.spotify.com/album/58TuxVBW2c8guPlnGptw9c,"Bruna Karla, Arthur Callazans","https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR, https://open.spotify.com/artist/5Wkk7zsJx0eYgnR7rAFIVS",2023-07-09,334831,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Ao Final,https://open.spotify.com/track/7sFeGZBlqXSN3lN02lirMh,Advogado Fiel,https://open.spotify.com/album/2U25l1MfwYJX3jNJBROiri,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,237818,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Apaixonado Coração,https://open.spotify.com/track/5trNycknDFgdGosv98UeRc,Bruna Karla Falando de Amor,https://open.spotify.com/album/1q2US0j78yaS4FJNIfrJ28,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,248407,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Até Aqui me Sustentou,https://open.spotify.com/track/6i2uI31zWj1zJH24S2gFJx,Incomparável,https://open.spotify.com/album/0BgFA0t9FPDRMA2QPgVRFU,"Cássia Kelly, Bruna Karla","https://open.spotify.com/artist/43lb9Hehs3NFBes3cy4fbB, https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR",2023-07-09,268654,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Aviva-nos (Ao Vivo),https://open.spotify.com/track/03mpdr8HJfKqihrPDl9F14,Aviva-nos (Ao Vivo),https://open.spotify.com/album/0WvYxMgrxjbcpSlLexrjRT,"Bruna Karla, Gabriel Guedes de Almeida","https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR, https://open.spotify.com/artist/5ETTRSAa5g5uIMNOgqnJPB",2023-07-09,362502,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Cante Aleluia,https://open.spotify.com/track/1we1NWFLA0wSGasHXKAo82,Siga em Frente,https://open.spotify.com/album/1IzXIdVD5bF5GYpkVwpfit,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2024-09-20,214041,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Cicatrizes,https://open.spotify.com/track/4aeZL7WVsbBDgA8wr5Xj9r,Como Águia.,https://open.spotify.com/album/1Bs4fwpu5CM0QMU34eH4zH,Bruna Karla,https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR,2023-07-09,260620,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
Com Muito Louvor,https://open.spotify.com/track/3fMWh5ZDVPFKoQnUxO29L8,Com Muito Louvor,https://open.spotify.com/album/5NItVsuGoKUjQOK8kfa72v,"Cassiane, Bruna Karla","https://open.spotify.com/artist/6MQhMvMTFK4nAQzoOKrwY3, https://open.spotify.com/artist/0YdeGzSneJdP1NEKY3EFlR",2023-07-09,321039,2023-07-10,"This is Bruna Karla. The essential tracks, all in one playlist.",This Is Bruna Karla
