track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
9 Lives (Black Cat),https://open.spotify.com/track/01t65qatZeJZRmjmBqIwBA,9 Lives,https://open.spotify.com/album/5W2ZpWhrvHK0h68xiP7ajj,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,204628,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Austin,https://open.spotify.com/track/0IQVTeD4kcuyLKmAF5h03b,Austin,https://open.spotify.com/album/0JvVboA2Yvci4CuBMgyifG,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,274716,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Austin,https://open.spotify.com/track/366jHrhcvBpZAQF6m8NuKV,Austin,https://open.spotify.com/album/2VdUBCAnlhj9MijNsGZag5,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2025-01-30,274716,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Better Without You,https://open.spotify.com/track/12lagnH3LHPUHTXkQhAGph,Hell Paso,https://open.spotify.com/album/5seABmIu2cnoRMDoVHZvOD,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,141564,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Cabo,https://open.spotify.com/track/46Tqp6TCGO2vQZyztZy8Te,Hell Paso,https://open.spotify.com/album/5seABmIu2cnoRMDoVHZvOD,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,243797,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Casamigos,https://open.spotify.com/track/359bNXrILKwIm6J6vgz5zM,9 Lives,https://open.spotify.com/album/1hLKup9UE01jC6E49VzBqj,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2025-02-08,194621,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Casamigos,https://open.spotify.com/track/4PmGnPVc9mpm8HSSdfI2TP,Casamigos,https://open.spotify.com/album/386JCLmBdi4aGVVmjZkA7Z,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,194621,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Change My Ways,https://open.spotify.com/track/77jNaWJRQSsj1Ro9D1P8vA,Out on Parole,https://open.spotify.com/album/3WhPz52gxnsbw2QxtctNmP,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,225363,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Cold & Alone,https://open.spotify.com/track/3NWWLWoMA0Cy2T5oyEIqKt,Sellout,https://open.spotify.com/album/5lbVCoz3kk3ITB6BRBfBMy,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,198313,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Creeps,https://open.spotify.com/track/4vlk5JUheqOSCZqgts338H,Hell Paso,https://open.spotify.com/album/5seABmIu2cnoRMDoVHZvOD,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,224703,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Damn Near Normal,https://open.spotify.com/track/5sX5XeSfMUZHzsUl2helzf,9 Lives,https://open.spotify.com/album/5W2ZpWhrvHK0h68xiP7ajj,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,224695,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Depression & Obsession,https://open.spotify.com/track/38623VdBTunZrY1IFpFLh8,9 Lives,https://open.spotify.com/album/5W2ZpWhrvHK0h68xiP7ajj,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,149659,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Drunk Driving,https://open.spotify.com/track/3ERb3f5nGNwRcNLNoN3KRg,Sellout,https://open.spotify.com/album/5lbVCoz3kk3ITB6BRBfBMy,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,238211,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
"February 28, 2016",https://open.spotify.com/track/2WZTzjYMHYmadyQjSZ6Vj4,Noise Complaint,https://open.spotify.com/album/2c4NXT3nDspQTLujTdIJHT,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,233685,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
FGA,https://open.spotify.com/track/0Lgz0XPfY0HBsjA1QbwGxy,Sellout,https://open.spotify.com/album/5lbVCoz3kk3ITB6BRBfBMy,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,260664,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Forever,https://open.spotify.com/track/3AdV1d3U70EWsqE6NDJ0yv,Harold Saul High,https://open.spotify.com/album/1tkILSHrftqtIaop0bcCqg,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,177866,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Fuss and Fight,https://open.spotify.com/track/663iLprLvjr0JatL4IVqUH,Noise Complaint,https://open.spotify.com/album/2c4NXT3nDspQTLujTdIJHT,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,240265,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Good Die Young,https://open.spotify.com/track/6vBbirJ0n9L0j1XPtWlG6T,Sellout,https://open.spotify.com/album/5lbVCoz3kk3ITB6BRBfBMy,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,165699,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Good Times (Bonus Track),https://open.spotify.com/track/30877ufZfLUNYXR9mXo9bi,9 Lives,https://open.spotify.com/album/1hLKup9UE01jC6E49VzBqj,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-10-20,211277,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Gravedigger,https://open.spotify.com/track/0qu4MZi0L4sXBcvvxjqDkW,Out on Parole,https://open.spotify.com/album/3WhPz52gxnsbw2QxtctNmP,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,240068,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Happier Alone,https://open.spotify.com/track/3cTPILvh238II28NyF5OEf,Happier Alone,https://open.spotify.com/album/3AtxQNOTzdsCm9qUwJVX5j,"Austin Meade, Koe Wetzel","https://open.spotify.com/artist/7Jd98Mm2x1fQBzQmQOeX79, https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ",2024-09-19,224027,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Hatchet,https://open.spotify.com/track/5TBJIGQ1TNxSLS7zOrj44g,9 Lives,https://open.spotify.com/album/5W2ZpWhrvHK0h68xiP7ajj,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,180621,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
High Road (feat. Jessie Murph),https://open.spotify.com/track/1FhgmMvNlh3nJ1Ldc2eE6H,9 Lives,https://open.spotify.com/album/5W2ZpWhrvHK0h68xiP7ajj,"Koe Wetzel, Jessie Murph","https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ, https://open.spotify.com/artist/2yLzlEFtIS0Q9UkyBZdQA7",2024-11-24,179413,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
High Road (feat. Jessie Murph),https://open.spotify.com/track/73KAidtqbDftZjy8AD0H04,High Road (feat. Jessie Murph),https://open.spotify.com/album/62NSHNGNQC2hXZKNuvF6pi,"Koe Wetzel, Jessie Murph","https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ, https://open.spotify.com/artist/2yLzlEFtIS0Q9UkyBZdQA7",2024-09-19,179413,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
Honey Pain,https://open.spotify.com/track/21dB5hK5tAJaGD3VTbQ7ly,Noise Complaint,https://open.spotify.com/album/2c4NXT3nDspQTLujTdIJHT,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,338346,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
I'm Done,https://open.spotify.com/track/3GR0V5mwjNInFEGG7tYtxE,Noise Complaint,https://open.spotify.com/album/2c4NXT3nDspQTLujTdIJHT,Koe Wetzel,https://open.spotify.com/artist/1Tie3AZgLQZqYEp8Fv4zOZ,2024-09-19,210576,2024-09-19,"This is Koe Wetzel. The essential tracks, all in one playlist.",This Is Koe Wetzel
