track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
24K Magic,https://open.spotify.com/track/0uO8gotUNmO7v5agFzqS7y,KIDZ BOP 34,https://open.spotify.com/album/2tLmEW6OUwHh2cncZOVpQ7,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2024-10-12,176866,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
abc,https://open.spotify.com/track/0QzUsAQRKzzDWXffugmOja,KIDZ BOP Super POP!,https://open.spotify.com/album/2MwnJW31OVBG7hYWVg3rWK,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2023-02-16,167714,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
About That Time,https://open.spotify.com/track/57dJa4G5Iaz26OMpGeJqmj,KIDZ BOP 2023,https://open.spotify.com/album/5YOe3aJeBjlLA9IuOWyWD5,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2023-02-16,192008,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
Apple,https://open.spotify.com/track/2qVxkSW21r1r6aXRbCA3Q6,Apple,https://open.spotify.com/album/6i0atmeYVUoeI58dINmglw,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2024-12-22,135001,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
As It Was,https://open.spotify.com/track/7FRpO17fjYvHTniQmq3Rav,KIDZ BOP Super POP!,https://open.spotify.com/album/2MwnJW31OVBG7hYWVg3rWK,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2023-02-16,162257,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
Astronaut In The Ocean,https://open.spotify.com/track/65I7LRWEDId3dlW2ReXXR8,KIDZ BOP 2022,https://open.spotify.com/album/1pVDyIhEeVDBQjZYO67ytl,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2023-02-16,134148,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
Avenir,https://open.spotify.com/track/68fAJJmNwY2wKnCkIgxaa0,Avenir,https://open.spotify.com/album/0TlmXtDrdGgkynRQeRtwHO,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2023-12-13,183710,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
Bam Bam,https://open.spotify.com/track/1kqu1lWNTNmwrRt8amTRSW,KIDZ BOP Super POP!,https://open.spotify.com/album/2MwnJW31OVBG7hYWVg3rWK,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2023-02-16,195438,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
Bang!,https://open.spotify.com/track/3lbzNC9c0ZAqwaZ4Yo5B6c,KIDZ BOP 2022,https://open.spotify.com/album/1pVDyIhEeVDBQjZYO67ytl,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2023-02-16,172158,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
Barbie World,https://open.spotify.com/track/3tO8Tj8dbfpd401DzL4HT9,Barbie World,https://open.spotify.com/album/2MSzOTzLqtYz0gWpWmCSty,Kidz Bop Kids,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW,2024-01-06,110928,2023-02-17,"This is Kidz Bop Kids. The essential tracks, all in one playlist.",This Is Kidz Bop Kids
