track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
5 da manhã,https://open.spotify.com/track/2fdfXYtk4zUgTxv3jwSqTp,"Inocente ""Demotape""",https://open.spotify.com/album/0buVrEIwifWoGnpQ7fhZgk,Djonga,https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY,2023-11-10,173600,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
A Música da Mãe,https://open.spotify.com/track/2YD8rHthWUwXAyucqI5gYm,A Música da Mãe,https://open.spotify.com/album/7dEBIuAU4GRtGxbxweMtXp,"Djonga, Coyote Beatz","https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/2PhFsxtwCQLS3e9SJwDN3j",2023-09-18,218250,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
A Pior Música do Ano,https://open.spotify.com/track/4jT1MGqV0EHR9AGis0L4CG,A Pior Música do Ano,https://open.spotify.com/album/2Ff61nFXs7yOOhHMHJFEVV,"Froid, Djonga","https://open.spotify.com/artist/45Yz90pqjzEdJzpEQg1eII, https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY",2023-09-18,219103,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
até sua alma,https://open.spotify.com/track/7CW1spLNtlpsLXpxpZu78C,O Dono do Lugar,https://open.spotify.com/album/77iFfJuIIWGZs1PJZF39m4,"Djonga, Coyote Beatz, Tasha & Tracie","https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/2PhFsxtwCQLS3e9SJwDN3j, https://open.spotify.com/artist/5Gv1C1LY8pWiYcfcdjSNMT",2023-09-18,300298,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
ATÍPICO,https://open.spotify.com/track/0PnZJZwuVFs6rPlYuFkTpi,O MENINO QUE QUERIA SER DEUS,https://open.spotify.com/album/04iHzaSGrOo5MgBY7R2PbX,"Djonga, Coyote Beatz","https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/2PhFsxtwCQLS3e9SJwDN3j",2023-09-18,199951,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
bala fini,https://open.spotify.com/track/1gnDVuH3uQnJH0cBLRSJKC,O Dono do Lugar,https://open.spotify.com/album/77iFfJuIIWGZs1PJZF39m4,"Djonga, Coyote Beatz","https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/2PhFsxtwCQLS3e9SJwDN3j",2023-11-10,209114,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
BENÇA,https://open.spotify.com/track/3GFF2ybvzJWteFci21mC1W,Ladrão,https://open.spotify.com/album/4bVYzv8uj0wanD6BdwmdwM,"Djonga, Coyote Beatz","https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/2PhFsxtwCQLS3e9SJwDN3j",2023-09-18,224256,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
bode,https://open.spotify.com/track/4VC3XmGu302imYYjIJuS9L,O Dono do Lugar,https://open.spotify.com/album/77iFfJuIIWGZs1PJZF39m4,"Djonga, Coyote Beatz","https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/2PhFsxtwCQLS3e9SJwDN3j",2023-09-18,231893,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
Bolha,https://open.spotify.com/track/0BA4rJhjtBy1ZzRnXwvqB2,Atemporal,https://open.spotify.com/album/4Fc1PEpME8eCAvrAgCeL0T,"Zarastruta, Djonga, Juce Rock","https://open.spotify.com/artist/02RPe8lsQquxA4NtZJ2chM, https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/0536dOi2J2UZ7GBMx0O4Gv",2024-12-22,296233,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
C.E.O'S (BÔNUS TRACK),https://open.spotify.com/track/0euUJLQsKhMThMKO07qk01,MAGIC SHOW (DELUXE),https://open.spotify.com/album/3QwGvMjTIO0xzb8BrWTRu6,"Nagalli, Alee, Djonga, Supernova Ent","https://open.spotify.com/artist/6TPJK8tv3AKKSsw0lENTQk, https://open.spotify.com/artist/6rk6Izp6o42fUdE0jRqAP4, https://open.spotify.com/artist/204IwDdaHE4ymGk9Kya2pY, https://open.spotify.com/artist/3prRKGJz16RRMRSIM97nHw",2024-06-01,166449,2023-09-19,"This is Djonga. The essential tracks, all in one playlist.",This Is Djonga
