track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
6,https://open.spotify.com/track/7gNvcPwwQ72oogfFOjBUci,The Man Who Died in His Boat,https://open.spotify.com/album/2arK6QEmfa25k2feNozs9e,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-06-11,109546,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
A Better Feeling,https://open.spotify.com/track/2jJqdE5Ug4EtQc5WwoVv7H,A Better Feeling,https://open.spotify.com/album/7wboD93uRocrKgSjPjieqH,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2024-09-08,178303,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
A Cover Over,https://open.spotify.com/track/0wFYNeVAVjp7VXxYTLK5yF,Dragging a Dead Deer Up a Hill,https://open.spotify.com/album/0r1ffFQRFvtthTdLV2ZPWL,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2023-04-13,168560,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
A Lie,https://open.spotify.com/track/03nTHUIdIV4a2Wjb1puEDO,A I A: Dream Loss,https://open.spotify.com/album/5l4dgQzaAkmbTpueLhSR3q,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-31,313680,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
A Light Change,https://open.spotify.com/track/2wy9QMJdpa74PVkr1V7NmY,Inca Ore / Grouper,https://open.spotify.com/album/2oztVYt7jDJBTysn00vM6E,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,201040,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Adorned,https://open.spotify.com/track/2wSGygVc25oSsYwC26fLJk,Way Their Crept,https://open.spotify.com/album/2UbTwil7eR6Lov37LRyVhb,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2024-04-05,167960,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Alien Observer,https://open.spotify.com/track/35VfLKymw2iZKWnLTvm8Xv,A I A: Alien Observer,https://open.spotify.com/album/4Z1BFX1oBckY8bhGEWMYmi,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,236480,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Atone,https://open.spotify.com/track/1hKjbUkgAJUerYuE4XhsoU,A I A: Dream Loss,https://open.spotify.com/album/5l4dgQzaAkmbTpueLhSR3q,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,295826,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Basement Mix,https://open.spotify.com/track/19Frh8I9RkXJBwfI2v7cVd,Shade,https://open.spotify.com/album/1w3EOCPDwqWIiu2c1pHylJ,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-31,317749,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Being Her Shadow,https://open.spotify.com/track/2HeFT5Khue5e3vybIgRmUh,The Man Who Died in His Boat,https://open.spotify.com/album/2arK6QEmfa25k2feNozs9e,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,285866,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Birthday Song,https://open.spotify.com/track/76m9qTSWvcVVhyC3JW7tnY,Grid of Points,https://open.spotify.com/album/5wy223m8JP5DBOvgumFgN8,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-06-02,202000,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Black Blood,https://open.spotify.com/track/0TkXfH8zPdYgaySFmjwcmI,Wide,https://open.spotify.com/album/3iLSxt5fh8f0vN89861WnE,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,45266,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Black Out,https://open.spotify.com/track/6oa3Hi3B1M3eOtEr3wPAA8,Way Their Crept,https://open.spotify.com/album/2UbTwil7eR6Lov37LRyVhb,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2023-03-17,303506,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Blouse,https://open.spotify.com/track/1qfJaIIBYBfl5QNXHjfT6Y,Grid of Points,https://open.spotify.com/album/5wy223m8JP5DBOvgumFgN8,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,165000,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Blush,https://open.spotify.com/track/3jF63jYIaKR1OitaWAHGrL,TRANSA,https://open.spotify.com/album/3ZbB4lOfSxeGln33XsFyXG,"Lucy Liyou, Grouper","https://open.spotify.com/artist/0oGtixfxP0ukNPM6KVuwC1, https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i",2024-11-25,362410,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Call Across Rooms,https://open.spotify.com/track/4detZaj6qfObdW7h9cHnFz,Ruins,https://open.spotify.com/album/5ElYoVUqRQIlDekD1v6aKa,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,179253,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Clearing,https://open.spotify.com/track/3IL43TRkEnh4buGOZ1Brb5,Ruins,https://open.spotify.com/album/5ElYoVUqRQIlDekD1v6aKa,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,281680,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Cloud in Places,https://open.spotify.com/track/0diPy4X3fZ253nxtUXXitO,The Man Who Died in His Boat,https://open.spotify.com/album/2arK6QEmfa25k2feNozs9e,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,245306,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Come Softly - For Daniel D.,https://open.spotify.com/track/3JyPrk7TuXyBY5eTmwZsSk,A I A: Alien Observer,https://open.spotify.com/album/4Z1BFX1oBckY8bhGEWMYmi,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,273986,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Con,https://open.spotify.com/track/7gMeu7u38sAcWH8TGdhtuD,Stain Licker,https://open.spotify.com/album/4U5588OifAJPFrUK8pkrSF,"Imagine Drowning, Grouper","https://open.spotify.com/artist/00Z6TAeTxPFq45NrCtj7M9, https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i",2023-01-18,142025,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Cover the Long Way,https://open.spotify.com/track/5NxOjQYObGO5cISU5jd8uu,The Man Who Died in His Boat,https://open.spotify.com/album/2arK6QEmfa25k2feNozs9e,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-30,245653,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Cover the Windows and the Walls,https://open.spotify.com/track/3Jd6G5xoykZ9IA2LOuQrGh,Cover the Windows and the Walls,https://open.spotify.com/album/6FDT9qQNRT6ntiEhTI8SI6,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,347453,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Difference (Voices),https://open.spotify.com/track/14FUKDzHnmJQc9leR0ripj,The Man Who Died in His Boat,https://open.spotify.com/album/2arK6QEmfa25k2feNozs9e,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2024-07-02,348226,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Disengaged,https://open.spotify.com/track/3c7CEnNLplZu4C11H6xBkl,Dragging a Dead Deer Up a Hill,https://open.spotify.com/album/0r1ffFQRFvtthTdLV2ZPWL,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,256825,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Disordered Minds,https://open.spotify.com/track/4vI3Dngn2KjBZmEVzfHVDb,Shade,https://open.spotify.com/album/1w3EOCPDwqWIiu2c1pHylJ,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,274999,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Down to the Ocean,https://open.spotify.com/track/0Eci42j6D7tsAVhOVlSuk2,Cover the Windows and the Walls,https://open.spotify.com/album/6FDT9qQNRT6ntiEhTI8SI6,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-30,367720,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Dragging the Streets - First Heart Tone,https://open.spotify.com/track/7xpVS1KQiRFWgZGi1bdijA,A I A: Dream Loss,https://open.spotify.com/album/5l4dgQzaAkmbTpueLhSR3q,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,380226,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Driving,https://open.spotify.com/track/3Wgm9FhrruO71VDFA6kxgj,Grid of Points,https://open.spotify.com/album/5wy223m8JP5DBOvgumFgN8,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-06-12,228000,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Fallow,https://open.spotify.com/track/6sgr20vGQkBEHg0fXhz4EJ,Inca Ore / Grouper,https://open.spotify.com/album/2oztVYt7jDJBTysn00vM6E,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,247093,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Fishing Bird (Empty Gutted in the Evening Breeze),https://open.spotify.com/track/637sViSUUQTBice1wmz5id,Dragging a Dead Deer Up a Hill,https://open.spotify.com/album/0r1ffFQRFvtthTdLV2ZPWL,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,231800,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Followed the ocean,https://open.spotify.com/track/7nDGJYN5fltv5bUk9spwnD,Shade,https://open.spotify.com/album/1w3EOCPDwqWIiu2c1pHylJ,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-06-01,174874,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Headache,https://open.spotify.com/track/4EDj8GXOlI45vG4SOfswK3,Paradise Valley,https://open.spotify.com/album/5e5MtmjBRnh3eI5g5C0Tyv,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-05-29,304460,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
Heart Current,https://open.spotify.com/track/7kdGOznQ3wZO2lvFFtWxsf,Cover the Windows and the Walls,https://open.spotify.com/album/6FDT9qQNRT6ntiEhTI8SI6,Grouper,https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,2022-06-23,281386,2022-05-30,"This is Grouper. The essential tracks, all in one playlist.",This Is Grouper
