track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't You Had Enough Love,https://open.spotify.com/track/56xlTwqeWKIsw68ZOMzmp7,Living All Alone,https://open.spotify.com/album/1iOHlsTOydpJYP3kIuuwYD,"Phyllis Hyman, Nick Martinelli","https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv, https://open.spotify.com/artist/4gt6myR7cf8PiupMaIEx9U",2022-05-25,252520,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
And That Would Be,https://open.spotify.com/track/6I2am1m8OjUZgBIMpPS6oP,Groove with You,https://open.spotify.com/album/5C5cXCxtz0QrrwNRsSpVRZ,Phyllis Hyman,https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv,2024-11-03,299866,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
As You Are (feat. Phyllis Hyman),https://open.spotify.com/track/4szHa9dRhiy3tJ1Jf5jz2V,Love Will Find a Way (Expanded Edition),https://open.spotify.com/album/0orhXwlJ4LCfDwMYVAXsdW,"Pharoah Sanders, Phyllis Hyman","https://open.spotify.com/artist/3JLUCojZaHrX2LaUkSj7Ud, https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv",2022-05-25,308986,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
"Baby (I'm Gonna Love You) - 7"" Version",https://open.spotify.com/track/5TnLtfz0X6Z1Sou7UiJrWJ,Phyllis Hyman (Expanded Edition),https://open.spotify.com/album/5CNAoF5myCR0foNabbyld2,Phyllis Hyman,https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv,2022-06-13,231413,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
Back To Paradise,https://open.spotify.com/track/3ZVcOxMoq1cIRj7pXTBcGO,I Refuse To Be Lonely,https://open.spotify.com/album/5ZL0TvoU13FleSFEGSbqPc,Phyllis Hyman,https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv,2022-06-06,290026,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
Be Careful (How You Treat My Love),https://open.spotify.com/track/5HZBeOoFFy9yO5mzq6fgeK,Somewhere In My Lifetime (Expanded),https://open.spotify.com/album/3KRmacfnU7BPbkQPRODzEw,Phyllis Hyman,https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv,2023-12-17,256786,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
Be Careful (How You Treat My Love),https://open.spotify.com/track/5rPFEVyqIztyj80EolIn4S,The Essential Phyllis Hyman,https://open.spotify.com/album/6VUEth5sqgE8jceRauguLC,Phyllis Hyman,https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv,2022-05-25,257066,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
Be One,https://open.spotify.com/track/1EF7lcwgxH3Np3fcE3v81t,School Daze (Original Motion Picture Soundtrack),https://open.spotify.com/album/4J3xFfnjMRpHtyf5PjILtT,Phyllis Hyman,https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv,2022-05-27,276160,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
Beautiful Man of Mine,https://open.spotify.com/track/35NPXOAZeNlu6WMRfJAA8m,Phyllis Hyman (Expanded Edition),https://open.spotify.com/album/5CNAoF5myCR0foNabbyld2,Phyllis Hyman,https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv,2022-05-25,418120,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
Betcha by Golly Wow (feat. Phyllis Hyman) - Remastered,https://open.spotify.com/track/2r9qFtnF0Iq41I5HlsPfdW,You Are My Starship,https://open.spotify.com/album/0whQoF11EIgNxK3FntxLCU,"Norman Connors, Phyllis Hyman","https://open.spotify.com/artist/54bbmw5qZiMf23TTmm6ojR, https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv",2022-05-25,382200,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
Black And Blue (with Phyllis Hyman feat. Tom Scott) - Digitally Remastered: 1996,https://open.spotify.com/track/18HuoV25f636YINxzO5p53,Swing Street,https://open.spotify.com/album/402g6pypGOQN7AniaMpY1v,"Barry Manilow, Tom Scott, Phyllis Hyman","https://open.spotify.com/artist/3alW3LYQS8K29z8C8NSLIX, https://open.spotify.com/artist/72ktMty33X1LsIzHdRr0U5, https://open.spotify.com/artist/3oqSDVaf6RoBGreqOlgUpv",2023-01-02,243200,2022-05-26,"This is Phyllis Hyman. The essential tracks, all in one playlist.",This Is Phyllis Hyman
