track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
.,https://open.spotify.com/track/4r1AqGpB9YrXV2ivcrqfJY,if i could make it go quiet,https://open.spotify.com/album/69p42ovQdwmYPLUsAQpeNn,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,166240,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
4am,https://open.spotify.com/track/75enpZYDT6k0PNKu6SJ4W5,4am,https://open.spotify.com/album/5MBdFr25fkVqYMDCGWyvTT,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,110861,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
A Night To Remember,https://open.spotify.com/track/0OAye4UT21h2iC72vGVuqC,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-04-14,170107,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
bad idea!,https://open.spotify.com/track/1HRTFytvp1Bs50ckTlL5qs,chapter 2,https://open.spotify.com/album/2PjloAS981jof5y1KEhOPb,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-12-13,219638,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
bad idea!,https://open.spotify.com/track/57j65yC2HggQfmYNc6rdOK,bad idea!,https://open.spotify.com/album/4AEKKY9Sny3Uj6U3ELK4Sl,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,219638,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Body And Mind,https://open.spotify.com/track/6GFrELGVKBXRcrTNkwjSfF,if i could make it go quiet,https://open.spotify.com/album/69p42ovQdwmYPLUsAQpeNn,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,186672,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
dead girl in the pool.,https://open.spotify.com/track/0g9BOSeEnmv7L2qoFQKyBB,dead girl in the pool.,https://open.spotify.com/album/7vWkk6Bzs6hwPGwPY3cgTo,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,186642,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
DOING IT AGAIN BABY,https://open.spotify.com/track/2DBRVoyZs0Q2kj0ePAVEEZ,DOING IT AGAIN BABY,https://open.spotify.com/album/1ER3PB0CgzxRprzl67AAhz,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-03-09,145272,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
DOING IT AGAIN BABY,https://open.spotify.com/track/6LK3rmeoEfVYtH8B6qbwZg,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-05-08,145272,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
forget her,https://open.spotify.com/track/5vFuoZLvUmAzzIiLSEhk0K,we fell in love in october / October Passed Me By,https://open.spotify.com/album/7vud0sY43VTv28MbWiglDa,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,143355,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Girlfriend Is Better,https://open.spotify.com/track/42APulJOnvAk8aj7WhzImT,Girlfriend Is Better,https://open.spotify.com/album/0NE7g8mQKHZ43DqGvmEFg6,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-04-26,185333,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
girls,https://open.spotify.com/track/04OSnqlwlBJMvidYccraVz,girls,https://open.spotify.com/album/0UvjTChu7cW8uJ6Cwp8173,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,198400,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
i need to be alone.,https://open.spotify.com/track/2wHmH8OGgU6qi8NrLl0VRY,i need to be alone.,https://open.spotify.com/album/3UN8IYnBeUlkCjdb7B34EY,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,176500,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
i wanna be your girlfriend,https://open.spotify.com/track/5PjdC2gMATetx5xdnwGUu7,i wanna be your girlfriend,https://open.spotify.com/album/14cEutEbb3i2vDp3ZopdJf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,204990,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
I'll Call You Mine,https://open.spotify.com/track/6rYgEHuyhO064Lgj48qlIe,if i could make it go quiet,https://open.spotify.com/album/69p42ovQdwmYPLUsAQpeNn,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,201945,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
i'll die anyway.,https://open.spotify.com/track/14tud1FLjpHMYHpD2c7NbO,i'll die anyway.,https://open.spotify.com/album/4Zt3XT3vADR97nZGrFoSOY,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,192612,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
I'm Back,https://open.spotify.com/track/0tduSYti0mY7p8j5AIO4Pg,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-04-14,179791,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Kate's Not Here - Day Wave & Lawrence Rothman Remix,https://open.spotify.com/track/5gEni4dmBqme8fyPcyWYiK,Kate's Not Here (Day Wave & Lawrence Rothman Remix),https://open.spotify.com/album/6IfpI7WFbi1LR0EyWMFo9x,"Lawrence Rothman, Day Wave, girl in red","https://open.spotify.com/artist/2Jn2Lx4gkmqFZN1t90Vp5N, https://open.spotify.com/artist/4ptJIIR10UVlGjN0VntFaK, https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9",2023-03-17,187364,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
midnight love,https://open.spotify.com/track/32XaqPVTVkkuOiOPQZ3SpA,if i could make it go quiet,https://open.spotify.com/album/69p42ovQdwmYPLUsAQpeNn,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,193928,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
New Love,https://open.spotify.com/track/1WFNU6zWFu5BpSiQOAVTAO,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-04-14,172007,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
October Passed Me By,https://open.spotify.com/track/0AjcdGri5vhJsmZnduCEqd,October Passed Me By,https://open.spotify.com/album/6XtlrNlPUFHcpLS7ImjG3E,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,165746,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Phantom Pain,https://open.spotify.com/track/2X05EASOuBv6aRQRJoGI1i,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-04-14,171745,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Pick Me,https://open.spotify.com/track/5ZNxEg7CJo2zSdOXLrv1kW,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-04-14,182913,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
say anything,https://open.spotify.com/track/14x3OHwwyfDz0S9u1IxGRf,say anything,https://open.spotify.com/album/6uwwBscD3q3ZGNTezjvvEL,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,142700,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Say It - Spotify Studio Oyster Recording,https://open.spotify.com/track/2k6qMVHTTzR5tJDjf1855E,Say It - Spotify Studio Oyster Recording,https://open.spotify.com/album/16BMvFgwCXraSyFnGONJIc,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,173175,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Serotonin,https://open.spotify.com/track/7tLTxOJY6cjQz4aJYMs8Nu,if i could make it go quiet,https://open.spotify.com/album/69p42ovQdwmYPLUsAQpeNn,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,182426,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
something new,https://open.spotify.com/track/5HGZJeGaJsHHgKy95BAai0,MOOMINVALLEY 2 (Official Soundtrack),https://open.spotify.com/album/2SuMYxHuybyoaBLSDkQ5Rc,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-06-24,205591,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Stay - Spotify Singles,https://open.spotify.com/track/2MLapVzHNgZit4tTGkfAcf,Spotify Singles,https://open.spotify.com/album/6H1GSOFY2sL863KbEYUq5c,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,175003,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
summer depression,https://open.spotify.com/track/3SEZEyvEALlomED5xFeqOs,summer depression,https://open.spotify.com/album/1zkm5i2BQpuDLJrIJy12VR,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,151693,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Too Much,https://open.spotify.com/track/36FZL9SzRh5BhtG1cUyGWr,Too Much,https://open.spotify.com/album/1hb46dctiqHMNrp3QGXwKr,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-02-10,183473,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Too Much,https://open.spotify.com/track/49oNAMh9RBScs4HXZJgvgl,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-06-04,183473,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
two queens in a king sized bed,https://open.spotify.com/track/2dP8R44P2Lo3hdyevbYFfy,two queens in a king sized bed,https://open.spotify.com/album/6CHnC6lp4ZR9F8iKECQOII,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,190944,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
Ugly Side,https://open.spotify.com/track/43bVi48NVZVDClxsXksTtC,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2024-04-14,174847,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
watch you sleep.,https://open.spotify.com/track/6tMwheKgpMHBcHtr8aYMn8,watch you sleep.,https://open.spotify.com/album/788Q6tUcihFxDsOGGeyuFE,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,180225,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
we fell in love in october,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october / forget her,https://open.spotify.com/album/4oRcMHsdNG9IAF3xwv1kWu,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,184153,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
You Need Me Now? (feat. Sabrina Carpenter),https://open.spotify.com/track/34qaGPDvfWqp3F4iD5nGhf,I'M DOING IT AGAIN BABY!,https://open.spotify.com/album/5QaKu3YoUJNglyaKixaegf,"girl in red, Sabrina Carpenter","https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9, https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B",2024-05-28,186377,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
You Need Me Now? (feat. Sabrina Carpenter),https://open.spotify.com/track/3zPGZBbZEGqu7eY7R0NkqI,You Need Me Now? (feat. Sabrina Carpenter),https://open.spotify.com/album/26H0jinpdi0RSrZq90fNMF,"girl in red, Sabrina Carpenter","https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9, https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B",2024-03-23,186377,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
You Stupid Bitch,https://open.spotify.com/track/65wEZxhPlAERKLcSbTD7qc,if i could make it go quiet,https://open.spotify.com/album/69p42ovQdwmYPLUsAQpeNn,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,2023-03-17,195951,2023-03-18,"This is girl in red. The essential tracks, all in one playlist.",This Is girl in red
