track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""Lamba Do Ska"" (Llorando Se Fue)",https://open.spotify.com/track/6KNGqIRhE44Cf56dvcgi1l,Ska a La Carta,https://open.spotify.com/album/2h8m3JO1mo6Kew8UEQDtPd,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,228400,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Alma En Fuego,https://open.spotify.com/track/5Jk1TpnDH4MzaOg05NMiKO,"Unidad, Cerveza y Ska",https://open.spotify.com/album/54LTjGhFJR2kn8gqlQTgGd,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,247160,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Amar O Morir,https://open.spotify.com/track/0WGw8hRQjJFwz0fNyrj91A,Inspección Retroacústica,https://open.spotify.com/album/6BPO85IdQxuZ1TtoiM7ysk,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,236720,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Amargo Adiós,https://open.spotify.com/track/0zCOT028cU3DeCqN1G18wE,Alma En Fuego,https://open.spotify.com/album/6xwImhyXk9H1xYsccwKPIk,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,228426,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Amnesia,https://open.spotify.com/track/41xb9U5PEsvZYLKFW50xCZ,Alma En Fuego,https://open.spotify.com/album/6xwImhyXk9H1xYsccwKPIk,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,241626,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Araña Ska,https://open.spotify.com/track/6oseawKMHtK8WzEy0mcsUI,Blanco y Negro,https://open.spotify.com/album/7qhAkyX27LQoUTrveQmika,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2024-02-12,154897,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Aunque No Sea Conmigo,https://open.spotify.com/track/6PpQWsbpTgmI7sk2iivhrK,Aunque No Sea Conmigo,https://open.spotify.com/album/0SAqqwdLfhwadQIveMQDRG,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-27,251680,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Besame Mucho,https://open.spotify.com/track/4XMGgtLvkOOfNzS3PNcsvY,Inspector,https://open.spotify.com/album/3q5bV5Fq3XEzbW5a0mAfcB,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,223146,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Blanco y Negro,https://open.spotify.com/track/0FqsUf0mLzE7anwGwDiwQA,Blanco y Negro,https://open.spotify.com/album/7qhAkyX27LQoUTrveQmika,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,146065,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
Breve Historia de Alcohol y una Mujer,https://open.spotify.com/track/7tZ55W74vP6fxBZVBp4rxW,Páginas en Blanco,https://open.spotify.com/album/5UUTz6uw8xlU6V56pBXW8G,Inspector,https://open.spotify.com/artist/4OiCK9NnTWhakDIG57uBUA,2023-01-14,201484,2023-01-14,"This is Inspector. The essential tracks, all in one playlist.",This Is Inspector
