track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
11 O'Clock Tick Tock - Songs Of Surrender,https://open.spotify.com/track/7wAbGha9YKADhOCmNRnlu1,Songs Of Surrender,https://open.spotify.com/album/3fqPfbVHsvdpovpJXOJlvU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-03-19,238423,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
All I Want Is You,https://open.spotify.com/track/34sL4eaI8UKWOyYpCvoboU,Rattle And Hum,https://open.spotify.com/album/7hIoJcH4ObWasDFq78u1x9,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,389933,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Atomic City,https://open.spotify.com/track/0Zp4PR3jLHfxcXdBdRLh7M,Atomic City,https://open.spotify.com/album/5ghPJVqhDvidfznC4O7tW3,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-10-10,210842,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Bad - Edit,https://open.spotify.com/track/3fOsKEaGwhp9TRgJnrMA2z,The Best Of 1980 - 1990,https://open.spotify.com/album/0WSpHK6tinGHU4gvP8fHih,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,349506,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Bad - Remastered 2009,https://open.spotify.com/track/6TQ7XVKcCQcfCEmv0QYYV8,The Unforgettable Fire (Remastered),https://open.spotify.com/album/3FFosIE1A9HGRrinKTcBQ3,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-02-03,368440,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Bad - Songs Of Surrender,https://open.spotify.com/track/2Xnbnmo8pIBbfkcgEBVydz,Songs Of Surrender,https://open.spotify.com/album/3fqPfbVHsvdpovpJXOJlvU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-03-24,331913,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Beautiful Day,https://open.spotify.com/track/0gzqZ9d1jIKo9psEIthwXe,All That You Can't Leave Behind,https://open.spotify.com/album/7a5U0GPoAvT3gvEY66FRuN,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,248400,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Bullet The Blue Sky,https://open.spotify.com/track/12w7q5JN7tf22TzQtQiiBN,The Joshua Tree (Super Deluxe),https://open.spotify.com/album/5y6wlw1LnqFnQFruMeiwGU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-06-11,271546,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Bullet The Blue Sky - Remastered 2007,https://open.spotify.com/track/1C6Tmo58WMtnAPdxYz9qCz,The Joshua Tree,https://open.spotify.com/album/5vBZRYu2GLA65nfxBvG1a7,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-12-27,271546,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
City Of Blinding Lights,https://open.spotify.com/track/2R3wzFFjNYc1z3PSoO8FNV,How To Dismantle An Atomic Bomb,https://open.spotify.com/album/5PQPur1PEZFDkI0AXbxFlB,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,345706,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Country Mile,https://open.spotify.com/track/5oD7ZW1uUJL2QMQ4cQyNJ0,Country Mile / Picture Of You (X+W),https://open.spotify.com/album/52GkmdDV5MIcPBgo5L4zFk,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-09-29,298246,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Desire,https://open.spotify.com/track/4D01oA1mGouaAT7fubvKRT,Rattle And Hum,https://open.spotify.com/album/7hIoJcH4ObWasDFq78u1x9,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,179360,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Dirty Day - Bitter Kiss / Remastered 2024,https://open.spotify.com/track/3sTp2O4tnaMl2yQEAXLMyH,Please,https://open.spotify.com/album/1jmFAkO4iGbznWncVkF99A,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-06-04,274888,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Discotheque,https://open.spotify.com/track/3IrhUrZKAkJ8LsFtH71fOT,Pop,https://open.spotify.com/album/5mojJwWgWNJcY3odUGgQc3,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-01-21,318666,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Electrical Storm - Songs Of Surrender,https://open.spotify.com/track/38TuPQLkiKQMTcOd2e81RG,Songs Of Surrender,https://open.spotify.com/album/3fqPfbVHsvdpovpJXOJlvU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-04-08,253533,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Electrical Storm - William Orbit Mix,https://open.spotify.com/track/3gkijt6bxk8ts6S2RCEu4n,The Best Of 1990-2000,https://open.spotify.com/album/5I099NUhbRrXaxnxQagElv,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-11-16,277466,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Elevation,https://open.spotify.com/track/4BC2WQKrZdqMX6rHsvVbUy,All That You Can't Leave Behind,https://open.spotify.com/album/7a5U0GPoAvT3gvEY66FRuN,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,226626,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Even Better Than The Real Thing,https://open.spotify.com/track/4bK2vKMdkS0rNhbzRqAZe0,Achtung Baby (Deluxe Edition),https://open.spotify.com/album/0ta5VdkJcpdVnNrn7g4cZe,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,221373,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Everlasting Love,https://open.spotify.com/track/2e3kaO7DTPQ7kZJ6wGwcLo,The Best Of 1980-1990 & B-Sides,https://open.spotify.com/album/205bQLiKXCiUIt3HKlcBUb,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,199333,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Every Breaking Wave,https://open.spotify.com/track/4z5eLUR8oCbRywMw1ytNol,Songs Of Innocence (Deluxe),https://open.spotify.com/album/6wQXpkptAIZPzNf5H0SA10,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,252162,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Evidence Of Life,https://open.spotify.com/track/07dFzyGKYuqyrRD6R30YMP,How To Re-Assemble An Atomic Bomb,https://open.spotify.com/album/5v40ooLLTSBTCuGPnxt4MJ,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-12-11,186057,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Get Out Of Your Own Way,https://open.spotify.com/track/4nXYb4yc3c1a3NWqdpDrnd,Songs Of Experience (Deluxe Edition),https://open.spotify.com/album/6S9YaGXnmRe8tWJ0e457HP,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,238293,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Get Out Of Your Own Way - Songs Of Surrender,https://open.spotify.com/track/5e3v1Ulz5O6j09dmry1KgB,Songs Of Surrender,https://open.spotify.com/album/3fqPfbVHsvdpovpJXOJlvU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-03-20,207046,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Gloria - Remastered 2008,https://open.spotify.com/track/2HAJf8ZoSXeHfmcC8mS7nj,October (Deluxe Edition Remastered),https://open.spotify.com/album/59O7CFxLYBBKYtrO61LyqF,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-06-30,252720,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Happiness,https://open.spotify.com/track/4bMiqeOGu8szuBoJ2SYVCR,Happiness,https://open.spotify.com/album/3DzHyRbyjAQiaFuBq7TjG1,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-10-31,269766,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",https://open.spotify.com/track/5TsHqbDKaSs4ECZX0045YS,The Best Of 1990-2000,https://open.spotify.com/album/5I099NUhbRrXaxnxQagElv,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,284600,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
I Don't Wanna See You Smile,https://open.spotify.com/track/4dYVLivRLdGpSPqsvZ2HVs,How To Re-Assemble An Atomic Bomb,https://open.spotify.com/album/5v40ooLLTSBTCuGPnxt4MJ,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-12-06,197346,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
I Still Haven't Found What I'm Looking For,https://open.spotify.com/track/6wpGqhRvJGNNXwWlPmkMyO,The Joshua Tree (Super Deluxe),https://open.spotify.com/album/5y6wlw1LnqFnQFruMeiwGU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,277476,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
I Will Follow - Remastered 2008,https://open.spotify.com/track/0T702y9ndzZTnPq1bqiAM2,Boy (Deluxe Edition Remastered),https://open.spotify.com/album/4YCjEFs1aDmcilTMbqMwjY,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,217386,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
I'll Go Crazy If I Don't Go Crazy Tonight,https://open.spotify.com/track/6Bxd6SGnWO0bTWCDYh4ZWk,No Line On The Horizon,https://open.spotify.com/album/5yqMA7IvahYJc53ewRAMnP,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,253946,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
If God Will Send His Angels,https://open.spotify.com/track/3VefJ4Kkzy8zeOFK8omiOd,Pop,https://open.spotify.com/album/5mojJwWgWNJcY3odUGgQc3,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,322466,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
In A Little While,https://open.spotify.com/track/1NBf3nsIIaBTikQzV5hICg,All That You Can't Leave Behind,https://open.spotify.com/album/7a5U0GPoAvT3gvEY66FRuN,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,220733,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
In God's Country,https://open.spotify.com/track/1AQYE6CcYKlzM8e9Df5i1g,The Joshua Tree (Super Deluxe),https://open.spotify.com/album/5y6wlw1LnqFnQFruMeiwGU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,176596,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Invisible - (RED) Edit,https://open.spotify.com/track/1zU1hssVqbyepuLza1qmgO,Invisible - (RED) Edit,https://open.spotify.com/album/6aGUWIKg6BA37SB3gwOAUZ,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-11-17,226670,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Invisible - Songs Of Surrender,https://open.spotify.com/track/40EiOxrNDU2DObDLOgcbdw,Songs Of Surrender,https://open.spotify.com/album/3fqPfbVHsvdpovpJXOJlvU,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-03-19,263919,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Iris (Hold Me Close),https://open.spotify.com/track/7kbQE1Xbyf7kvcn4DVICiR,Songs Of Innocence,https://open.spotify.com/album/7DY6v8qiyQcsTCqUWjH7pS,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-12-12,319457,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Kite,https://open.spotify.com/track/4Wjaa3vx2BiLGF01AZMlHb,All That You Can't Leave Behind,https://open.spotify.com/album/7a5U0GPoAvT3gvEY66FRuN,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,264333,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Last Night On Earth - Single Version / Remastered 2024,https://open.spotify.com/track/7Ctp5UnoabCQ9MLG6v8eKw,Last Night On Earth,https://open.spotify.com/album/0JB2aNVc7mUlwwz5qdl9zM,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-05-08,255942,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Lemon,https://open.spotify.com/track/3GtaFJ4Zx7TEBU8yUXtdOx,Zooropa,https://open.spotify.com/album/0IYjMBLA9PgtXyRPlLmTDE,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,416533,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Lights Of Home,https://open.spotify.com/track/2pguQFntKxYZNGvXvZVWDp,Songs Of Experience (Deluxe Edition),https://open.spotify.com/album/6S9YaGXnmRe8tWJ0e457HP,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-12-17,256893,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Love Is All We Have Left,https://open.spotify.com/track/20mcsmFnundXAD0T2DPWiW,Songs Of Experience (Deluxe Edition),https://open.spotify.com/album/6S9YaGXnmRe8tWJ0e457HP,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-07-20,161200,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Luckiest Man In The World,https://open.spotify.com/track/0SyEC4n2uU6OrRZRNxaogH,How To Dismantle An Atomic Bomb (Re-Assemble Edition),https://open.spotify.com/album/7o3k14ivnyWNPp6LM2NkgV,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-11-25,372805,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Magnificent,https://open.spotify.com/track/6u38x61qv7JBIJD4dqztmm,No Line On The Horizon,https://open.spotify.com/album/5yqMA7IvahYJc53ewRAMnP,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,324013,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Miracle Drug,https://open.spotify.com/track/2b6pyyrxfP79LhV2hLtTm4,How To Dismantle An Atomic Bomb,https://open.spotify.com/album/5PQPur1PEZFDkI0AXbxFlB,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-01-18,234013,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Miracle Drug - Remastered 2024,https://open.spotify.com/track/2FhBsHGHaOgBDYLU1wN5Lk,How To Dismantle An Atomic Bomb (Re-Assemble Edition),https://open.spotify.com/album/7o3k14ivnyWNPp6LM2NkgV,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-11-29,238040,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Moment Of Surrender,https://open.spotify.com/track/2PwwiKJYMYbuWh7j5yAbwT,No Line On The Horizon,https://open.spotify.com/album/5yqMA7IvahYJc53ewRAMnP,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2024-05-18,444306,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Mysterious Ways,https://open.spotify.com/track/50JK22El2PTIzZBU2liLDI,Achtung Baby (Deluxe Edition),https://open.spotify.com/album/0ta5VdkJcpdVnNrn7g4cZe,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,243586,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
New Year's Day,https://open.spotify.com/track/2CwMxEXxMiLRrKPLjQLmne,The Best Of 1980 - 1990,https://open.spotify.com/album/0WSpHK6tinGHU4gvP8fHih,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-25,257040,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Numb,https://open.spotify.com/track/14QtCWJaRgMj6dkUs6dkcT,Zooropa,https://open.spotify.com/album/0IYjMBLA9PgtXyRPlLmTDE,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2023-07-12,259200,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
October - Remastered 2008,https://open.spotify.com/track/1UlQqRd3NoMYUI29v6DFb5,October (Deluxe Edition Remastered),https://open.spotify.com/album/59O7CFxLYBBKYtrO61LyqF,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,141040,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
One,https://open.spotify.com/track/3Lk7RWStfLaHG7lXsuS87j,The Breakthrough,https://open.spotify.com/album/13HYuDhB1soZvHzwoymXoV,"Mary J. Blige, U2","https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr, https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ",2022-10-24,260466,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
One,https://open.spotify.com/track/3G69vJMWsX6ZohTykad2AU,Achtung Baby (Deluxe Edition),https://open.spotify.com/album/0ta5VdkJcpdVnNrn7g4cZe,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,276186,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Ordinary Love - Extraordinary Mix,https://open.spotify.com/track/5K8cyMKcnG4rx5ocW3u7OW,Songs Of Experience (Deluxe Edition),https://open.spotify.com/album/6S9YaGXnmRe8tWJ0e457HP,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,227173,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
Original Of The Species,https://open.spotify.com/track/6ml01NkC9AfM4OICOtRxEY,How To Dismantle An Atomic Bomb,https://open.spotify.com/album/5PQPur1PEZFDkI0AXbxFlB,U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,2022-10-24,274120,2022-10-25,"This is U2. The essential tracks, all in one playlist.",This Is U2
