track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1800 Degrees,https://open.spotify.com/track/0EShjURNsCxbi5JpZjqCNG,Vulture Love Presents: The Last Zombies on Earth,https://open.spotify.com/album/1f0CTYUfYgfehhyKnR4noN,"Vulture Love, Kodak Black","https://open.spotify.com/artist/021z3GxpIYc4ykwfHY5G5O, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7",2024-06-10,155712,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
2'CY,https://open.spotify.com/track/3R0SI46gC5a9BfFKXtbtSo,2'CY,https://open.spotify.com/album/1OeImrfH0v0zDItzvbov9y,Kodak Black,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,2023-11-10,179141,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
300 Blackout,https://open.spotify.com/track/3y3NwQPQAjKCunRz2eKggA,Kutthroat Bill: Vol. 1,https://open.spotify.com/album/3QA68hsAUFPxoys8NGNtjs,Kodak Black,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,2022-10-29,166494,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
7 AM in Munich (feat. Kodak Black),https://open.spotify.com/track/0gCyzW9xyAWSGtyHZ9g9bE,Mr. Skii,https://open.spotify.com/album/4XqpSvwcjnoR5YP5lBLuTi,"Luh Tyler, Kodak Black","https://open.spotify.com/artist/1K15GRZZATsCJyGJ4bYiEz, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7",2024-11-01,183491,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
7 AM in Munich (feat. Kodak Black),https://open.spotify.com/track/3PAIxVjEOsD8mYAih8etrm,7 AM in Munich (feat. Kodak Black),https://open.spotify.com/album/7hjPN0PUgbdBAvgX3el4RZ,"Luh Tyler, Kodak Black","https://open.spotify.com/artist/1K15GRZZATsCJyGJ4bYiEz, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7",2024-08-30,183491,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
"Air (feat. Kodak Black, Future)",https://open.spotify.com/track/5HTz5BNGKK78RuEK6QkFFj,"Air (feat. Kodak Black, Future)",https://open.spotify.com/album/0hQb42GMRbOqhWhYYGzg6G,"Jflexxx, Kodak Black, Future","https://open.spotify.com/artist/4T6xxsoAF89NuOi6JzDboR, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7, https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i",2024-08-27,210144,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
All That (with Kodak Black),https://open.spotify.com/track/4pE1289TEn8kZ87N08lPOp,Survivor's Remorse: A Side & B Side,https://open.spotify.com/album/7i1M24FtpfeRmaztP15sDU,"G Herbo, Kodak Black","https://open.spotify.com/artist/5QdEbQJ3ylBnc3gsIASAT5, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7",2022-10-28,109281,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
Already,https://open.spotify.com/track/3XoMtVDuIbmMQ9UKSShXti,Institution,https://open.spotify.com/album/4J5QtgOhv6tPCsxxifVskj,Kodak Black,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,2022-10-28,241658,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",https://open.spotify.com/track/1vvcEHQdaUTvWt0EIUYcFK,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]",https://open.spotify.com/album/3hPyxRi49jls3gU6Si8JdF,"Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long, Fast & Furious: The Fast Saga","https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7, https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ, https://open.spotify.com/artist/1oSPZhvZMIrWW5I41kPkkY, https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK, https://open.spotify.com/artist/7tjVFCxJdwT4NdrTmjyjQ6, https://open.spotify.com/artist/1lpOgw56wZLDa8gaP6bSIs",2023-05-20,175802,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",https://open.spotify.com/track/5qyjy0xfsHNzWxvXkHVB85,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]",https://open.spotify.com/album/6aHHJHhyAt6fBWwc7baiCw,"Jimin, JVKE, Fast & Furious: The Fast Saga, Kodak Black, NLE Choppa, Muni Long","https://open.spotify.com/artist/1oSPZhvZMIrWW5I41kPkkY, https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK, https://open.spotify.com/artist/1lpOgw56wZLDa8gaP6bSIs, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7, https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ, https://open.spotify.com/artist/7tjVFCxJdwT4NdrTmjyjQ6",2023-05-11,62789,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
Bonafide,https://open.spotify.com/track/2aAvIth7n5CkDMdoMpm8mp,Gift For The Streets,https://open.spotify.com/album/2XRIFNw0ODKJ4GO3DwjOBE,Kodak Black,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,2025-01-04,189687,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
BROTHER STONE (FEAT. KODAK BLACK),https://open.spotify.com/track/093MlZS93ZKlHpGkmb3k3W,HARDSTONE PSYCHO,https://open.spotify.com/album/0Kzb3u6kMnOJOZXYFSk33F,"Don Toliver, Kodak Black","https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7",2024-07-14,202840,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
BROTHER STONE (FEAT. KODAK BLACK),https://open.spotify.com/track/0l3raueiJ78IsmZGwo6CRm,BROTHER STONE (FEAT. KODAK BLACK),https://open.spotify.com/album/0LWTY98ijfILoFHupcQJKE,"Don Toliver, Kodak Black","https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs, https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7",2024-06-17,202840,2022-10-29,"This is Kodak Black. The essential tracks, all in one playlist.",This Is Kodak Black
