track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Adrenaline,https://open.spotify.com/track/0KCeHr5HbTyj3GQ4mzCXgW,NSFW,https://open.spotify.com/album/0HFmXICO7WgVoqLAXc7Rhw,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2025-02-11,132110,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Ayo,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE,Fan of A Fan The Album (Expanded Edition),https://open.spotify.com/album/4neocSMt40stXKK2B8Sy2G,"Chris Brown, Tyga","https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,225226,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Ayy Ladies (feat. Tyga),https://open.spotify.com/track/4P6BuLsqtg5uISdE77ypI9,From Day 1,https://open.spotify.com/album/7co2UrRxl2TBgj3BCXIvnC,"Travis Porter, Tyga","https://open.spotify.com/artist/6z1cicLMt9XArxN10q7m8a, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,211293,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Ayy Macarena,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,https://open.spotify.com/album/3Cse4lihKX7ww99QnZGQAh,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2023-06-07,131606,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
BIRTHDAY,https://open.spotify.com/track/1upSmzMw8d6DfAYkgXSCQ5,BIRTHDAY,https://open.spotify.com/album/74DRp3ZapBKDdPmZ0zMc74,"Saweetie, YG, Tyga","https://open.spotify.com/artist/6cK3NBO6uP7hh0oyuVELFl, https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-08-27,175112,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
BIRTHDAY,https://open.spotify.com/track/2D5ypcnrsnwxH2cWwfiNi6,BIRTHDAY,https://open.spotify.com/album/5pYIALUa0XecJLrch7EJpl,"Saweetie, YG, Tyga","https://open.spotify.com/artist/6cK3NBO6uP7hh0oyuVELFl, https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-07-30,175112,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Bitches N Marijuana (feat. ScHoolboy Q),https://open.spotify.com/track/3PiLfzEXHrvT1oJKR8PAJt,Fan of A Fan The Album (Expanded Edition),https://open.spotify.com/album/4neocSMt40stXKK2B8Sy2G,"Chris Brown, Tyga, ScHoolboy Q","https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m",2023-06-07,254693,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Blessed (with Tyga),https://open.spotify.com/track/3eKLbe124mzIRFPuwCnJAD,ALPHA,https://open.spotify.com/album/2UA2lqBPIhOFnvHszOVIaq,"Shenseea, Tyga","https://open.spotify.com/artist/1OFOShsIbhy1l5x73yuVyB, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,145813,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Booty Dancer,https://open.spotify.com/track/4qdHoLbbIDaaWytfsBK62p,Booty Dancer,https://open.spotify.com/album/5fG5ECAPTouiAMqHiIjHrP,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2023-06-07,140982,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Bops Goin Brazy,https://open.spotify.com/track/1A8bKLSq6A4OboABhnDN6Q,Bops Goin Brazy,https://open.spotify.com/album/4xmCPyhSVSiLPGpWxrUQ1S,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2023-09-21,128367,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Bouncin On My D*ck,https://open.spotify.com/track/3xJj1mU7B83yop2dA03Smk,#BitchImTheShit,https://open.spotify.com/album/6xJC9AbMpm4ebrTWz6Fd5S,"Tyga, Dash D Cadet","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/60N2qoNBFLTHNSBElNpANC",2024-11-11,195056,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Brand New,https://open.spotify.com/track/3MbOT5mzE94Ne0Hv51akoS,Brand New,https://open.spotify.com/album/0p82QxkLngaHhRkbET3IZ0,"Tyga, YG, Lil Wayne","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY, https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865",2023-11-10,182532,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
BUTTERFLY COUPE feat. Tyga,https://open.spotify.com/track/3HCDcijVzbd59yvVn0nLPY,BUTTERFLY COUPE feat. Tyga,https://open.spotify.com/album/4Lm3jQ2K459Vufnq6wHjn4,"Kalan.FrFr, Tyga","https://open.spotify.com/artist/47TMF0JlFsz01KilGzc5Ly, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-08-09,164848,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
California (from Songland) (feat. Tyga),https://open.spotify.com/track/0TLnTwqXslKsovat4bz0jp,California (from Songland) (feat. Tyga),https://open.spotify.com/album/2sFKXPYFWzNr3LGz9CaPzf,"USHER, Tyga","https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,175179,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Chosen (feat. Ty Dolla $ign),https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ,No Love Lost (Deluxe),https://open.spotify.com/album/7AwrgenNcTAJlJF3pKL0Qr,"Blxst, Tyga, Ty Dolla $ign","https://open.spotify.com/artist/4qXC0i02bSFstECuXP2ZpL, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq",2023-06-07,161684,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Chrome Hearted (feat. Tyga),https://open.spotify.com/track/7xNgrfKL4Ih82SbJIU9S1q,Chrome Hearted (feat. Tyga),https://open.spotify.com/album/5vrfdCvUGoxtqXBeGnY5qQ,"OHGEESY, Tyga","https://open.spotify.com/artist/3ppQEG71r7jVpI8RudzycF, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,153600,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Collide (feat. Tyga),https://open.spotify.com/track/22I3h5AOENlH4CqXJsEbFR,Collide (feat. Tyga),https://open.spotify.com/album/2LbrGt2oc08xV8IDJvLzYi,"Justine Skye, Tyga","https://open.spotify.com/artist/0jUQSUOcM7lxVn5eVGTkzQ, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,260169,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Collide (feat. Tyga),https://open.spotify.com/track/5kY2DRIom6dcVZbQb1SAX8,Dark Side,https://open.spotify.com/album/0FvZIwN0AHWYQVyuS3KR7H,"Justine Skye, Tyga","https://open.spotify.com/artist/0jUQSUOcM7lxVn5eVGTkzQ, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-09-18,260169,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Comfortable - Remix,https://open.spotify.com/track/5pkYVjstaM5ggccn417pzg,Comfortable (Remix),https://open.spotify.com/album/0boACLdefRAXstqsLWMAhT,"Behani, Tyga","https://open.spotify.com/artist/7vvFgDuVPeMioTFO7acxy0, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2024-09-16,169636,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Day One,https://open.spotify.com/track/3OLSNsjLlDxMIBCrGQSnJv,Day One,https://open.spotify.com/album/6Yj1mLYVWdQWTIgix1YYfi,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2023-06-07,148395,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Dennis Rodman (feat. Tyga),https://open.spotify.com/track/2N8jIpNMutjwnt50OroVVL,Floor Seats II,https://open.spotify.com/album/0QcZ0udPMK7JkcZW3ptDXV,"A$AP Ferg, Tyga","https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,198306,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Desce Pro Play (PA PA PA),https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,Desce Pro Play (PA PA PA),https://open.spotify.com/album/5dgSOOnRf2k9UJyijM9ZwV,"ZAAC, Anitta, Tyga","https://open.spotify.com/artist/76Xa625geVw0Q7BdyxNjA2, https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,168507,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Deuces (feat. Tyga & Kevin McCall),https://open.spotify.com/track/6wN4nT2qy3MQc098yL3Eu9,F.A.M.E. (Expanded Edition),https://open.spotify.com/album/6df0qvkMXoyHGt9J8cujZb,"Chris Brown, Tyga, Kevin McCall","https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/2teIxF2qgr0rYmTTMKiZ7s",2023-06-07,276560,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Dip (feat. Nicki Minaj),https://open.spotify.com/track/4hXDobvUaXyDFLnmecoY0z,Dip (feat. Nicki Minaj),https://open.spotify.com/album/32EKwnBISVjObigwvsBzcL,"Tyga, Nicki Minaj","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",2023-06-07,195991,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Dip (feat. Nicki Minaj),https://open.spotify.com/track/73xXDeBMlC5cdvWoOLWVLo,Legendary (Deluxe Edition),https://open.spotify.com/album/1dDfjR6KqXwa6I8XmPXnxr,"Tyga, Nicki Minaj","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",2023-12-19,195991,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Do It Again,https://open.spotify.com/track/72Bz4ciRZPBcVSw0nrZDHi,Do It Again,https://open.spotify.com/album/3kBBntDYL62xlqgnulskwv,"Pia Mia, Chris Brown, Tyga","https://open.spotify.com/artist/1BhWF9W2PngtPSyobKg0rP, https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,207746,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Don't Be Fooled,https://open.spotify.com/track/68nJfpn8kBhuasoaBqGmbQ,Don't Be Fooled,https://open.spotify.com/album/3fyfhnGmCGj7AiMc1aBfW2,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2024-11-18,194228,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Dumb,https://open.spotify.com/track/7byAZG2J1zIQSQxm5Ewxyl,NSFW,https://open.spotify.com/album/0HFmXICO7WgVoqLAXc7Rhw,"Tyga, Big Sean, Flo Milli","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh, https://open.spotify.com/artist/08PvCOlef4xdOr20jFSTPd",2025-02-09,134579,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Echoes Interlude,https://open.spotify.com/track/1Rn5ml0avILnI6UvUT3YZN,Careless World: Rise Of The Last King,https://open.spotify.com/album/65CquQgUA42ecr7n6bGtOI,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2023-09-21,54893,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Faded,https://open.spotify.com/track/2NRUU0gP1d8Yif8CpsCW8l,Careless World: Rise Of The Last King,https://open.spotify.com/album/3KHamR7LZmFT0xqPA1Hyob,"Tyga, Lil Wayne","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865",2023-06-07,206666,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Faded,https://open.spotify.com/track/4vULFpGH9sCBdCfCC6p3Xo,Careless World: Rise Of The Last King,https://open.spotify.com/album/68XdlVpTEpBtM2FBxROLva,"Tyga, Lil Wayne","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865",2024-11-27,211413,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Fantastic,https://open.spotify.com/track/7fdTVjOFYWyfUXXTpIL917,Fantastic,https://open.spotify.com/album/1N5NSxPMp1hpqwM5v5KIkz,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2023-06-07,172361,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Found Someone,https://open.spotify.com/track/2iYy47ISUsgUKwjqEIvss7,NSFW,https://open.spotify.com/album/0HFmXICO7WgVoqLAXc7Rhw,"Tyga, Cher","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/72OaDtakiy6yFqkt4TsiFt",2025-02-13,196254,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
FREAK,https://open.spotify.com/track/0HIj0uo7zaFIpkzUIkDlmL,FREAK,https://open.spotify.com/album/4FeCh8gOiKw8syCtXysELk,"Tyga, Megan Thee Stallion","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK",2023-06-08,174066,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Freaky Deaky,https://open.spotify.com/track/3vySEUpD0tc801F2WZDLYw,Freaky Deaky,https://open.spotify.com/album/05oVghsqITa33yHnbW7uPz,"Tyga, Doja Cat","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",2023-06-07,215281,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
"Fuego Del Calor (feat. Ozuna, Tyga & Capo Plaza)",https://open.spotify.com/track/7FX4EvQht57zUc2P313cEZ,"Fuego Del Calor (feat. Ozuna, Tyga & Capo Plaza)",https://open.spotify.com/album/6O7pWTHLRiNKcHPkonDJWz,"Scott Storch, Ozuna, Capo Plaza, Tyga","https://open.spotify.com/artist/4hadtPX6kKntrnA87Zdy01, https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY, https://open.spotify.com/artist/5SulO4l40qDuV9zUGLZx7n, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2023-06-07,196000,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
Get Me Litt,https://open.spotify.com/track/0vQkcuwAFnIuYmIQRCYNA8,Hit Me When U Leave The Klub: The Playlist,https://open.spotify.com/album/46ewpqal8NF1SSkarlK7FZ,"Tyga, YG","https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp, https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY",2023-11-10,134400,2023-06-08,"This is Tyga. The essential tracks, all in one playlist.",This Is Tyga
