track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't Gonna Cry,https://open.spotify.com/track/1ruq5HthT7RpJ56d2NFteL,Venom & Faith,https://open.spotify.com/album/3WV0ARVjtlpqJWZHsXVhWs,Larkin Poe,https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm,2023-08-02,213948,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Ain't Gonna Cry,https://open.spotify.com/track/25YCqSHWQ98M6zo2qmF5RM,Venom & Faith,https://open.spotify.com/album/4XflGGrR7ASWoMNVfy7txI,Larkin Poe,https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm,2022-08-05,213948,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Ain't Gonna Cry,https://open.spotify.com/track/63BfByegAjwkMOPdaqf3SU,Venom & Faith,https://open.spotify.com/album/72ANHSCf2fE8hgOuSStJUF,Larkin Poe,https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm,2023-07-04,213948,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Baby Blue Eyes (feat. Larkin Poe) - Rainy Day Sessions,https://open.spotify.com/track/3eB4bheM9cIu5v8lcQ558s,The Rainy Day Sessions EP,https://open.spotify.com/album/3cNNJvewda8N8nWKThsCRr,"A Rocket To The Moon, Larkin Poe","https://open.spotify.com/artist/1NU9Em6e8dDo36Js6nEo3t, https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm",2022-10-12,233066,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Back Down South,https://open.spotify.com/track/3eAwGZfTnsKwE7k7OexXu7,Self Made Man,https://open.spotify.com/album/4jwVtyG5s22UpGqKOZishP,"Larkin Poe, Tyler Bryant","https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm, https://open.spotify.com/artist/2v92dBj0AnGGPVyuxesKZi",2022-08-05,234866,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Back Down South,https://open.spotify.com/track/4dIg5U5YxiSTdO2J5usw1m,Self Made Man,https://open.spotify.com/album/0LoCekPqAvmILfr01rK9ea,"Larkin Poe, Tyler Bryant","https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm, https://open.spotify.com/artist/2v92dBj0AnGGPVyuxesKZi",2023-11-10,234866,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Back Down South (feat. Tyler Bryant),https://open.spotify.com/track/5C2mhGbVEmeqFQvenp7z04,Self Made Man,https://open.spotify.com/album/50aq2p3SeGo4aKtihf81Wf,"Larkin Poe, Tyler Bryant","https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm, https://open.spotify.com/artist/2v92dBj0AnGGPVyuxesKZi",2023-03-21,234866,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Back Down South / Blue Sky (Live In Concert),https://open.spotify.com/track/12x2ehVZJy3ZXLYWxXwCL5,Paint The Roses (Live In Concert),https://open.spotify.com/album/2rIe2vSV47OAhOBLNtCWmu,"Larkin Poe, Nu Deco Ensemble","https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm, https://open.spotify.com/artist/4GYUlFINfLTLni6bN7SbAK",2022-08-08,298309,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Back Down South / Blue Sky - Live In Concert,https://open.spotify.com/track/7A3Is9WNbjQ0QneOwqNOJQ,Paint The Roses (Live In Concert),https://open.spotify.com/album/02FRIUcCGRWYsN7ZeIksRg,"Larkin Poe, Nu Deco Ensemble","https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm, https://open.spotify.com/artist/4GYUlFINfLTLni6bN7SbAK",2023-04-08,298309,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
Back Down South / Blue Sky - Live in Concert,https://open.spotify.com/track/7GgR1SfYuFbORwvVdVq6h9,Paint The Roses (Live in Concert),https://open.spotify.com/album/5u6igDbmfkKA1PW3DBItKH,"Larkin Poe, Nu Deco Ensemble","https://open.spotify.com/artist/7d10VF1J4LqW7vrpPOngzm, https://open.spotify.com/artist/4GYUlFINfLTLni6bN7SbAK",2023-03-25,298309,2022-08-06,"This is Larkin Poe. The essential tracks, all in one playlist.",This Is Larkin Poe
