track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Berlin,https://open.spotify.com/track/68V7rBWfj2iID6Z1FjMIhG,For the Loved and Lost,https://open.spotify.com/album/0kJTmEg5P1Im8WyX0Uzqvm,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,187466,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Blue Lagoon,https://open.spotify.com/track/6AOkEeKQ841xkb63UkAAdj,For the Loved and Lost,https://open.spotify.com/album/0kJTmEg5P1Im8WyX0Uzqvm,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,213746,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Breakfast at Tiffany's,https://open.spotify.com/track/0XNQXKMhsHrb8o9X3JpvcQ,Breakfast at Tiffany's,https://open.spotify.com/album/53idUGP3DERYKpO12we4Xz,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,249683,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Closer,https://open.spotify.com/track/6LHc0V2Gb698GIPYy5qR3h,For the Loved and Lost,https://open.spotify.com/album/0kJTmEg5P1Im8WyX0Uzqvm,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,164853,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
come so far,https://open.spotify.com/track/728wLnW4NkotVLTQyGxVyA,come so far,https://open.spotify.com/album/3YMFzZ4EoUFu2ZA4lW6tbX,"Lilly Ahlberg, rayn","https://open.spotify.com/artist/2s8bgT1CE6KOA0a2omeCDk, https://open.spotify.com/artist/2BGoIfTAwsAi7pcefa0IVM",2024-06-13,165483,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Disaster,https://open.spotify.com/track/6v5PdrF9NdxTohcNtq8ZRo,Shivers,https://open.spotify.com/album/6nXBG1YJjt4UxDMcgazd44,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,287376,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Diversion,https://open.spotify.com/track/4dA7Ha7ojACVDMtPVsm5nO,Diversion,https://open.spotify.com/album/1qmpNeGmGgnBYgCRttwEB5,Tamera,https://open.spotify.com/artist/4S68J6bchvHhqHO1Kp8W9X,2024-06-13,162000,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Downstairs,https://open.spotify.com/track/7jfqMfPvPqdGnuH4w9YgOt,Shivers,https://open.spotify.com/album/6nXBG1YJjt4UxDMcgazd44,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,165417,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Forgive Me,https://open.spotify.com/track/0UP8IaUpsVlQwT2gDY4jaw,For the Loved and Lost,https://open.spotify.com/album/0kJTmEg5P1Im8WyX0Uzqvm,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,249373,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
Get Out of My Head,https://open.spotify.com/track/4BdiVuDbRKCr9kDTvqbvKq,For the Loved and Lost,https://open.spotify.com/album/0kJTmEg5P1Im8WyX0Uzqvm,Kal Lavelle,https://open.spotify.com/artist/7EDWLMJI0UmRtFaIb59MqR,2024-06-13,228529,2024-06-14,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/2HO2r9dd9gSjJfz9Sz3w6K"">Kal Lavelle</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Kal Lavelle
