track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Abraços de Resistência,https://open.spotify.com/track/0czqjbQD16beA5yejlA4V4,Abraços de Resistência,https://open.spotify.com/album/3qRWTyyDlw2cS6JiX6cakS,"Laysa, Helio Bentes","https://open.spotify.com/artist/5Jycy1Tg8JDcxBxFDQL8A6, https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x",2025-01-28,257910,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Ame Sua Missão,https://open.spotify.com/track/0jERDLXffwCjTU5Td5zIXK,Reggae a Vida Com Amor,https://open.spotify.com/album/1kN0AUafpsAzU1C49361bA,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2022-06-04,503186,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Ame Sua Missão,https://open.spotify.com/track/4leP1rYncidk4Cdl13CpVv,Reggae a Vida Com Amor,https://open.spotify.com/album/51l9CESGdQ1Wh9Nn3s9Gbd,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2025-02-06,503198,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Amizade Pura,https://open.spotify.com/track/6PBAUqWSj0HQFOU715kCLj,Amizade Pura,https://open.spotify.com/album/3zi8PK2lpLMQbyxTwlQwSy,"José Punho Forte Rodrigues, Helio Bentes","https://open.spotify.com/artist/2oHZ01dSsEw7B9bmyySKGo, https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x",2022-06-04,220856,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Aonde Vai Chegar (Coisa Feia),https://open.spotify.com/track/6v9305hQPLCujklnSmHmrH,Reggae a Vida Com Amor,https://open.spotify.com/album/1kN0AUafpsAzU1C49361bA,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2022-06-04,248386,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Aonde Vai Chegar (Coisa Feia),https://open.spotify.com/track/0ngH3f1m2LNnB4iBITxhsU,Reggae a Vida Com Amor,https://open.spotify.com/album/51l9CESGdQ1Wh9Nn3s9Gbd,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2025-02-06,248405,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Bob Rei,https://open.spotify.com/track/7kE6fG2ts21dvE5bnBNR2s,Fraternidade Musical Diamba,https://open.spotify.com/album/6Kjfm3aWl9mvxQnN3Bnc5M,"Diamba, Helio Bentes","https://open.spotify.com/artist/0LyH0e5DGvDiJTRCwi6EE7, https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x",2022-06-04,268822,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Calor,https://open.spotify.com/track/5rSSiDtohFEu6Oe5fI54dt,Dia Após Dia Lutando (Deluxe Version),https://open.spotify.com/album/6YFmSe0LapWyAyyNJYLEln,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2022-06-04,261853,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Calor,https://open.spotify.com/track/3bHds4RaodlCF3kpBIlZcG,Dia Após Dia Lutando (Deluxe Version),https://open.spotify.com/album/29OeUfLJCcS7Gdd5nB6aTq,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2025-02-19,261872,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Chapa Chapa,https://open.spotify.com/track/5L5oPJYh8WeXAhcNM99PHH,Fruto do Jogo,https://open.spotify.com/album/4jGgvTXTFX1V9TGdWubhdn,"Start Rap, Helio Bentes","https://open.spotify.com/artist/0ID7bamr7fhqeETHBZoCFl, https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x",2024-04-13,229916,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Conscientização,https://open.spotify.com/track/2P0WN9HJPPCB2xH7t9g0m8,Conscientização,https://open.spotify.com/album/3X1yGrd9u18zMCIBPoKUyI,Helio Bentes,https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x,2022-06-04,172985,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Contei Até Três,https://open.spotify.com/track/1yE6CxOk6rVVed64AtrStV,Contei Até Três,https://open.spotify.com/album/5BRxDc9TIZAfJHARu6UmHB,"Helio Bentes, Marina Peralta","https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x, https://open.spotify.com/artist/5zL3IWBA5pdMvLUmj0Dq2O",2022-06-04,206822,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Cultura de Mantança,https://open.spotify.com/track/2I2nONGoK36KToKKCyGbbp,Toque de Amor,https://open.spotify.com/album/1hBUpJgASOo4ljocpHr3tF,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2025-02-19,148327,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Cultura de Matança,https://open.spotify.com/track/7ByfYgAEI2OVgTq9YK965q,Toque de Amor,https://open.spotify.com/album/2QTsaPE1NTuSGiKYgLW4vU,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2023-05-18,148311,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
De Volta para o Passado,https://open.spotify.com/track/26eDBtsQiZvv80G2a2F0rY,Isso não é um disco de Rap,https://open.spotify.com/album/0knkjMsHoNjftzATefGlWs,"Fabio Brazza, Helio Bentes","https://open.spotify.com/artist/0Ludmn78UAusTsNCXgICrN, https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x",2022-06-04,299302,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Deixa Ficar,https://open.spotify.com/track/3faTNKg8XnSFYWEc2nYPJJ,Deixa Ficar,https://open.spotify.com/album/7nmLqG8f9B4KjLSPrrfMEz,"Helio Bentes, Bruno Chelles","https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x, https://open.spotify.com/artist/0QRmYyPJ4gzQmSVWMYgF2d",2022-06-04,203666,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Dias Melhores Virão,https://open.spotify.com/track/0TIFDU0I5o5fDifOEyD4DI,Dias Melhores Virão,https://open.spotify.com/album/49RiYOnb0RDIECdSv4ofzI,"BR Suav, Helio Bentes","https://open.spotify.com/artist/1skrxyzVcNlQDVXPCMlYq6, https://open.spotify.com/artist/3QZ8AOQtLTHEKSf0902llu",2022-06-04,171428,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Direitos Iguais,https://open.spotify.com/track/7vK1YoeAqtZUfnHD2zA4Uo,Essa É a Nossa Música,https://open.spotify.com/album/0c3nNfCc448zTAxQ1x5Wmo,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2025-02-26,286997,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Direitos Iguais - Ao Vivo,https://open.spotify.com/track/576lgcDFg2t2cjcR0JCiSP,Ao Vivo No República do Reggae,https://open.spotify.com/album/2DuoPecCOczeOZQ7EXCdMQ,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2022-06-04,160216,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Direitos Iguais - Ao Vivo,https://open.spotify.com/track/4dkLuw3hpq2lfZWsFrrahQ,Ao Vivo no República do Reggae,https://open.spotify.com/album/3R3Fd1O1mOSo9Bye9deA8w,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2025-02-19,160239,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Ditadura da Televisão,https://open.spotify.com/track/3TXDNilo3IU4gCoIy2ER56,Reggae a Vida Com Amor,https://open.spotify.com/album/1kN0AUafpsAzU1C49361bA,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2022-06-04,317240,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Ditadura da Televisão,https://open.spotify.com/track/5OICVBx9erKRmVrhnjp069,Reggae a Vida Com Amor,https://open.spotify.com/album/51l9CESGdQ1Wh9Nn3s9Gbd,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2025-02-06,317252,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Embarque Nesse Trem,https://open.spotify.com/track/6WeGeYFHvDNbrlc3KI7AIe,Sound System Cultura de Rua,https://open.spotify.com/album/3huAgoLPQ3WCoWiSTXomSO,"Dub Ataque, Beleza, Rico Neurótico, Helio Bentes","https://open.spotify.com/artist/50WcToXLB33txU8Tse0ITY, https://open.spotify.com/artist/1IDFjigtENXy8rm0h0Uqk3, https://open.spotify.com/artist/5RnbM8vxAn3jHP2sFymsUU, https://open.spotify.com/artist/0BIwZsx9BET2BstY2DRa9x",2022-06-04,258124,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Estar Com Você,https://open.spotify.com/track/3IgaUvYei9sPHRFaHYnMta,Essa É a Nossa Música,https://open.spotify.com/album/0c3nNfCc448zTAxQ1x5Wmo,"Ponto De Equilíbrio, Ivete Sangalo","https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo, https://open.spotify.com/artist/7dzq55YG3wjViqexDwiycQ",2025-02-26,232778,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
Estar Com Você - Ao Vivo,https://open.spotify.com/track/0CjxAXmWH4xvBD8lDoVYjE,Juntos Somos Fortes (Ao Vivo),https://open.spotify.com/album/7ECKCoQYnQP3Rfqq9LQdsi,Ponto De Equilíbrio,https://open.spotify.com/artist/6crUnfFtxFx7u9OGE1AHZo,2022-06-04,257266,2022-06-05,"The essentials from songwriter <a href=""https://artists.spotify.com/songwriter/6Lvnkxh0aFuxI0k9WltnoL"">Helio Bentes</a>, all in one playlist. <a href=""spotify:genre:0JQ5DAqbMKFSCjnQr8QZ3O"">Discover more songwriters on Spotify</a>.",Written By Helio Bentes
